# Wed Feb 19 07:56:55 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.622213 2 0 0.155 
3000 22 2.82386 22 1.08969 2.18139 
4000 21 2.89451 21 1.30197 2.535 
5000 35 3.08245 35 1.50727 2.92667 
6000 36 3.12237 36 1.69371 3.32944 
7000 38 3.3495 38 1.75193 3.47235 
8000 37 2.94268 37 1.75083 3.45056 
9000 37 2.77395 37 1.87396 3.73569 
10000 43 2.93453 43 1.97562 4.03 
11000 44 2.88083 44 2.01965 4.16255 
12000 43 2.94996 43 2.00786 4.1275 
13000 45 2.83579 45 2.01678 4.15222 
14000 45 2.80963 45 2.02074 4.15389 
15000 43 2.77865 43 2.03953 4.2025 
16000 46 2.81151 46 2.02972 4.185 
17000 45 2.80591 45 2.05321 4.24139 
18000 41 2.86037 41 2.09775 4.38427 
19000 44 2.81101 44 2.09997 4.40306 
20000 49 3.04927 49 2.10704 4.39939 
21000 49 3.35691 49 2.17418 4.60056 
22000 50 3.06698 50 2.18715 4.65018 
23000 46 3.0541 46 2.21141 4.7025 
24000 47 2.48822 47 2.37794 5.30306 
25000 40 2.34357 40 2.38448 5.32472 
26000 45 2.5424 45 2.36982 5.27833 
27000 48 2.76679 48 2.21918 4.86194 
28000 42 2.40196 42 2.21166 4.82301 
29000 48 2.81501 48 2.25081 4.92 
30000 41 2.57591 41 2.33163 5.15889 
31000 44 2.53267 44 2.33513 5.16167 
32000 45 2.60584 45 2.32018 5.11139 
33000 41 2.50088 41 2.31875 5.12694 
34000 43 2.74419 43 2.29293 5.05085 
35000 46 2.55459 46 2.31963 5.12333 
36000 48 2.66213 48 2.30693 5.09056 
37000 45 2.52147 45 2.31317 5.11503 
38000 38 2.46706 38 2.31877 5.11306 
39000 39 2.52575 39 2.332 5.15222 
40000 42 3.0192 42 1.9836 4.2075 
41000 44 3.05846 44 1.95521 4.13444 
42000 42 2.89011 42 1.99433 4.21972 
43000 43 3.0014 43 1.98986 4.21889 
44000 46 3.14905 46 1.9668 4.16111 
45000 43 3.03874 43 1.96999 4.17861 
46000 49 2.95634 49 1.98852 4.22694 
47000 39 2.83628 39 1.97682 4.20278 
48000 44 2.93405 44 1.96186 4.16222 
49000 42 2.87788 42 1.99425 4.2225 
50000 44 2.95438 44 1.96962 4.17278 
51000 39 2.87836 39 1.97462 4.19222 
52000 45 2.95903 45 1.96195 4.14921 
53000 40 2.81897 40 2.14812 4.67139 
54000 46 2.9536 46 2.15605 4.69085 
55000 55 3.30366 55 2.32015 5.1325 
56000 52 3.23346 52 2.31107 5.12253 
57000 48 3.1015 48 2.32766 5.165 
58000 46 3.02356 46 2.31863 5.13917 
59000 50 3.17428 50 2.31832 5.12531 
60000 51 3.14967 51 2.33841 5.19778 
61000 53 3.12514 53 2.34229 5.19278 
62000 51 3.05398 51 2.33068 5.17909 
63000 52 3.16802 52 2.33098 5.18205 
64000 53 3.03446 53 2.3321 5.16699 
65000 53 3.20603 53 2.31086 5.12028 
66000 52 3.14601 52 2.31382 5.12194 
67000 52 3.12644 52 2.32827 5.18061 
68000 46 3.03187 46 2.31714 5.13849 
69000 52 3.03696 52 2.34001 5.20556 
70000 50 3.13405 50 2.32087 5.15056 
71000 47 3.11163 47 2.31954 5.15032 
72000 46 3.08023 46 2.3214 5.16111 
73000 47 3.03133 47 2.32466 5.17227 
74000 48 2.93626 48 2.34788 5.21944 
75000 51 3.13428 51 2.33299 5.19122 
76000 56 3.19128 56 2.31851 5.14611 
77000 50 3.19917 50 2.3197 5.14421 
78000 55 3.12821 55 2.31598 5.13511 
79000 51 3.20913 51 2.33145 5.187 
80000 62 3.28808 62 2.32343 5.14833 
81000 55 3.14463 55 2.33255 5.18227 
82000 56 3.34878 56 2.32772 5.15949 
83000 56 3.33128 56 2.32019 5.1525 
84000 55 3.25687 55 2.34141 5.205 
85000 60 3.37562 60 2.32108 5.14694 
86000 64 3.42109 64 2.31446 5.14361 
87000 62 3.23399 62 2.34427 5.21778 
88000 65 3.36952 65 2.31877 5.14671 
89000 65 3.40004 65 2.31524 5.14615 
90000 62 3.35569 62 2.32415 5.15643 
91000 63 3.31283 63 2.33687 5.18694 
92000 55 3.20063 55 2.34204 5.20139 
93000 53 3.30319 53 2.33016 5.17306 
94000 61 3.414 61 2.30905 5.11639 
95000 61 3.32169 61 2.31957 5.13861 
96000 59 3.30633 59 2.3079 5.10194 
97000 60 3.30327 60 2.32561 5.16528 
98000 55 3.21049 55 2.32084 5.17255 
99000 61 3.27642 61 2.32882 5.18477 
100000 53 3.28782 53 2.31806 5.15528 
