# Wed Feb 19 12:01:02 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 4 1.4371 4 0 0.331389 
3000 11 2.39917 11 0.23 0.873611 
4000 16 3.12782 16 0.341368 1.08419 
5000 19 3.55419 19 0.431438 1.18111 
6000 27 3.86503 27 0.607656 1.43806 
7000 24 3.70254 24 0.665851 1.50861 
8000 25 3.67938 25 0.631283 1.49153 
9000 25 3.77179 25 0.672437 1.53167 
10000 27 3.73958 27 0.7044 1.62139 
11000 24 3.83118 24 0.720196 1.64444 
12000 26 3.83785 26 0.702995 1.62833 
13000 27 3.84156 27 0.750068 1.66944 
14000 31 3.95822 31 0.794058 1.73139 
15000 32 4.05056 32 0.857674 1.83329 
16000 31 3.77936 31 0.868122 1.85889 
17000 29 3.88858 29 0.865592 1.87056 
18000 28 3.98115 28 0.916334 1.95444 
19000 32 4.20363 32 0.906274 1.94806 
20000 35 4.26463 35 0.950358 2.01778 
21000 36 4.16566 36 0.89531 1.9225 
22000 37 4.33807 37 1.04707 2.21812 
23000 45 4.49588 45 1.11092 2.30833 
24000 41 4.22102 41 1.13164 2.31518 
25000 41 4.11187 41 1.24441 2.56028 
26000 33 3.88012 33 1.20573 2.50278 
27000 37 4.14106 37 1.18409 2.45 
28000 37 4.05075 37 1.10618 2.32806 
29000 34 4.09167 34 1.13235 2.35611 
30000 37 4.20441 37 1.10501 2.34333 
31000 37 3.82506 37 1.22667 2.52861 
32000 34 3.7867 34 1.21481 2.51389 
33000 36 3.98607 36 1.2583 2.57889 
34000 38 4.21106 38 1.19586 2.47389 
35000 36 4.26082 36 1.15877 2.40278 
36000 38 4.26603 38 1.17117 2.43167 
37000 36 4.21056 36 1.1471 2.38667 
38000 31 4.07553 31 1.03531 2.2475 
39000 44 4.19404 44 1.03706 2.235 
40000 41 4.18606 41 1.12577 2.34667 
41000 34 4.04802 34 1.13827 2.37139 
42000 43 4.18461 43 1.13807 2.35528 
43000 43 4.43154 43 1.0943 2.28833 
44000 42 4.56372 42 1.07901 2.27194 
45000 38 4.39825 38 1.02814 2.19333 
46000 39 4.24557 39 1.00067 2.15667 
47000 51 4.60404 51 1.05875 2.25785 
48000 55 4.86141 55 1.05314 2.24507 
49000 55 4.70383 55 1.17433 2.48056 
50000 49 4.77134 49 1.11143 2.32778 
51000 52 4.6505 52 1.12769 2.37917 
52000 55 4.89018 55 1.10066 2.32333 
53000 59 4.88487 59 1.22361 2.56083 
54000 53 4.86381 53 1.21368 2.55139 
55000 53 4.75542 53 1.15973 2.47083 
56000 57 4.6141 57 1.26442 2.64389 
57000 59 4.84262 59 1.16895 2.46583 
58000 58 4.95918 58 1.15043 2.4575 
59000 61 5.01715 61 1.218 2.60417 
60000 54 4.97423 54 1.20671 2.59556 
61000 59 5.06202 59 1.25727 2.64667 
62000 54 4.73175 54 1.24634 2.65528 
63000 50 4.92367 50 1.23076 2.62472 
64000 58 4.61144 58 1.37928 2.84083 
65000 57 4.76273 57 1.19857 2.5 
66000 55 4.79877 55 1.19446 2.51333 
67000 52 4.74993 52 1.23453 2.53959 
68000 53 4.48808 53 1.31524 2.65833 
69000 62 4.62593 62 1.33728 2.72 
70000 55 4.55383 55 1.28133 2.60417 
71000 50 4.63803 50 1.33408 2.69667 
72000 56 4.64257 56 1.34491 2.73111 
73000 58 4.68978 58 1.37649 2.79472 
74000 60 4.84806 60 1.31622 2.70556 
75000 57 4.28405 57 1.44027 2.9325 
76000 53 4.21221 53 1.45062 2.93806 
77000 53 4.3681 53 1.46501 2.95528 
78000 53 4.4456 53 1.40197 2.85472 
79000 54 4.31365 54 1.43061 2.91306 
80000 45 4.21843 45 1.40253 2.83833 
81000 55 4.38187 55 1.38923 2.82139 
82000 51 4.04573 51 1.48845 2.98389 
83000 50 4.36642 50 1.38942 2.80583 
84000 48 4.23921 48 1.42407 2.86222 
85000 53 4.66355 53 1.30887 2.66268 
86000 48 4.4122 48 1.34207 2.71111 
87000 45 4.29579 45 1.4298 2.8875 
88000 50 4.2403 50 1.45004 2.93083 
89000 56 4.66508 56 1.3685 2.74333 
90000 53 4.39052 53 1.45632 2.93028 
91000 56 4.39717 56 1.43143 2.88194 
92000 49 4.37794 49 1.40534 2.84583 
93000 51 4.37682 51 1.41965 2.85889 
94000 47 4.47388 47 1.41777 2.84639 
95000 45 4.49034 45 1.38568 2.80611 
96000 55 4.49506 55 1.41168 2.84056 
97000 55 4.56096 55 1.3906 2.79494 
98000 54 4.53706 54 1.36954 2.77806 
99000 56 4.49953 56 1.41542 2.86694 
100000 57 4.50566 57 1.42346 2.88194 
