# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
5162580,10,24,-1,-1,2
5174868,52,9,-1,-1,5
5170702,9,6,-1,-1,1
5168892,42,28,-1,-1,0
5173728,31,45,-1,-1,4
5172756,7,20,-1,-1,5
5170222,4,13,-1,-1,7
5167501,48,45,-1,-1,1
5170798,24,49,-1,-1,7
5169065,4,35,-1,-1,2
5172985,22,36,-1,-1,0
5172878,8,59,-1,-1,0
5172988,46,45,-1,-1,4
5173075,15,33,-1,-1,7
5171274,54,23,-1,-1,4
5174441,1,59,-1,-1,2
5161630,6,9,-1,-1,0
5173724,23,47,-1,-1,2
5168551,57,31,-1,-1,6
5174645,51,6,-1,-1,5
5172778,39,53,-1,-1,1
5169797,30,28,-1,-1,6
5173882,47,58,-1,-1,3
5168956,28,2,-1,-1,2
5173055,25,56,-1,-1,1
5163036,58,34,-1,-1,6
5172278,4,57,-1,-1,6
5175396,44,31,-1,-1,2
5172121,35,27,-1,-1,2
5162502,17,31,-1,-1,0
5165809,16,60,-1,-1,5
5170605,20,11,-1,-1,2
5172469,15,20,-1,-1,1
5170581,26,51,-1,-1,3
5175163,18,16,-1,-1,1
5173719,28,32,-1,-1,6
5175074,16,21,-1,-1,7
5164977,2,20,-1,-1,1
5173491,16,11,-1,-1,2
5174987,9,44,-1,-1,2
5174236,42,14,-1,-1,7
5170132,24,57,-1,-1,4
5174567,6,31,-1,-1,0
5174667,42,61,-1,-1,7
5164531,13,15,-1,-1,7
5174578,26,60,-1,-1,2
5172945,12,29,-1,-1,4
5175352,27,21,-1,-1,5
5174514,28,47,-1,-1,1
5168843,26,18,-1,-1,0
5169112,41,53,-1,-1,5
5175164,12,0,-1,-1,5
5173748,45,50,-1,-1,6
5168899,50,48,-1,-1,6
5173864,40,27,-1,-1,7
5173585,22,12,-1,-1,4
5173459,12,50,-1,-1,4
5174666,47,60,-1,-1,0
5174699,38,38,-1,-1,0
5172484,1,53,-1,-1,0
5164402,7,59,-1,-1,1
5174898,49,3,-1,-1,6
5155404,21,2,-1,-1,7
5173076,33,12,-1,-1,4
5173983,0,38,-1,-1,6
5173153,56,48,-1,-1,0
5171291,30,17,-1,-1,4
5169418,52,8,-1,-1,4
5169340,49,48,-1,-1,5
5170061,47,50,-1,-1,0
5166823,22,47,-1,-1,7
5173668,47,47,-1,-1,6
5169166,61,36,-1,-1,4
5175057,20,37,-1,-1,4
5174565,7,44,-1,-1,4
5174505,39,8,-1,-1,2
5171759,53,22,-1,-1,7
5168897,50,28,-1,-1,5
5175185,40,15,-1,-1,7
5175020,6,22,-1,-1,0
5166385,33,16,-1,-1,5
5174081,43,7,-1,-1,2
5173437,53,55,-1,-1,7
5175027,8,42,-1,-1,0
5172844,60,1,-1,-1,1
5175292,35,53,-1,-1,0
5166570,10,60,-1,-1,4
5166318,50,55,-1,-1,4
5169119,5,33,-1,-1,7
5174681,39,29,-1,-1,1
5171511,45,16,-1,-1,3
5171799,17,36,-1,-1,0
5175406,23,54,-1,-1,1
5170566,31,49,-1,-1,7
5167908,3,26,-1,-1,7
5162755,9,49,-1,-1,4
5174224,21,54,-1,-1,0
5172156,57,30,-1,-1,1
5172233,11,12,-1,-1,4
5173504,58,31,-1,-1,2
5171824,34,26,-1,-1,2
5168860,41,42,-1,-1,2
5174865,18,60,-1,-1,7
5172665,34,18,-1,-1,7
5174136,2,32,-1,-1,2
5166443,57,56,-1,-1,4
5161685,52,14,-1,-1,0
5172030,52,26,-1,-1,4
5173650,46,32,-1,-1,4
5167624,19,57,-1,-1,4
5175103,41,60,-1,-1,0
5172556,41,39,-1,-1,4
5174480,14,58,-1,-1,1
5174279,45,27,-1,-1,2
5174149,40,2,-1,-1,5
5173764,34,57,-1,-1,4
5172143,54,11,-1,-1,7
5167308,11,14,-1,-1,0
5175165,53,28,-1,-1,7
5173183,11,13,-1,-1,7
5173904,37,0,-1,-1,0
5172249,51,10,-1,-1,2
5174637,54,7,-1,-1,2
5173014,19,1,-1,-1,3
5165006,26,0,-1,-1,5
5170040,58,42,-1,-1,2
5171647,28,8,-1,-1,5
5175186,32,19,-1,-1,6
5174383,9,17,-1,-1,3
5171317,8,55,-1,-1,1
5164848,8,19,-1,-1,1
5174188,50,12,-1,-1,5
5174000,2,61,-1,-1,3
5169437,37,25,-1,-1,3
5174148,50,15,-1,-1,3
5168874,57,52,-1,-1,4
5172188,40,8,-1,-1,5
5172242,9,3,-1,-1,4
5172627,7,25,-1,-1,5
5168515,7,0,-1,-1,5
5174997,4,24,-1,-1,5
5172505,49,37,-1,-1,0
5172776,58,19,-1,-1,4
5174553,20,12,-1,-1,5
5174196,12,28,-1,-1,0
5159426,47,26,-1,-1,6
5172790,50,51,-1,-1,4
5174907,13,59,-1,-1,2
5171920,37,1,-1,-1,0
5167202,38,19,-1,-1,5
5171327,49,44,-1,-1,1
5174617,27,50,-1,-1,2
5172430,2,54,-1,-1,7
5167627,55,32,-1,-1,5
5174051,59,58,-1,-1,4
5174542,15,28,-1,-1,1
5164080,15,42,-1,-1,4
5175131,19,14,-1,-1,2
5169037,21,19,-1,-1,2
5172882,0,56,-1,-1,7
5168622,27,39,-1,-1,2
5172449,53,38,-1,-1,4
5175059,28,9,-1,-1,3
