# Avida Dominant Data
# Wed Feb 19 15:11:40 2014
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

0 0 0 0 0 50 0 0 3844 0 0 0 0 0 1 050-aaaaa 
1000 47 133 0.353383 0.0075188 50 50 47 33 1 1 9 0 0.515922 59475 050-aadsk 
2000 58.663 137 0.428197 0.00729927 52 52 47 71 12 10 24 0 0.544607 178159 052-aadgm 
3000 55.0862 117 0.470822 0.00854701 51 51 48 60 14 13 35 0 0.546278 268755 051-aalwm 
4000 56.7609 106 0.53548 0.00943396 51 51 48 36 9 5 32 0 0.540205 435651 051-aavay 
5000 56.191 106 0.530103 0.00943396 51 51 48 47 7 7 35 0 0.557269 554927 051-aayrt 
6000 57.9306 107 0.541407 0.00934579 52 52 49 75 16 13 45 1 0.542519 650263 052-aawou 
7000 57.365 107 0.536122 0.00934579 52 52 49 51 9 7 52 0 0.546449 774156 052-abfpu 
8000 56.538 104 0.543635 0.00961538 52 52 49 49 14 9 51 0 0.746806 991959 052-abxuc 
9000 54.3653 104 0.522743 0.00961538 52 52 47 60 16 15 75 0 0.557895 1140355 052-ackpm 
10000 57.4325 109 0.526904 0.00917431 53 53 50 37 13 12 57 0 0.556193 1261097 053-aahxv 
