# Mon Feb 17 15:46:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0389532 2 0 0.00416782 
3000 7 0.780284 7 0.00166667 0.125833 
4000 9 0.565433 9 0.0453856 0.132259 
5000 11 0.557467 11 0.0528776 0.123611 
6000 9 0.553746 9 0.082863 0.168611 
7000 7 0.308027 7 0.0370969 0.08 
8000 7 0.620377 7 0.0355556 0.131389 
9000 12 1.47453 12 0.12 0.353611 
10000 13 1.95679 13 0.134444 0.486667 
11000 12 2.36308 12 0.1225 0.589167 
12000 12 2.61135 12 0.0677778 0.648611 
13000 14 2.58898 14 0.0480689 0.626007 
14000 16 2.75654 16 0.108889 0.696667 
15000 18 3.07625 18 0.252411 0.881944 
16000 20 3.01989 20 0.242154 0.882778 
17000 21 3.20115 21 0.297872 0.914167 
18000 22 3.24272 22 0.323879 0.99 
19000 24 3.28637 24 0.324173 0.976938 
20000 21 3.12511 21 0.326347 0.983056 
21000 20 3.16486 20 0.272778 0.886389 
22000 25 3.53862 25 0.352448 1.08083 
23000 22 3.1655 22 0.291852 0.899167 
24000 22 3.17763 22 0.239126 0.870278 
25000 24 3.54459 24 0.413393 1.12139 
26000 21 3.54998 21 0.368994 1.09222 
27000 20 3.34441 20 0.321876 0.994722 
28000 21 3.32369 21 0.296468 0.975556 
29000 22 3.36805 22 0.310731 0.964444 
30000 23 3.14956 23 0.310658 0.966389 
31000 23 3.41055 23 0.398393 1.11781 
32000 24 3.07104 24 0.367759 1.02251 
33000 24 2.9742 24 0.331773 0.939722 
34000 20 2.98142 20 0.243067 0.875521 
35000 24 2.97169 24 0.376398 0.977778 
36000 27 3.31973 27 0.374803 1.01611 
37000 22 3.14706 22 0.323686 0.94 
38000 26 3.15084 26 0.431536 1.06861 
39000 27 3.48606 27 0.405466 1.10361 
40000 22 3.49726 22 0.407814 1.10056 
41000 23 3.25578 23 0.407139 1.10111 
42000 30 3.44249 30 0.451413 1.10444 
43000 34 3.50281 34 0.482942 1.195 
44000 33 3.4139 33 0.389874 1.00667 
45000 33 3.35462 33 0.475543 1.1275 
46000 33 3.72964 33 0.560126 1.31222 
47000 30 3.58368 30 0.510394 1.27444 
48000 25 3.37349 25 0.566301 1.29889 
49000 31 3.55219 31 0.556364 1.31833 
50000 27 3.40651 27 0.493584 1.21278 
51000 31 3.63125 31 0.55352 1.30861 
52000 32 3.55257 32 0.485653 1.19194 
53000 30 3.59246 30 0.507446 1.22667 
54000 31 3.7469 31 0.590269 1.38111 
55000 31 3.80024 31 0.585624 1.37917 
56000 29 3.46962 29 0.457429 1.16694 
57000 27 3.33809 27 0.522819 1.19806 
58000 33 3.56916 33 0.490286 1.20972 
59000 29 3.41022 29 0.381085 1.02694 
60000 33 3.51084 33 0.454955 1.09639 
61000 32 3.67829 32 0.507372 1.24611 
62000 28 3.46876 28 0.404283 1.06694 
63000 34 3.7258 34 0.565597 1.34167 
64000 29 3.65829 29 0.481521 1.2025 
65000 31 3.71395 31 0.53481 1.29722 
66000 29 3.34652 29 0.45178 1.12472 
67000 21 3.24492 21 0.424306 1.11 
68000 28 3.43306 28 0.420154 1.09667 
69000 23 3.32842 23 0.363685 1.03889 
70000 21 3.19545 21 0.328088 0.953333 
71000 23 3.10246 23 0.328848 0.964167 
72000 26 2.9827 26 0.334466 0.935278 
73000 21 3.12046 21 0.326001 0.932222 
74000 21 3.25543 21 0.385259 1.04694 
75000 22 2.95847 22 0.367786 0.9625 
76000 25 3.19296 25 0.309437 0.911667 
77000 27 3.38943 27 0.364175 1.04222 
78000 28 3.24195 28 0.401072 1.02194 
79000 24 3.35168 24 0.403868 1.07639 
80000 29 3.3531 29 0.447176 1.12417 
81000 28 3.46849 28 0.524654 1.2125 
82000 30 3.73647 30 0.555619 1.30806 
83000 31 3.70393 31 0.585073 1.35139 
84000 32 3.65855 32 0.640173 1.41345 
85000 30 3.60742 30 0.551015 1.29389 
86000 34 3.42892 34 0.565955 1.30222 
87000 36 3.44818 36 0.520604 1.26917 
88000 29 3.56744 29 0.540164 1.33333 
89000 32 3.57992 32 0.561281 1.35333 
90000 31 3.40183 31 0.505189 1.22889 
91000 30 3.67122 30 0.540418 1.33694 
92000 30 3.52508 30 0.40184 1.13722 
93000 24 3.1654 24 0.380676 0.998611 
94000 28 3.28167 28 0.423332 1.11 
95000 36 3.64195 36 0.494593 1.21306 
96000 31 3.43621 31 0.447008 1.13694 
97000 30 3.24428 30 0.429891 1.10556 
98000 31 3.54963 31 0.504102 1.19806 
99000 31 3.32715 31 0.519649 1.24611 
100000 32 3.55433 32 0.444043 1.14861 
