# Thu Feb 20 17:03:51 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 10 1.73977 10 1.10612 2.1945 
4000 10 1.50382 10 1.24874 2.4475 
5000 19 1.30442 19 1.82226 3.65333 
6000 24 0.966994 24 1.95895 3.93972 
7000 20 0.709804 20 2.26711 4.86 
8000 19 0.743751 19 2.26357 4.85028 
9000 24 0.690097 24 2.26857 4.86417 
10000 24 0.690089 24 2.27139 4.87 
11000 21 0.764861 21 2.26162 4.84694 
12000 24 0.74882 24 2.26427 4.85 
13000 24 0.781398 24 2.2618 4.84639 
14000 20 0.686146 20 2.27202 4.86917 
15000 21 0.724301 21 2.26876 4.86222 
16000 20 0.750591 20 2.26114 4.84583 
17000 20 0.728221 20 2.26528 4.85496 
18000 18 0.784641 18 2.25346 4.8275 
19000 20 0.687928 20 2.26797 4.8625 
20000 23 0.701501 23 2.26538 4.85607 
21000 23 0.720135 23 2.26066 4.84611 
22000 20 0.790046 20 2.25334 4.82778 
23000 22 0.807376 22 2.25263 4.82384 
24000 18 0.774494 18 2.25394 4.82861 
25000 23 0.633692 23 2.2713 4.87222 
26000 21 0.714234 21 2.26448 4.855 
27000 24 0.727681 24 2.26366 4.85222 
28000 22 0.743077 22 2.25676 4.83722 
29000 21 0.773374 21 2.26288 4.84519 
30000 20 0.717526 20 2.26062 4.84694 
31000 18 0.730735 18 2.26093 4.84611 
32000 19 0.729411 19 2.26173 4.84778 
33000 20 0.734315 20 2.26194 4.84694 
34000 18 0.711062 18 2.26036 4.845 
35000 20 0.673555 20 2.27101 4.86694 
36000 22 0.757893 22 2.26602 4.85194 
37000 21 0.730623 21 2.26336 4.85167 
38000 23 0.824306 23 2.25363 4.82556 
39000 21 0.710903 21 2.26593 4.85722 
40000 23 0.764466 23 2.25561 4.835 
41000 21 0.655154 21 2.27037 4.86944 
42000 22 0.819955 22 2.25269 4.82528 
43000 20 0.807253 20 2.25151 4.82556 
44000 23 0.786516 23 2.25385 4.83056 
45000 22 0.749519 22 2.25974 4.84111 
46000 25 0.67955 25 2.26762 4.86333 
47000 23 0.721044 23 2.26088 4.84972 
48000 24 0.771878 24 2.25834 4.83833 
49000 23 0.715256 23 2.25855 4.845 
50000 19 0.757899 19 2.26209 4.84667 
51000 21 0.653531 21 2.27113 4.87083 
52000 19 0.781651 19 2.25956 4.84111 
53000 21 0.653376 21 2.27008 4.86889 
54000 21 0.728137 21 2.26583 4.85417 
55000 20 0.712402 20 2.26309 4.84972 
56000 19 0.784032 19 2.26128 4.84333 
57000 21 0.787077 21 2.25834 4.83884 
58000 20 0.673423 20 2.26667 4.86167 
59000 21 0.720108 21 2.26427 4.85218 
60000 29 1.24806 29 2.24433 4.80028 
61000 27 1.07255 27 2.23558 4.77528 
62000 26 0.962149 26 2.24528 4.80083 
63000 29 1.02224 29 2.23879 4.79167 
64000 29 0.958119 29 2.25169 4.81778 
65000 30 1.03623 30 2.24182 4.80106 
66000 27 0.993979 27 2.23869 4.79444 
67000 29 0.910712 29 2.25029 4.82111 
68000 28 0.899849 28 2.25016 4.81833 
69000 23 0.851419 23 2.25124 4.82167 
70000 26 0.900846 26 2.24797 4.81778 
71000 28 0.817772 28 2.25911 4.84417 
72000 25 0.817183 25 2.26667 4.85333 
73000 25 0.798608 25 2.26257 4.85028 
74000 26 0.843224 26 2.25765 4.8375 
75000 30 0.868239 30 2.25607 4.83028 
76000 25 0.791747 25 2.25717 4.83745 
77000 22 0.870606 22 2.26083 4.83972 
78000 24 0.816765 24 2.26465 4.84722 
79000 25 0.883641 25 2.25777 4.83 
80000 26 0.846478 26 2.25609 4.83278 
81000 22 0.802308 22 2.26651 4.85389 
82000 24 0.769218 24 2.26305 4.85051 
83000 27 0.771592 27 2.26864 4.86 
84000 23 0.776737 23 2.2631 4.8469 
85000 25 0.856741 25 2.26105 4.84107 
86000 26 0.940533 26 2.25065 4.81667 
87000 26 0.853326 26 2.24976 4.82356 
88000 26 0.82591 26 2.25399 4.83102 
89000 26 0.850966 26 2.2547 4.82778 
90000 26 0.807549 26 2.25312 4.83194 
91000 29 0.939232 29 2.24985 4.81778 
92000 24 0.748373 24 2.27016 4.86389 
93000 26 0.871002 26 2.25432 4.8275 
94000 24 0.814024 24 2.25813 4.83694 
95000 23 0.781568 23 2.26484 4.8525 
96000 22 0.855736 22 2.25997 4.83861 
97000 27 0.85681 27 2.25987 4.84139 
98000 23 0.79055 23 2.26219 4.84746 
99000 27 0.84505 27 2.2556 4.83278 
100000 21 0.861277 21 2.2599 4.83722 
