# Mon Feb 17 05:08:18 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.504091 2 0 0.111389 
2000 26 1.68529 26 1.49982 2.87889 
3000 30 1.72198 30 1.8822 3.78528 
4000 27 1.04021 27 2.18476 4.70436 
5000 30 1.09259 30 2.18309 4.69167 
6000 25 0.672778 25 2.25069 4.83908 
7000 28 1.05904 28 2.50694 5.75194 
8000 20 0.724524 20 2.53045 5.83306 
9000 23 0.729433 23 2.52626 5.82583 
10000 22 0.739077 22 2.5345 5.84139 
11000 20 0.70094 20 2.53392 5.84083 
12000 22 0.640956 22 2.53674 5.85167 
13000 20 0.655602 20 2.53981 5.85861 
14000 23 0.652364 23 2.53709 5.85444 
15000 21 0.617895 21 2.54052 5.86194 
16000 21 0.739484 21 2.53012 5.82972 
17000 21 0.819428 21 2.52529 5.81222 
18000 23 0.890658 23 2.52315 5.805 
19000 28 0.891308 28 2.51737 5.79333 
20000 25 0.858063 25 2.5218 5.80083 
21000 25 0.940099 25 2.51174 5.77556 
22000 25 0.851938 25 2.52378 5.80889 
23000 24 0.806372 24 2.52296 5.80944 
24000 23 0.90215 23 2.515 5.78389 
25000 26 0.914063 26 2.5209 5.79639 
26000 26 0.902014 26 2.51603 5.7875 
27000 26 0.945443 26 2.51973 5.79167 
28000 24 0.904174 24 2.51921 5.79222 
29000 25 0.947474 25 2.52137 5.7955 
30000 26 0.908644 26 2.51694 5.78806 
31000 25 0.866283 25 2.52264 5.80222 
32000 25 0.953069 25 2.51487 5.78028 
33000 25 0.858448 25 2.52345 5.80667 
34000 21 0.819786 21 2.52712 5.81806 
35000 24 0.813571 24 2.52859 5.82167 
36000 24 0.805899 24 2.52653 5.81639 
37000 25 0.930615 25 2.51694 5.78556 
38000 24 0.882413 24 2.52071 5.79967 
39000 26 0.866814 26 2.52337 5.80639 
40000 26 0.826606 26 2.52608 5.8155 
41000 28 0.817383 28 2.5232 5.81083 
42000 37 1.56374 37 2.71477 6.62583 
43000 30 0.984542 30 2.74132 6.75167 
44000 26 0.923907 26 2.74844 6.77639 
45000 25 0.97295 25 2.74605 6.76556 
46000 30 0.863601 30 2.75152 6.78944 
47000 28 0.954388 28 2.74488 6.76361 
48000 28 0.943823 28 2.74569 6.76528 
49000 34 1.05737 34 2.73941 6.74917 
50000 29 0.942836 29 2.74319 6.76021 
51000 31 0.89823 31 2.75024 6.78611 
52000 27 0.965594 27 2.74868 6.775 
53000 33 0.874962 33 2.75014 6.788 
54000 32 0.879431 32 2.75325 6.79611 
55000 31 0.888226 31 2.75355 6.79583 
56000 32 0.943202 32 2.74781 6.77583 
57000 39 1.72006 39 2.3652 5.27806 
58000 31 0.840941 31 2.24028 4.8075 
59000 31 0.900957 31 2.23959 4.79806 
60000 28 1.00251 28 2.48829 5.72417 
61000 32 0.971479 32 2.49011 5.73361 
62000 29 1.04052 29 2.46508 5.6775 
63000 33 0.999598 33 2.48671 5.72417 
64000 34 1.03653 34 2.47428 5.70194 
65000 31 0.886408 31 2.49396 5.74833 
66000 30 0.879299 30 2.49538 5.75326 
67000 26 0.818065 26 2.49823 5.76361 
68000 30 0.825467 30 2.50062 5.77333 
69000 35 0.900456 35 2.4964 5.75389 
70000 30 0.909896 30 2.48606 5.73056 
71000 31 0.851888 31 2.49433 5.75056 
72000 31 0.831899 31 2.49725 5.76306 
73000 31 0.903866 31 2.48601 5.73187 
74000 31 0.912412 31 2.48985 5.73722 
75000 32 0.902526 32 2.49603 5.75049 
76000 32 0.949014 32 2.48442 5.72389 
77000 29 0.815411 29 2.4965 5.76111 
