# Sun Mar  2 14:41:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 8 0.878244 8 0.829647 1.80437 
4000 7 0.339977 12 0.959459 1.93276 
5000 12 1.03693 16 1.05317 2.11778 
6000 13 0.538208 26 1.45963 2.91209 
7000 16 0.613104 24 1.45119 2.89595 
8000 17 0.643571 26 1.4416 2.88391 
9000 20 1.43137 31 1.46919 2.92186 
10000 17 0.527263 28 1.46353 2.91377 
11000 16 0.502514 28 1.47791 2.93245 
12000 13 0.42268 22 1.47933 2.93651 
13000 16 0.43107 22 1.47816 2.93594 
14000 11 0.446111 20 1.48057 2.93766 
15000 12 0.375697 20 1.48767 2.94796 
16000 12 0.41395 20 1.47612 2.93446 
17000 20 1.35847 30 1.66018 3.37317 
18000 11 0.439785 15 1.88967 3.93278 
19000 13 0.441074 19 1.88697 3.93048 
20000 13 0.701829 29 1.94622 4.04223 
21000 12 0.354288 23 1.91559 3.93103 
22000 11 0.407121 27 1.91407 3.92697 
23000 16 0.455147 34 1.91055 3.91983 
24000 12 0.384456 25 1.91612 3.93077 
25000 11 0.300829 27 1.92275 3.94483 
26000 12 0.403294 27 1.91269 3.92443 
27000 10 0.355245 23 1.91817 3.93506 
28000 13 0.346914 26 1.91692 3.93307 
29000 11 0.285359 20 1.92584 3.95059 
30000 11 0.323017 26 1.9209 3.94079 
31000 11 0.344748 21 1.92165 3.94167 
32000 9 0.340725 21 1.91892 3.93707 
33000 13 0.352225 23 1.92034 3.93967 
34000 11 0.333285 23 1.92117 3.94111 
35000 15 0.309047 24 1.92478 3.94828 
36000 11 0.297948 23 1.924 3.94743 
37000 13 0.361301 25 1.91891 3.93594 
38000 14 0.408622 26 1.91298 3.92445 
39000 13 0.34454 26 1.92021 3.93879 
40000 13 0.341624 27 1.92218 3.94341 
41000 13 0.346602 24 1.92028 3.9391 
42000 11 0.312033 20 1.92405 3.94713 
43000 13 0.376749 23 1.92 3.93766 
44000 12 0.317402 26 1.92387 3.94743 
45000 9 0.289991 21 1.92604 3.95057 
46000 12 0.33434 26 1.92383 3.94596 
47000 9 0.265795 21 1.9266 3.95259 
48000 12 0.32714 20 1.91859 3.9368 
49000 13 0.397009 24 1.91462 3.92732 
50000 10 0.290506 20 1.92714 3.95259 
51000 11 0.356343 22 1.91922 3.9368 
52000 9 0.295049 17 1.92654 3.95085 
53000 8 0.347812 20 1.91569 3.93073 
54000 13 0.303207 23 1.92453 3.94858 
55000 12 0.335662 27 1.92078 3.93994 
56000 11 0.362985 28 1.91893 3.93623 
57000 14 0.338678 29 1.92308 3.94397 
58000 9 0.340032 20 1.92118 3.94052 
59000 10 0.319894 22 1.92182 3.9431 
60000 12 0.412887 28 1.91461 3.92732 
61000 10 0.319426 23 1.92356 3.94511 
62000 13 0.370263 24 1.91877 3.93623 
63000 13 0.360956 24 1.91841 3.93508 
64000 13 0.345136 24 1.92052 3.93937 
65000 10 0.318848 19 1.91863 3.93651 
66000 8 0.364079 19 1.91586 3.93017 
67000 12 0.370286 26 1.92012 3.93878 
68000 12 0.371523 21 1.91652 3.93163 
69000 14 0.348321 28 1.92238 3.94312 
70000 14 0.381164 28 1.91911 3.93649 
71000 11 0.344218 25 1.92243 3.94282 
72000 14 0.365614 29 1.92047 3.9391 
73000 14 0.345607 26 1.92145 3.94167 
74000 11 0.292945 21 1.92385 3.94741 
75000 15 0.311886 26 1.9226 3.94454 
76000 12 0.345893 26 1.92208 3.94226 
77000 11 0.274119 20 1.92736 3.95375 
78000 12 0.387899 27 1.9193 3.93565 
79000 11 0.345981 23 1.91947 3.93734 
80000 12 0.315222 23 1.92305 3.9454 
81000 8 0.301507 17 1.92228 3.94312 
82000 11 0.359253 26 1.92113 3.94025 
83000 12 0.307552 24 1.92343 3.94339 
84000 11 0.312231 26 1.9388 3.94855 
85000 15 0.45645 35 1.95775 3.94104 
86000 24 0.922011 40 2.48796 5.68998 
87000 25 0.508911 43 2.55041 5.89336 
88000 25 0.596276 45 2.54254 5.87172 
89000 28 0.539451 53 2.5435 5.87482 
90000 21 1.29704 47 2.52746 5.90014 
91000 19 0.56451 40 2.51779 5.89672 
92000 19 0.524348 41 2.52187 5.90904 
93000 18 0.502526 37 2.52341 5.91463 
94000 19 0.567458 43 2.51831 5.89876 
95000 19 0.53076 41 2.51957 5.90259 
96000 18 0.466638 47 2.52734 5.92627 
97000 14 0.404033 38 2.53272 5.94356 
98000 21 0.492358 47 2.52801 5.92927 
99000 20 0.450066 43 2.54086 5.93207 
100000 18 0.37624 40 2.56331 5.93473 
