# Thu Feb 20 12:45:52 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.654626 2 0 0.831342 
3000 10 0.906055 10 0.884506 1.83324 
4000 12 0.940619 12 1.41211 2.72694 
5000 13 0.826511 13 1.44969 2.78883 
6000 15 0.536605 15 1.93311 3.87354 
7000 18 0.474048 18 1.94072 3.89 
8000 17 0.573114 17 1.92963 3.86778 
9000 20 0.607398 20 1.92754 3.86222 
10000 17 0.566714 17 1.9254 3.85889 
11000 16 0.543886 16 1.9289 3.86611 
12000 20 0.575178 20 1.9264 3.86139 
13000 22 0.552321 22 1.93786 3.88194 
14000 18 0.613297 18 1.92145 3.85278 
15000 21 0.560927 21 1.9242 3.86028 
16000 19 0.628029 19 1.92709 3.85667 
17000 18 0.557522 18 1.92677 3.86222 
18000 20 0.615724 20 1.91969 3.84694 
19000 20 0.593597 20 1.92687 3.86 
20000 18 0.586375 18 1.9287 3.86389 
21000 20 0.613537 20 1.91154 3.83694 
22000 18 0.597004 18 1.92875 3.86444 
23000 18 0.622571 18 1.91231 3.83583 
24000 19 0.549927 19 1.93613 3.87611 
25000 19 0.591766 19 1.92773 3.86413 
26000 23 1.07709 23 2.21536 4.73528 
27000 19 0.703639 19 2.24972 4.82917 
28000 20 0.73263 20 2.2464 4.82 
29000 16 0.639954 16 2.25405 4.84301 
30000 20 0.701093 20 2.25663 4.84111 
31000 22 0.698667 22 2.24832 4.82611 
32000 18 0.668611 18 2.25532 4.84051 
33000 18 0.698133 18 2.24718 4.82444 
34000 19 0.655873 19 2.25161 4.83829 
35000 21 0.629466 21 2.25759 4.85056 
36000 20 0.710966 20 2.24181 4.81917 
37000 19 0.737191 19 2.24308 4.82 
38000 19 0.762589 19 2.23304 4.79917 
39000 23 0.700615 23 2.2432 4.82361 
40000 21 0.684789 21 2.2545 4.84167 
41000 22 0.682978 22 2.24712 4.82861 
42000 21 0.689643 21 2.25254 4.83806 
43000 22 0.7471 22 2.24195 4.81694 
44000 18 0.752035 18 2.23886 4.80884 
45000 18 0.691376 18 2.24181 4.81944 
46000 21 0.72581 21 2.24399 4.82056 
47000 19 0.698206 19 2.24452 4.82389 
48000 20 0.71992 20 2.2493 4.82917 
49000 21 0.74926 21 2.24452 4.81972 
50000 21 0.858839 21 2.23049 4.7875 
51000 20 0.811389 20 2.24137 4.80861 
52000 22 0.764828 22 2.23928 4.81167 
53000 19 0.668235 19 2.25637 4.84667 
54000 20 0.694896 20 2.24683 4.83056 
55000 23 0.715762 23 2.24045 4.81662 
56000 20 0.725656 20 2.24689 4.82717 
57000 17 0.668473 17 2.25271 4.84222 
58000 20 0.665704 20 2.25452 4.84111 
59000 20 0.683516 20 2.25165 4.83694 
60000 20 0.636592 20 2.25905 4.85167 
61000 22 0.708968 22 2.24605 4.82333 
62000 22 0.711967 22 2.25078 4.83361 
63000 21 0.69487 21 2.25387 4.84139 
64000 18 0.575726 18 2.27082 4.87583 
65000 20 0.584134 20 2.2654 4.86333 
66000 19 0.590866 19 2.26344 4.86111 
67000 19 0.659578 19 2.26047 4.85083 
68000 21 0.642393 21 2.26385 4.85694 
69000 21 0.618818 21 2.2642 4.86083 
70000 19 0.757264 19 2.24554 4.81472 
71000 19 0.681876 19 2.25435 4.8375 
72000 21 0.690106 21 2.24852 4.82611 
73000 19 0.605723 19 2.26325 4.85778 
74000 19 0.58941 19 2.2666 4.86556 
75000 20 0.676787 20 2.25961 4.84861 
76000 18 0.604321 18 2.26708 4.86694 
77000 18 0.694601 18 2.25298 4.83389 
78000 22 0.646907 22 2.25919 4.84917 
79000 19 0.708955 19 2.24757 4.825 
80000 20 0.687553 20 2.25544 4.83773 
81000 22 0.744141 22 2.2449 4.81806 
82000 21 0.686866 21 2.25803 4.84611 
83000 18 0.679337 18 2.26021 4.85 
84000 19 0.650979 19 2.25934 4.84972 
85000 21 0.678002 21 2.25665 4.84556 
86000 19 0.707145 19 2.25335 4.83389 
87000 21 0.577814 21 2.26738 4.86917 
88000 20 0.651878 20 2.26034 4.85111 
89000 21 0.683284 21 2.25344 4.83806 
90000 19 0.713051 19 2.24872 4.82556 
91000 22 0.66769 22 2.25757 4.84556 
92000 19 0.67592 19 2.26121 4.85194 
93000 19 0.734559 19 2.2473 4.82306 
94000 20 0.671059 20 2.26754 4.86167 
95000 22 0.67286 22 2.2652 4.85917 
96000 21 0.700692 21 2.25162 4.83333 
97000 21 0.645086 21 2.25791 4.84556 
98000 19 0.606998 19 2.2591 4.85333 
99000 21 0.689564 21 2.25961 4.84556 
100000 19 0.640198 19 2.26108 4.85194 
