# Sun Apr 27 17:06:41 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.00728893 2 0 0.00060018 
2000 1 0 1 0 0 
3000 2 0.0104038 2 0 0.0009 
4000 3 0.0889735 3 0 0.0102 
5000 1 0 1 0 0 
6000 2 0.00834725 2 0 0.00070014 
7000 4 0.323911 4 0 0.0566057 
8000 3 0.466924 3 0 0.0825 
9000 5 0.535341 5 0.0005 0.0861 
10000 4 0.456812 4 0 0.0884 
11000 8 0.67634 8 0.133093 0.270227 
12000 8 0.603941 8 0.141312 0.2814 
13000 16 0.589445 16 0.137285 0.2665 
14000 31 0.687909 31 0.195045 0.42 
15000 30 0.623307 30 0.226219 0.5156 
16000 27 0.6442 27 0.232364 0.5316 
17000 29 0.756681 29 0.259921 0.5919 
18000 36 0.894557 36 0.279527 0.635164 
19000 41 0.949664 41 0.289765 0.661966 
20000 40 1.25759 40 0.327965 0.747075 
21000 48 1.492 48 0.324213 0.755876 
22000 51 1.71811 51 0.362351 0.8445 
23000 53 1.80707 53 0.341397 0.8305 
24000 47 1.86812 47 0.354424 0.8594 
25000 47 1.94059 47 0.347426 0.8604 
26000 41 1.90909 41 0.338437 0.839784 
27000 48 1.92418 48 0.309662 0.8092 
28000 44 1.79305 44 0.293756 0.7725 
29000 40 1.69814 40 0.288093 0.7526 
30000 44 1.60599 44 0.277438 0.7327 
31000 42 1.58777 42 0.273047 0.727473 
32000 41 1.5318 41 0.269035 0.720072 
33000 39 1.60148 39 0.264599 0.72 
34000 47 1.61959 47 0.279041 0.7447 
35000 40 1.65354 40 0.273583 0.756876 
36000 41 1.68376 41 0.287615 0.7702 
37000 44 1.50855 44 0.296893 0.7442 
38000 41 1.45115 41 0.278156 0.69817 
39000 44 1.54622 44 0.29519 0.7348 
40000 36 1.53121 36 0.278349 0.7302 
41000 42 1.51871 42 0.296966 0.7593 
42000 42 1.62428 42 0.294466 0.770331 
43000 45 1.75518 45 0.314466 0.814681 
44000 49 1.88092 49 0.345147 0.8668 
45000 52 2.10806 52 0.359438 0.9108 
46000 50 2.19776 50 0.365025 0.9339 
47000 46 2.16439 46 0.330814 0.8862 
48000 50 2.00986 50 0.31431 0.8509 
49000 46 1.98376 46 0.319847 0.859486 
50000 40 1.90169 40 0.314723 0.8505 
51000 46 1.96873 46 0.341555 0.8848 
52000 43 1.98513 43 0.327174 0.8694 
53000 45 2.04863 45 0.311314 0.8639 
54000 42 2.07071 42 0.33129 0.892189 
55000 37 2.08882 37 0.307588 0.8751 
56000 39 2.1693 39 0.312284 0.8908 
57000 36 2.0881 36 0.303263 0.881088 
58000 38 2.03684 38 0.299997 0.8568 
59000 37 1.93563 37 0.285187 0.8114 
60000 34 1.75578 34 0.253854 0.746449 
61000 38 1.70483 38 0.280411 0.7905 
62000 35 1.67435 35 0.278041 0.7612 
63000 35 1.6163 35 0.277975 0.7489 
64000 35 1.5354 35 0.274003 0.7401 
65000 37 1.55826 37 0.287663 0.75 
66000 41 1.49834 41 0.276229 0.7088 
67000 33 1.46772 33 0.275212 0.6971 
68000 50 1.44023 50 0.275581 0.6871 
69000 64 3.02022 64 1.14703 2.5793 
70000 63 3.96514 63 1.7621 3.8476 
71000 73 4.31801 73 2.00865 4.3079 
72000 74 4.40624 74 2.05559 4.3598 
73000 86 4.3678 86 2.0484 4.3598 
74000 86 4.4109 86 2.00398 4.24535 
75000 77 4.35552 77 1.98964 4.20082 
76000 80 4.33653 80 1.93665 4.06892 
77000 83 4.31868 83 1.90077 3.97369 
78000 79 4.2252 79 1.86817 3.89867 
79000 80 4.24015 80 1.83609 3.81825 
80000 78 4.16499 78 1.81319 3.768 
81000 83 4.1716 83 1.80477 3.73957 
82000 82 4.04823 82 1.77766 3.6716 
83000 77 4.00637 77 1.72603 3.56666 
84000 77 3.89075 77 1.67847 3.45055 
85000 74 3.80064 74 1.66323 3.40718 
86000 79 3.77389 79 1.64356 3.37134 
87000 74 3.66213 74 1.59082 3.26981 
88000 69 3.46715 69 1.55911 3.194 
89000 66 3.42215 66 1.5384 3.15545 
90000 64 3.31601 64 1.50901 3.1031 
91000 65 3.37999 65 1.50836 3.10242 
92000 66 3.38825 66 1.48474 3.05452 
93000 64 3.31371 64 1.46085 3.012 
94000 60 3.2291 60 1.44353 2.9704 
95000 71 3.23407 71 1.43548 2.957 
96000 62 3.10076 62 1.408 2.90819 
97000 62 3.03388 62 1.38979 2.87127 
98000 62 2.89962 62 1.36267 2.81338 
99000 57 2.84122 57 1.36421 2.81241 
100000 69 2.85994 69 1.35846 2.80432 
