# Sun Apr 13 18:01:20 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0283941 2 0 0.00287274 
5000 2 0.590717 2 0 0.142488 
6000 2 0.681596 2 0 0.180695 
7000 2 0.595163 2 0 0.144211 
8000 2 0.555442 2 0 0.129273 
9000 2 0.546681 2 0 0.126113 
10000 2 0.579449 2 0 0.138179 
11000 2 0.57258 2 0 0.135593 
12000 2 0.53616 2 0 0.122379 
13000 2 0.620414 2 0 0.154266 
14000 2 0.528766 2 0 0.119793 
15000 2 0.577169 2 0 0.137317 
16000 2 0.733719 2 0 0.205975 
17000 2 0.675924 2 0 0.17811 
18000 2 0.625328 2 0 0.156277 
19000 2 0.614743 2 0 0.151968 
20000 2 0.574114 2 0 0.136168 
21000 2 0.609013 2 0 0.14967 
22000 2 0.426525 2 0 0.087044 
23000 2 0.403716 2 0 0.0804367 
24000 2 0.515395 2 0 0.115197 
25000 2 0.521281 2 0 0.117208 
26000 2 0.514549 2 0 0.11491 
27000 2 0.475248 2 0 0.101982 
28000 2 0.501724 2 0 0.1106 
29000 2 0.532063 2 0 0.120942 
30000 2 0.499994 2 0 0.110026 
31000 2 0.477947 2 0 0.102844 
32000 2 0.601036 2 0 0.14651 
33000 2 0.686582 2 0 0.182993 
34000 2 0.611169 2 0 0.150531 
35000 2 0.721813 2 0 0.199943 
36000 2 0.611169 2 0 0.150531 
37000 2 0.691517 2 0 0.185292 
38000 2 0.629505 2 0 0.158001 
39000 2 0.670187 2 0 0.175524 
40000 2 0.686582 2 0 0.182993 
41000 2 0.745847 2 0 0.212295 
42000 2 0.611885 2 0 0.150819 
43000 2 0.54427 2 0 0.125251 
44000 2 0.550679 2 0 0.12755 
45000 2 0.583983 2 0 0.139902 
46000 2 0.560949 2 0 0.131284 
47000 2 0.637079 2 0 0.161161 
48000 2 0.667616 2 0 0.174375 
49000 2 0.543464 2 0 0.124964 
50000 2 0.29602 2 0 0.0522838 
51000 2 0.643872 2 0 0.164033 
52000 2 0.541848 2 0 0.12439 
53000 2 0.561732 2 0 0.131571 
54000 2 0.624629 2 0 0.15599 
55000 2 0.632961 2 0 0.159437 
56000 2 0.518765 2 0 0.116346 
57000 2 0.601766 2 0 0.146797 
58000 2 0.666326 2 0 0.173801 
59000 2 0.690288 2 0 0.184717 
60000 2 0.618294 2 0 0.153404 
61000 2 0.657856 2 0 0.170066 
62000 2 0.69943 2 0 0.189026 
63000 2 0.693966 2 0 0.186441 
64000 2 0.651909 2 0 0.167481 
65000 2 0.633649 2 0 0.159724 
66000 2 0.80842 2 0 0.248205 
67000 2 0.738723 2 0 0.208561 
68000 2 0.673383 2 0 0.176961 
69000 2 0.761309 2 0 0.220626 
70000 2 0.666326 2 0 0.173801 
71000 2 0.710169 2 0 0.194197 
72000 2 0.67529 2 0 0.177822 
73000 2 0.644546 2 0 0.164321 
74000 2 0.737616 2 0 0.207986 
75000 2 0.821032 2 0 0.256248 
76000 2 0.704234 2 0 0.191324 
77000 2 0.663085 2 0 0.172364 
78000 2 0.713694 2 0 0.195921 
79000 2 0.785138 2 0 0.234128 
80000 2 0.714863 2 0 0.196495 
81000 2 0.711935 2 0 0.195059 
82000 2 0.658512 2 0 0.170353 
83000 2 0.599574 2 0 0.145935 
84000 2 0.647347 2 0 0.165517 
85000 2 0.632271 2 0 0.15915 
86000 2 0.55702 2 0 0.129848 
87000 2 0.697009 2 0 0.187877 
88000 2 0.731476 2 0 0.204826 
89000 2 0.677822 2 0 0.178972 
90000 2 0.509451 2 0 0.113186 
91000 2 0.63089 2 0 0.158575 
92000 2 0.57869 2 0 0.137891 
93000 2 0.780691 2 0 0.231543 
94000 2 0.626724 2 0 0.156851 
95000 2 0.654561 2 0 0.16863 
96000 2 0.601766 2 0 0.146797 
97000 2 0.708988 2 0 0.193623 
98000 2 0.605401 2 0 0.148233 
99000 2 0.630198 2 0 0.158288 
100000 2 0.621119 2 0 0.154553 
