# Wed Apr 16 12:21:51 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0234561 2 0 0.00229819 
3000 2 0.231332 2 0 0.0376329 
4000 2 0.605401 2 0 0.148233 
5000 2 0.579449 2 0 0.138179 
6000 3 0.548457 3 0 0.124102 
7000 4 0.950147 4 0.00258621 0.207759 
8000 4 1.21009 4 0.112899 0.374892 
9000 4 1.37002 4 0.133008 0.4763 
10000 4 1.2858 4 0.142488 0.449009 
11000 4 1.40531 4 0.134157 0.458489 
12000 4 1.42609 4 0.102557 0.442976 
13000 4 1.36627 4 0.108015 0.419707 
14000 4 1.3091 4 0.156277 0.468544 
15000 4 1.17909 4 0.166044 0.462223 
16000 4 1.34282 4 0.112037 0.431485 
17000 4 1.22274 4 0.155128 0.453318 
18000 4 1.19721 4 0.136168 0.423442 
19000 4 1.30239 4 0.11491 0.415398 
20000 4 1.51934 4 0.149382 0.615053 
21000 4 1.44618 4 0.112899 0.44786 
22000 4 1.24953 4 0.153691 0.457627 
23000 4 1.24391 4 0.160011 0.45418 
24000 4 1.14314 4 0.13703 0.382361 
25000 4 1.2331 4 0.153979 0.426602 
26000 4 1.33478 4 0.085033 0.378914 
27000 4 1.26748 4 0.175524 0.466533 
28000 4 1.06872 4 0.171215 0.413674 
29000 4 1.10861 4 0.141051 0.377765 
30000 4 1.02137 4 0.119219 0.331514 
31000 4 0.91758 4 0.151681 0.355358 
32000 4 0.936304 4 0.176961 0.396151 
33000 4 0.938724 4 0.139902 0.33611 
34000 4 0.907599 4 0.117782 0.300776 
35000 4 0.857255 4 0.117208 0.286699 
36000 4 1.00992 4 0.0669348 0.260557 
37000 4 0.752883 4 0.096524 0.237288 
38000 4 0.770852 4 0.0721057 0.207699 
39000 4 0.704879 4 0.0956622 0.227808 
40000 4 0.627785 4 0.0919276 0.20971 
41000 4 0.523519 4 0.0861821 0.185292 
42000 4 0.615894 4 0.0646366 0.169779 
43000 4 0.468708 4 0.0830221 0.172077 
44000 4 0.421015 4 0.0703821 0.146222 
45000 4 0.458958 4 0.0784257 0.163746 
46000 4 0.4519 4 0.0795748 0.164321 
47000 4 0.43518 4 0.0643493 0.139328 
48000 4 0.383569 4 0.0600575 0.125862 
49000 4 0.488514 4 0.0761275 0.165182 
50000 4 0.404039 4 0.0689457 0.142201 
51000 4 0.37826 4 0.0617639 0.127837 
52000 4 0.31794 4 0.041942 0.0916403 
53000 4 0.303823 4 0.0462511 0.0956622 
54000 4 0.40435 4 0.066073 0.137604 
55000 4 0.438182 4 0.0680839 0.145361 
56000 4 0.492045 4 0.0732548 0.161735 
57000 4 0.37159 4 0.0537202 0.115197 
58000 4 0.501456 4 0.0712439 0.159724 
59000 4 0.947548 4 0.00861821 0.221775 
60000 3 0.874503 3 0 0.185004 
61000 3 0.920209 3 0 0.199943 
62000 4 0.968171 4 0.0011491 0.215168 
63000 4 1.08411 4 0.0551566 0.269176 
64000 4 1.10449 4 0.0456765 0.26975 
65000 4 1.13374 4 0.122666 0.357943 
66000 4 1.1288 4 0.045102 0.275783 
67000 4 1.20587 4 0.0548693 0.309394 
68000 4 1.14086 4 0.0761275 0.305947 
69000 4 1.31863 4 0.0583166 0.351623 
70000 4 1.251 4 0.0479747 0.32347 
71000 4 1.35203 4 0.0425165 0.380063 
72000 4 1.27977 4 0.0657857 0.343867 
73000 4 1.19575 4 0.0689457 0.32031 
74000 4 1.1709 4 0.0761275 0.318299 
75000 4 1.07856 4 0.0594657 0.27291 
76000 4 1.25855 4 0.0548693 0.334674 
77000 4 1.11637 4 0.0890549 0.320885 
78000 4 1.05602 4 0.0807239 0.287274 
79000 4 1.01854 4 0.0804367 0.281241 
80000 4 0.958714 4 0.13071 0.32663 
81000 4 1.21839 4 0.110313 0.367136 
82000 4 0.770434 4 0.108015 0.25711 
83000 4 0.908823 4 0.106004 0.282103 
84000 4 0.906367 4 0.0795748 0.248205 
85000 4 0.950745 4 0.066073 0.243034 
86000 4 0.922486 4 0.0821603 0.254525 
87000 4 0.827004 4 0.120655 0.286986 
88000 4 0.847468 4 0.134444 0.309681 
89000 4 0.779123 4 0.120368 0.278081 
90000 4 0.902975 4 0.0962367 0.267739 
91000 4 0.99117 4 0.0985349 0.29503 
92000 4 0.891424 4 0.0982476 0.267165 
93000 4 0.813492 4 0.0835967 0.23183 
94000 4 1.00813 4 0.0781385 0.271186 
95000 4 0.912379 4 0.0847458 0.256248 
96000 4 0.794542 4 0.124102 0.284688 
97000 4 0.642432 4 0.0821603 0.197644 
98000 4 0.670553 4 0.0715312 0.187877 
99000 4 0.814711 4 0.0431034 0.208908 
100000 4 0.854811 4 0.0677966 0.229244 
