# Avida tasks data
# Wed Mar 26 22:19:12 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 2 
3000 2 
4000 0 
5000 0 
6000 0 
7000 684 
8000 681 
9000 832 
10000 897 
11000 811 
12000 728 
13000 692 
14000 886 
15000 985 
16000 947 
17000 998 
18000 1034 
19000 1182 
20000 1034 
21000 1142 
22000 1071 
23000 1056 
24000 1059 
25000 944 
26000 1040 
27000 1286 
28000 1213 
29000 1364 
30000 1420 
31000 1265 
32000 1527 
33000 1153 
34000 789 
35000 769 
36000 824 
37000 978 
38000 947 
39000 848 
40000 861 
41000 792 
42000 974 
43000 986 
44000 1007 
45000 1006 
46000 925 
47000 1069 
48000 1038 
49000 790 
50000 920 
51000 791 
52000 804 
53000 665 
54000 744 
55000 675 
56000 729 
57000 714 
58000 696 
59000 737 
60000 712 
61000 611 
62000 735 
63000 659 
64000 669 
65000 673 
66000 618 
67000 782 
68000 895 
69000 1036 
70000 913 
71000 847 
72000 880 
73000 931 
74000 852 
75000 911 
76000 954 
77000 944 
78000 814 
79000 1023 
80000 832 
81000 1230 
82000 1052 
83000 848 
84000 889 
85000 870 
86000 806 
87000 855 
88000 942 
89000 974 
90000 1196 
91000 1201 
92000 1039 
93000 1210 
94000 945 
95000 1056 
96000 1091 
97000 1013 
98000 847 
99000 1047 
100000 874 
