# Thu Mar 27 11:48:14 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.00701383 2 0 0.000574548 
4000 1 0 1 0 0 
5000 2 0.00701383 2 0 0.000574548 
6000 2 0.232673 2 0 0.0379201 
7000 2 0.511155 2 0 0.11376 
8000 2 0.619002 2 0 0.153691 
9000 2 0.61403 2 0 0.151681 
10000 2 0.670187 2 0 0.175524 
11000 2 0.64522 2 0 0.164608 
12000 2 0.541949 2 0 0.124425 
13000 2 0.576406 2 0 0.13703 
14000 2 0.579554 2 0 0.138218 
15000 2 0.568729 2 0 0.134157 
16000 2 0.670187 2 0 0.175524 
17000 2 0.721813 2 0 0.199943 
18000 4 1.03004 4 0.223499 0.493249 
19000 4 1.06214 4 0.192186 0.453031 
20000 3 0.962258 3 0.189026 0.426027 
21000 4 1.11235 4 0.232759 0.531034 
22000 4 1.2206 4 0.260557 0.595519 
23000 4 1.14208 4 0.210572 0.502442 
24000 3 1.03439 3 0.235277 0.515656 
25000 4 0.947884 4 0.219477 0.467394 
26000 3 0.99239 3 0.214019 0.471704 
27000 4 1.08655 4 0.204023 0.477299 
28000 3 0.874253 3 0.193048 0.412238 
29000 3 1.04975 3 0.216317 0.490089 
30000 3 1.01922 3 0.192473 0.446136 
31000 4 1.0056 4 0.201379 0.453605 
32000 3 0.97877 3 0.195633 0.440103 
33000 3 0.890215 3 0.204023 0.433046 
34000 3 0.938024 3 0.205113 0.444987 
35000 3 0.843739 3 0.190175 0.401609 
36000 3 0.834081 3 0.205113 0.424303 
37000 3 0.873667 3 0.210859 0.440965 
38000 3 0.861551 3 0.203677 0.426889 
39000 4 0.831719 4 0.191324 0.399311 
40000 3 0.944976 3 0.213732 0.460213 
41000 4 1.03865 4 0.220914 0.4921 
42000 3 1.17398 3 0.230394 0.54898 
43000 3 1.15151 3 0.221201 0.528009 
44000 4 1.1227 4 0.236139 0.536627 
45000 4 1.22191 4 0.21919 0.548406 
46000 4 1.22433 4 0.233266 0.562769 
47000 4 1.19514 4 0.214594 0.532031 
48000 4 1.20111 4 0.192473 0.499282 
49000 4 0.985909 4 0.193048 0.433783 
50000 4 0.982289 4 0.202299 0.45 
51000 4 1.0058 4 0.201092 0.450158 
52000 4 1.00489 4 0.214368 0.474713 
53000 3 0.916039 3 0.207412 0.443838 
54000 3 0.931044 3 0.211146 0.453031 
55000 3 1.05821 3 0.211721 0.485493 
56000 4 1.13169 4 0.240161 0.548693 
57000 4 0.995486 4 0.179546 0.417122 
58000 3 0.973633 3 0.206322 0.455172 
59000 4 1.06288 4 0.214019 0.48894 
60000 3 0.852947 3 0.196208 0.4131 
61000 3 0.902544 3 0.199655 0.428612 
62000 4 0.975305 4 0.21603 0.467682 
63000 4 0.890936 4 0.184142 0.398161 
64000 4 0.92566 4 0.197644 0.428325 
65000 4 0.896314 4 0.203677 0.432922 
66000 4 0.990792 4 0.197932 0.443263 
67000 4 0.875017 4 0.193623 0.411951 
68000 3 0.911759 3 0.187877 0.412238 
69000 3 0.835826 3 0.19075 0.401034 
70000 3 0.875154 3 0.194197 0.414249 
71000 3 0.824709 3 0.17495 0.373743 
72000 3 0.865126 3 0.195633 0.414536 
73000 4 0.861911 4 0.198793 0.416547 
74000 4 0.877224 4 0.179833 0.39098 
75000 4 0.864004 4 0.186153 0.395863 
76000 4 0.918821 4 0.201666 0.433496 
77000 3 0.916071 3 0.19707 0.427463 
78000 4 0.933969 4 0.18759 0.411089 
79000 4 0.866691 4 0.189601 0.404769 
80000 4 0.827189 4 0.194197 0.404194 
81000 4 0.846895 4 0.196783 0.411376 
82000 4 0.823976 4 0.185292 0.388681 
83000 4 0.871607 4 0.187877 0.403045 
84000 3 0.806324 3 0.194484 0.401896 
85000 4 0.794604 4 0.180695 0.376903 
86000 4 0.781701 4 0.168917 0.354783 
87000 4 0.830856 4 0.173513 0.371158 
88000 4 0.785462 4 0.186441 0.384372 
89000 4 0.810446 4 0.205688 0.420856 
90000 4 0.822918 4 0.183281 0.385234 
91000 4 0.780077 4 0.172077 0.359954 
92000 3 0.790488 3 0.18127 0.377478 
93000 4 0.847731 4 0.198219 0.414249 
94000 3 0.900027 3 0.195633 0.421718 
95000 3 0.772679 3 0.19391 0.395576 
96000 3 0.891874 3 0.217466 0.455329 
97000 4 0.829742 4 0.181322 0.383333 
98000 3 0.823315 3 0.183281 0.38667 
99000 3 0.868807 3 0.208273 0.435794 
100000 3 0.833843 3 0.199943 0.415685 
