# Thu Mar 27 11:58:28 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.429526 2 0 0.087931 
4000 2 0.715446 2 0 0.196783 
5000 2 0.772142 2 0 0.226659 
6000 2 0.756574 2 0 0.218041 
7000 2 0.720662 2 0 0.199368 
8000 2 0.805653 2 0 0.246481 
9000 2 0.852427 2 0 0.277794 
10000 2 0.754451 2 0 0.216892 
11000 2 0.846825 2 0 0.273772 
12000 2 0.736621 2 0 0.207471 
13000 2 0.767536 2 0 0.224074 
14000 2 0.761309 2 0 0.220626 
15000 2 0.760786 2 0 0.220339 
16000 2 0.729222 2 0 0.203677 
17000 2 0.768564 2 0 0.224648 
18000 2 0.778927 2 0 0.230526 
19000 2 0.785629 2 0 0.234415 
20000 2 0.697616 2 0 0.188164 
21000 2 0.621119 2 0 0.154553 
22000 2 0.670187 2 0 0.175524 
23000 2 0.677822 2 0 0.178972 
24000 2 0.706617 2 0 0.192473 
25000 2 0.624038 2 0 0.155747 
26000 2 0.606126 2 0 0.148521 
27000 2 0.646676 2 0 0.16523 
28000 2 0.739827 2 0 0.209135 
29000 2 0.737061 2 0 0.207699 
30000 2 0.753385 2 0 0.216317 
31000 2 0.742574 2 0 0.210572 
32000 2 0.778697 2 0 0.230394 
33000 2 0.754451 2 0 0.216892 
34000 2 0.665032 2 0 0.173226 
35000 2 0.68534 2 0 0.182419 
36000 2 0.754451 2 0 0.216892 
37000 2 0.69943 2 0 0.189026 
38000 2 0.695186 2 0 0.187015 
39000 2 0.679083 2 0 0.179546 
40000 2 0.649911 2 0 0.166619 
41000 2 0.672858 2 0 0.176724 
42000 2 0.630198 2 0 0.158288 
43000 2 0.690288 2 0 0.184717 
44000 2 0.558595 2 0 0.130422 
45000 2 0.690288 2 0 0.184717 
46000 2 0.735393 2 0 0.206837 
47000 2 0.719508 2 0 0.198793 
48000 2 0.766505 2 0 0.223499 
49000 2 0.756689 2 0 0.218103 
50000 2 0.81625 2 0 0.253161 
51000 2 0.82367 2 0 0.257972 
52000 2 0.775181 2 0 0.228383 
53000 2 0.790501 2 0 0.237288 
54000 2 0.773664 2 0 0.227521 
55000 2 0.733949 2 0 0.206094 
56000 2 0.768564 2 0 0.224648 
57000 2 0.725248 2 0 0.201666 
58000 2 0.780691 2 0 0.231543 
59000 2 0.73817 2 0 0.208273 
60000 2 0.775685 2 0 0.22867 
61000 2 0.731476 2 0 0.204826 
62000 2 0.73035 2 0 0.204252 
63000 2 0.742805 2 0 0.210693 
64000 2 0.806115 2 0 0.246768 
65000 2 0.740928 2 0 0.20971 
66000 2 0.682222 2 0 0.180982 
67000 2 0.733159 2 0 0.205688 
68000 2 0.72707 2 0 0.202586 
69000 2 0.730914 2 0 0.204539 
70000 2 0.559484 2 0 0.130747 
71000 2 0.728656 2 0 0.20339 
72000 2 0.653236 2 0 0.168055 
73000 2 0.648686 2 0 0.166092 
74000 2 0.775181 2 0 0.228383 
75000 2 0.488627 2 0 0.106291 
76000 2 0.573348 2 0 0.13588 
77000 2 0.646004 2 0 0.164943 
78000 2 0.663085 2 0 0.172364 
79000 2 0.630198 2 0 0.158288 
80000 2 0.677822 2 0 0.178972 
81000 2 0.69408 2 0 0.186494 
82000 2 0.726387 2 0 0.202241 
83000 2 0.704831 2 0 0.191612 
84000 2 0.609732 2 0 0.149957 
85000 2 0.621119 2 0 0.154553 
86000 2 0.682222 2 0 0.180982 
87000 2 0.653899 2 0 0.168342 
88000 2 0.673383 2 0 0.176961 
89000 2 0.585486 2 0 0.140477 
90000 2 0.643196 2 0 0.163746 
91000 2 0.750172 2 0 0.214594 
92000 2 0.797686 2 0 0.241597 
93000 2 0.698826 2 0 0.188739 
94000 2 0.684095 2 0 0.181844 
95000 2 0.679712 2 0 0.179833 
96000 2 0.680454 2 0 0.180172 
97000 2 0.717772 2 0 0.197932 
98000 2 0.688439 2 0 0.183855 
99000 2 0.616876 2 0 0.15283 
100000 2 0.632961 2 0 0.159437 
