# Sat Mar 29 13:27:14 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.0331647 2 0 0.00344729 
7000 2 0.715446 2 0 0.196783 
8000 2 0.707804 2 0 0.193048 
9000 2 0.732599 2 0 0.205401 
10000 2 0.809337 2 0 0.248779 
11000 2 0.742026 2 0 0.210284 
12000 2 0.788074 2 0 0.235852 
13000 2 0.796737 2 0 0.241023 
14000 3 0.770661 3 0 0.189026 
15000 3 0.823589 3 0 0.219764 
16000 4 1.00115 4 0.186153 0.419994 
17000 4 0.918952 4 0.20971 0.443263 
18000 4 0.880583 4 0.196208 0.414249 
19000 4 0.930671 4 0.196208 0.423442 
20000 4 0.872315 4 0.206837 0.430911 
21000 4 0.923261 4 0.206837 0.439242 
22000 4 0.876297 4 0.190463 0.404481 
23000 4 0.862908 4 0.200517 0.419132 
24000 4 0.921422 4 0.196208 0.421431 
25000 4 0.859986 4 0.208561 0.43206 
26000 4 0.91816 4 0.205688 0.436369 
27000 4 0.911196 4 0.205401 0.435794 
28000 4 0.899922 4 0.191954 0.410345 
29000 4 0.98268 4 0.203964 0.448722 
30000 4 0.928457 4 0.179259 0.395001 
31000 4 0.870264 4 0.2 0.418966 
32000 4 0.961606 4 0.222637 0.47314 
33000 4 0.969586 4 0.207184 0.449138 
34000 4 0.909759 4 0.196208 0.41942 
35000 4 0.904636 4 0.199368 0.423729 
36000 4 0.919933 4 0.176099 0.389256 
37000 4 0.86034 4 0.19707 0.412525 
38000 4 0.795741 4 0.187015 0.385809 
39000 4 0.89302 4 0.196208 0.416834 
40000 4 0.831948 4 0.177822 0.376041 
41000 4 0.872979 4 0.203964 0.426602 
42000 4 0.884725 4 0.187302 0.400172 
43000 4 0.854098 4 0.186728 0.39414 
44000 4 0.904364 4 0.185292 0.40046 
45000 4 0.871499 4 0.186782 0.397701 
46000 4 0.815594 4 0.167816 0.356897 
47000 4 0.846325 4 0.167768 0.361678 
48000 4 0.809939 4 0.185004 0.38466 
49000 4 0.821873 4 0.174662 0.369147 
50000 4 0.828906 4 0.188218 0.392816 
51000 4 0.792468 4 0.190175 0.39098 
52000 4 0.791862 4 0.185866 0.38351 
53000 4 0.853407 4 0.182993 0.38782 
54000 4 0.866652 4 0.198219 0.415398 
55000 4 0.948829 4 0.224361 0.474002 
56000 4 0.938592 4 0.188452 0.414823 
57000 4 1.0596 4 0.212295 0.478598 
58000 4 1.00024 4 0.218328 0.4763 
59000 4 1.0122 4 0.214019 0.470267 
60000 4 1.01935 4 0.213732 0.470267 
61000 4 1.06853 4 0.206263 0.468544 
62000 4 0.936031 4 0.18443 0.405343 
63000 4 0.968609 4 0.176386 0.40046 
64000 4 1.24464 4 0.237863 0.568802 
65000 4 1.16136 4 0.213732 0.504165 
66000 4 1.08827 4 0.215455 0.48578 
67000 4 1.0032 4 0.205975 0.455329 
68000 4 1.11626 4 0.20023 0.474864 
69000 4 1.08523 4 0.229819 0.509911 
70000 4 1.00424 4 0.21092 0.462931 
71000 4 1.09625 4 0.20971 0.484056 
72000 4 0.971734 4 0.202241 0.442402 
73000 4 0.960124 4 0.202528 0.441253 
74000 4 0.997984 4 0.200517 0.443551 
75000 4 1.01158 4 0.212583 0.46682 
76000 4 0.963011 4 0.199368 0.433783 
77000 4 1.13318 4 0.222924 0.507038 
78000 4 1.06706 4 0.211146 0.475438 
79000 4 1.13629 4 0.206322 0.482471 
80000 4 1.01598 4 0.201092 0.449296 
81000 4 0.989915 4 0.218041 0.473714 
82000 4 1.01867 4 0.204826 0.455042 
83000 4 1.00127 4 0.188164 0.424591 
84000 4 0.942827 4 0.19391 0.421718 
85000 4 1.0227 4 0.202586 0.451724 
86000 4 0.993964 4 0.186728 0.424303 
87000 4 1.01634 4 0.218328 0.479173 
88000 4 1.23335 4 0.235564 0.557311 
89000 4 1.09886 4 0.215743 0.489802 
90000 4 1.14341 4 0.214306 0.506176 
91000 4 1.05676 4 0.21287 0.480322 
92000 4 1.1756 4 0.214881 0.515082 
93000 4 1.07096 4 0.20655 0.471129 
94000 4 1.1056 4 0.222063 0.506176 
95000 4 1.04803 4 0.202528 0.457914 
96000 4 0.95296 4 0.204539 0.440678 
97000 4 1.04656 4 0.206837 0.464522 
98000 4 1.07488 4 0.208561 0.476587 
99000 4 0.996562 4 0.207986 0.455616 
100000 4 1.02418 4 0.204539 0.456191 
