# Sat Mar 29 13:30:08 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 2 0.61403 2 0 0.151681 
12000 2 0.846936 2 0 0.273851 
13000 2 0.809337 2 0 0.248779 
14000 2 0.832304 2 0 0.263717 
15000 2 0.810252 2 0 0.249354 
16000 2 0.857525 2 0 0.281528 
17000 2 0.765472 2 0 0.222924 
18000 2 0.814788 2 0 0.252226 
19000 2 0.765472 2 0 0.222924 
20000 2 0.840279 2 0 0.269176 
21000 2 0.801573 2 0 0.243966 
22000 2 0.801458 2 0 0.243895 
23000 2 0.806115 2 0 0.246768 
24000 2 0.836109 2 0 0.266303 
25000 2 0.809337 2 0 0.248779 
26000 2 0.819704 2 0 0.255386 
27000 2 0.842863 2 0 0.270977 
28000 2 0.811164 2 0 0.249928 
29000 2 0.806115 2 0 0.246768 
30000 2 0.814788 2 0 0.252226 
31000 2 0.775685 2 0 0.22867 
32000 2 0.733834 2 0 0.206034 
33000 2 0.775685 2 0 0.22867 
34000 2 0.847229 2 0 0.274059 
35000 2 0.800989 2 0 0.243608 
36000 2 0.831025 2 0 0.262856 
37000 2 0.789047 2 0 0.236426 
38000 2 0.731476 2 0 0.204826 
39000 2 0.74759 2 0 0.213218 
40000 2 0.710169 2 0 0.194197 
41000 2 0.739275 2 0 0.208848 
42000 2 0.73595 2 0 0.207124 
43000 2 0.71205 2 0 0.195115 
44000 2 0.732038 2 0 0.205113 
45000 2 0.713109 2 0 0.195633 
46000 2 0.709579 2 0 0.19391 
47000 2 0.710169 2 0 0.194197 
48000 2 0.712522 2 0 0.195346 
49000 2 0.745304 2 0 0.212008 
50000 2 0.705427 2 0 0.191899 
51000 2 0.680454 2 0 0.180172 
52000 2 0.718352 2 0 0.198219 
53000 2 0.695794 2 0 0.187302 
54000 2 0.684095 2 0 0.181844 
55000 2 0.711935 2 0 0.195059 
56000 2 0.710169 2 0 0.194197 
57000 2 0.69943 2 0 0.189026 
58000 2 0.672745 2 0 0.176673 
59000 2 0.694576 2 0 0.186728 
60000 2 0.68534 2 0 0.182419 
61000 2 0.685961 2 0 0.182706 
62000 2 0.67719 2 0 0.178684 
63000 2 0.689672 2 0 0.18443 
64000 2 0.683471 2 0 0.181557 
65000 2 0.695186 2 0 0.187015 
66000 2 0.68534 2 0 0.182419 
67000 2 0.660477 2 0 0.171215 
68000 2 0.663085 2 0 0.172364 
69000 2 0.681082 2 0 0.18046 
70000 2 0.671468 2 0 0.176099 
71000 2 0.679083 2 0 0.179546 
72000 2 0.692743 2 0 0.185866 
73000 2 0.675924 2 0 0.17811 
74000 2 0.689672 2 0 0.18443 
75000 2 0.655221 2 0 0.168917 
76000 2 0.690903 2 0 0.185004 
77000 2 0.655881 2 0 0.169204 
78000 2 0.670187 2 0 0.175524 
79000 2 0.704945 2 0 0.191667 
80000 2 0.655221 2 0 0.168917 
81000 2 0.680341 2 0 0.180121 
82000 2 0.674132 2 0 0.177299 
83000 2 0.661783 2 0 0.17179 
84000 2 0.684718 2 0 0.182132 
85000 2 0.667616 2 0 0.174375 
86000 2 0.678453 2 0 0.179259 
87000 2 0.678453 2 0 0.179259 
88000 2 0.674655 2 0 0.177535 
89000 2 0.695794 2 0 0.187302 
90000 2 0.679083 2 0 0.179546 
91000 2 0.664384 2 0 0.172939 
92000 2 0.657856 2 0 0.170066 
93000 2 0.670828 2 0 0.175812 
94000 2 0.648575 2 0 0.166044 
95000 2 0.695794 2 0 0.187302 
96000 2 0.667616 2 0 0.174375 
97000 2 0.680969 2 0 0.180408 
98000 2 0.672745 2 0 0.176673 
99000 2 0.659168 2 0 0.170641 
100000 2 0.665679 2 0 0.173513 
