# Thu Mar 27 12:31:32 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.266478 2 0 0.0453893 
6000 2 0.886734 2 0 0.30451 
7000 2 0.923009 2 0 0.338121 
8000 2 0.891575 2 0 0.308621 
9000 2 0.907809 2 0 0.323183 
10000 2 0.923009 2 0 0.338121 
11000 2 0.966702 2 0 0.392991 
12000 2 0.953289 2 0 0.373456 
13000 2 0.92133 2 0 0.336398 
14000 2 0.949652 2 0 0.368678 
15000 2 0.972049 2 0 0.401896 
16000 2 0.944302 2 0 0.361965 
17000 2 0.95768 2 0 0.379489 
18000 2 0.973512 2 0 0.404481 
19000 2 0.959693 2 0 0.382361 
20000 2 0.956112 2 0 0.377299 
21000 2 0.922452 2 0 0.337547 
22000 2 0.93086 2 0 0.346452 
23000 2 0.90503 2 0 0.320598 
24000 2 0.905651 2 0 0.321172 
25000 2 0.925493 2 0 0.340707 
26000 2 0.948305 2 0 0.366954 
27000 2 0.953289 2 0 0.373456 
28000 2 0.995325 2 0 0.45977 
29000 2 0.947313 2 0 0.3657 
30000 2 0.941446 2 0 0.358518 
31000 2 0.917912 2 0 0.33295 
32000 2 0.938515 2 0 0.35507 
33000 2 0.909638 2 0 0.324907 
34000 2 0.946939 2 0 0.36523 
35000 2 0.929005 2 0 0.344441 
36000 2 0.940477 2 0 0.357369 
37000 2 0.930332 2 0 0.345878 
38000 2 0.941204 2 0 0.35823 
39000 2 0.973672 2 0 0.404769 
40000 2 0.957066 2 0 0.378627 
41000 2 0.948448 2 0 0.367136 
42000 2 0.962808 2 0 0.386958 
43000 2 0.923842 2 0 0.338983 
44000 2 0.916466 2 0 0.331514 
45000 2 0.944537 2 0 0.362252 
46000 2 0.969865 2 0 0.398161 
47000 2 0.879067 2 0 0.29819 
48000 2 0.960484 2 0 0.38351 
49000 2 0.821032 2 0 0.256248 
50000 2 0.888778 2 0 0.306234 
51000 2 0.897179 2 0 0.313506 
52000 2 0.916852 2 0 0.331897 
53000 2 0.885016 2 0 0.303074 
54000 2 0.8583 2 0 0.282103 
55000 2 0.898695 2 0 0.314852 
56000 2 0.841518 2 0 0.270037 
57000 2 0.878712 2 0 0.297903 
58000 2 0.853218 2 0 0.278368 
59000 2 0.896854 2 0 0.313218 
60000 2 0.957476 2 0 0.379201 
61000 2 0.89998 2 0 0.316001 
62000 2 0.89805 2 0 0.314278 
63000 2 0.935763 2 0 0.35191 
64000 2 0.957271 2 0 0.378914 
65000 2 0.923565 2 0 0.338696 
66000 2 0.941446 2 0 0.358518 
67000 2 0.86891 2 0 0.290147 
68000 2 0.847229 2 0 0.274059 
69000 2 0.814788 2 0 0.252226 
70000 2 0.79816 2 0 0.241885 
71000 2 0.832304 2 0 0.263717 
72000 2 0.872954 2 0 0.293307 
73000 2 0.962617 2 0 0.38667 
74000 2 0.951557 2 0 0.371158 
75000 2 0.931646 2 0 0.347314 
76000 2 0.884671 2 0 0.302787 
77000 2 0.92467 2 0 0.339845 
78000 2 0.912939 2 0 0.328067 
79000 2 0.925039 2 0 0.34023 
80000 2 0.851237 2 0 0.276932 
81000 2 0.915883 2 0 0.330939 
82000 2 0.907503 2 0 0.322896 
83000 2 0.947768 2 0 0.366274 
84000 2 0.933206 2 0 0.349038 
85000 2 0.875131 2 0 0.29503 
86000 2 0.980423 2 0 0.417816 
87000 2 0.955198 2 0 0.376041 
88000 2 0.937272 2 0 0.353634 
89000 2 0.886049 2 0 0.303936 
90000 2 0.885361 2 0 0.303361 
91000 2 0.892139 2 0 0.309107 
92000 2 0.912045 2 0 0.327205 
93000 2 0.825852 2 0 0.259408 
94000 2 0.915883 2 0 0.330939 
95000 2 0.935852 2 0 0.352011 
96000 2 0.917624 2 0 0.332663 
97000 2 0.948448 2 0 0.367136 
98000 2 0.943831 2 0 0.36139 
99000 2 0.923288 2 0 0.338409 
100000 2 0.938267 2 0 0.354783 
