# Sun Mar 30 13:39:52 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.00701383 2 0 0.000574548 
6000 2 0.162509 2 0 0.0238437 
7000 2 0.68782 2 0 0.183568 
8000 2 0.775181 2 0 0.228383 
9000 2 0.771748 2 0 0.226437 
10000 2 0.757747 2 0 0.218678 
11000 2 0.767021 2 0 0.223786 
12000 2 0.710169 2 0 0.194197 
13000 2 0.772142 2 0 0.226659 
14000 2 0.712637 2 0 0.195402 
15000 2 0.755514 2 0 0.217466 
16000 2 0.730465 2 0 0.20431 
17000 2 0.713109 2 0 0.195633 
18000 2 0.746933 2 0 0.21287 
19000 2 0.700033 2 0 0.189313 
20000 2 0.720086 2 0 0.199081 
21000 2 0.745304 2 0 0.212008 
22000 2 0.694576 2 0 0.186728 
23000 2 0.717772 2 0 0.197932 
24000 2 0.672107 2 0 0.176386 
25000 2 0.738723 2 0 0.208561 
26000 2 0.725818 2 0 0.201953 
27000 2 0.710169 2 0 0.194197 
28000 2 0.706022 2 0 0.192186 
29000 2 0.694576 2 0 0.186728 
30000 2 0.698826 2 0 0.188739 
31000 2 0.704234 2 0 0.191324 
32000 2 0.66826 2 0 0.174662 
33000 2 0.700635 2 0 0.189601 
34000 2 0.758159 2 0 0.218903 
35000 2 0.724106 2 0 0.201092 
36000 2 0.67719 2 0 0.178684 
37000 2 0.682222 2 0 0.180982 
38000 2 0.723534 2 0 0.200804 
39000 2 0.744214 2 0 0.211433 
40000 2 0.740928 2 0 0.20971 
41000 2 0.728656 2 0 0.20339 
42000 3 1.20917 3 0 0.312841 
43000 3 1.19583 3 0 0.30767 
44000 3 1.19645 3 0 0.308245 
45000 3 1.21622 3 0 0.322321 
46000 3 1.16555 3 0 0.296754 
47000 3 1.21564 3 0 0.316288 
48000 3 1.25012 3 0 0.333238 
49000 4 1.38119 4 0.101695 0.410514 
50000 4 1.4093 4 0.151106 0.476874 
51000 4 1.35306 4 0.111175 0.410514 
52000 4 1.38081 4 0.145648 0.460787 
53000 4 1.33379 4 0.134157 0.434071 
54000 4 1.26262 4 0.182419 0.476013 
55000 4 1.34625 4 0.119219 0.417122 
56000 4 1.38094 4 0.161161 0.484056 
57000 4 1.27301 4 0.197414 0.502874 
58000 4 1.34433 4 0.147659 0.451307 
59000 4 1.33227 4 0.210572 0.540362 
60000 4 1.28756 4 0.202586 0.512356 
61000 4 1.26727 4 0.213444 0.526286 
62000 4 1.33164 4 0.185057 0.499713 
63000 4 1.34881 4 0.155702 0.464809 
64000 4 1.29733 4 0.176099 0.476013 
65000 4 1.33029 4 0.165757 0.471991 
66000 4 1.34722 4 0.144253 0.449425 
67000 4 1.37076 4 0.159724 0.475725 
68000 4 1.23639 4 0.205688 0.506176 
69000 4 1.33255 4 0.176961 0.488078 
70000 4 1.32487 4 0.141626 0.440965 
71000 4 1.33427 4 0.172989 0.482184 
72000 4 1.38956 4 0.172364 0.498995 
73000 4 1.22548 4 0.154266 0.42574 
74000 4 1.28738 4 0.149957 0.436656 
75000 4 1.35693 4 0.16547 0.480322 
76000 4 1.35498 4 0.143062 0.449009 
77000 4 1.25927 4 0.191037 0.497845 
78000 4 1.26361 4 0.169492 0.459925 
79000 4 1.35498 4 0.164033 0.478598 
80000 4 1.45505 4 0.103993 0.442976 
81000 4 1.37264 4 0.16092 0.477874 
82000 4 1.38376 4 0.179023 0.507184 
83000 4 1.30049 4 0.0916403 0.372307 
84000 4 1.20973 4 0.185579 0.466245 
85000 4 1.2991 4 0.139328 0.428038 
86000 4 1.31128 4 0.138179 0.430049 
87000 4 1.23676 4 0.11807 0.382074 
88000 4 1.27262 4 0.146222 0.427463 
89000 4 1.25625 4 0.158333 0.439368 
90000 4 1.25038 4 0.141954 0.415517 
91000 4 1.19626 4 0.156564 0.420282 
92000 4 1.23528 4 0.156277 0.43206 
93000 4 1.27744 4 0.143924 0.42574 
94000 4 1.21781 4 0.122414 0.380747 
95000 4 1.21374 4 0.186728 0.471416 
96000 4 1.13709 4 0.197357 0.466533 
97000 4 1.07639 4 0.228383 0.503591 
98000 4 1.27614 4 0.145361 0.428612 
99000 4 1.2733 4 0.137604 0.419132 
100000 4 1.25776 4 0.186728 0.482333 
