# Tue Mar 25 14:14:39 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.00701383 2 0 0.000574548 
7000 1 0 1 0 0 
8000 2 0.648017 2 0 0.165805 
9000 2 0.686075 2 0 0.182759 
10000 2 0.760786 2 0 0.220339 
11000 2 0.771633 2 0 0.226372 
12000 2 0.780308 2 0 0.231322 
13000 2 0.753919 2 0 0.216604 
14000 2 0.670187 2 0 0.175524 
15000 2 0.74921 2 0 0.21408 
16000 2 0.8075 2 0 0.24763 
17000 2 0.807039 2 0 0.247343 
18000 2 0.754451 2 0 0.216892 
19000 2 0.761309 2 0 0.220626 
20000 2 0.796261 2 0 0.240735 
21000 2 0.783662 2 0 0.233266 
22000 2 0.758686 2 0 0.21919 
23000 2 0.8544 2 0 0.27923 
24000 2 0.768564 2 0 0.224648 
25000 2 0.766505 2 0 0.223499 
26000 2 0.752317 2 0 0.215743 
27000 2 0.83945 2 0 0.268601 
28000 2 0.866409 2 0 0.288218 
29000 2 0.80842 2 0 0.248205 
30000 2 0.706022 2 0 0.192186 
31000 2 0.684718 2 0 0.182132 
32000 2 0.614743 2 0 0.151968 
33000 2 0.648575 2 0 0.166044 
34000 2 0.617586 2 0 0.153117 
35000 2 0.56563 2 0 0.133008 
36000 2 0.616876 2 0 0.15283 
37000 4 1.26949 4 0.12439 0.429762 
38000 4 1.37335 4 0.102874 0.410345 
39000 4 1.25438 4 0.085033 0.351336 
40000 4 1.22046 4 0.113186 0.374892 
41000 4 1.2922 4 0.102269 0.382074 
42000 4 1.2407 4 0.088193 0.351049 
43000 4 1.30436 4 0.115484 0.399023 
44000 4 1.34712 4 0.0985349 0.396151 
45000 4 1.49199 4 0.0939655 0.450287 
46000 4 1.38571 4 0.0827348 0.395863 
47000 4 1.39663 4 0.107153 0.421718 
48000 4 1.41056 4 0.093364 0.417122 
49000 4 1.29261 4 0.109739 0.389831 
50000 4 1.43284 4 0.133295 0.463373 
51000 4 1.4018 4 0.108877 0.42574 
52000 4 1.35675 4 0.0962367 0.396725 
53000 4 1.40785 4 0.0950876 0.414249 
54000 4 1.39999 4 0.100259 0.417122 
55000 4 1.40391 4 0.0927894 0.410801 
56000 4 1.42702 4 0.0836207 0.414943 
57000 4 1.4089 4 0.0893421 0.410514 
58000 4 1.38438 4 0.109164 0.419994 
59000 4 1.2551 4 0.110888 0.378052 
60000 4 1.24823 4 0.130422 0.404769 
61000 4 1.31047 4 0.0830221 0.367423 
62000 4 1.25518 4 0.0784257 0.344441 
63000 4 1.17357 4 0.0637748 0.306808 
64000 4 1.27385 4 0.106579 0.38035 
65000 4 1.14238 4 0.0752657 0.305947 
66000 4 1.21168 4 0.122379 0.383223 
67000 4 1.24042 4 0.111462 0.376329 
68000 4 1.32265 4 0.0993967 0.388969 
69000 4 1.23062 4 0.0632002 0.326056 
70000 4 1.14339 4 0.0810112 0.314565 
71000 4 1.0724 4 0.102269 0.322608 
72000 4 1.20605 4 0.0772766 0.328067 
73000 4 1.21829 4 0.0827348 0.340707 
74000 4 1.20214 4 0.0873312 0.338696 
75000 4 1.31467 4 0.0959494 0.385234 
76000 4 1.22794 4 0.11092 0.369828 
77000 4 1.09631 4 0.129273 0.356794 
78000 4 1.20982 4 0.13071 0.391841 
79000 4 1.15018 4 0.0999713 0.334674 
80000 4 1.24906 4 0.085033 0.351049 
81000 4 1.28277 4 0.162597 0.471991 
82000 4 1.38504 4 0.0907785 0.406205 
83000 4 1.3315 4 0.122666 0.423442 
84000 4 1.28427 4 0.121517 0.406492 
85000 4 1.35726 4 0.127586 0.432184 
86000 4 1.25347 4 0.0893421 0.354209 
87000 4 1.30549 4 0.131571 0.418558 
88000 4 1.28091 4 0.104855 0.382649 
89000 4 1.33463 4 0.116667 0.412356 
90000 4 1.25295 4 0.102557 0.369721 
91000 4 1.20796 4 0.147659 0.415111 
92000 4 1.32573 4 0.120368 0.413962 
93000 4 1.39073 4 0.106579 0.421718 
94000 4 1.28276 4 0.112324 0.388394 
95000 4 1.28655 4 0.0993967 0.375754 
96000 4 1.26872 4 0.1264 0.403045 
97000 4 1.27367 4 0.108046 0.385345 
98000 4 1.15261 4 0.112899 0.350761 
99000 4 1.11745 4 0.109164 0.338121 
100000 4 1.19442 4 0.0968113 0.343579 
