# Tue Mar 25 17:41:48 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 2 0.00701383 2 0 0.000574548 
10000 2 0.0259482 2 0 0.00258546 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 2 0.00379425 2 0 0.000287274 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 2 0.0100164 2 0 0.000861821 
20000 2 0.0331647 2 0 0.00344729 
21000 1 0 1 0 0 
22000 2 0.156314 2 0 0.0226946 
23000 2 0.601766 2 0 0.146797 
24000 2 0.62742 2 0 0.157139 
25000 2 0.651244 2 0 0.167193 
26000 2 0.578795 2 0 0.137931 
27000 2 0.663735 2 0 0.172652 
28000 2 0.636395 2 0 0.160873 
29000 2 0.555442 2 0 0.129273 
30000 2 0.601766 2 0 0.146797 
31000 2 0.574114 2 0 0.136168 
32000 2 0.560949 2 0 0.131284 
33000 2 0.587734 2 0 0.141339 
34000 2 0.583983 2 0 0.139902 
35000 2 0.55702 2 0 0.129848 
36000 2 0.501724 2 0 0.1106 
37000 2 0.532063 2 0 0.120942 
38000 2 0.58172 2 0 0.139041 
39000 2 0.55702 2 0 0.129848 
40000 2 0.632961 2 0 0.159437 
41000 2 0.557123 2 0 0.129885 
42000 2 0.568729 2 0 0.134157 
43000 2 0.456951 2 0 0.0962367 
44000 2 0.375847 2 0 0.0726803 
45000 2 0.598107 2 0 0.145361 
46000 2 0.73035 2 0 0.204252 
47000 2 0.754983 2 0 0.217179 
48000 2 0.702438 2 0 0.190463 
49000 2 0.592944 2 0 0.14335 
50000 2 0.614743 2 0 0.151968 
51000 2 0.698826 2 0 0.188739 
52000 2 0.784647 2 0 0.233841 
53000 2 0.815238 2 0 0.252514 
54000 2 0.755629 2 0 0.217529 
55000 2 0.676558 2 0 0.178397 
56000 3 0.675115 3 0 0.175237 
57000 2 0.605401 2 0 0.148233 
58000 3 0.992969 3 0 0.243608 
59000 4 1.25945 4 0.114943 0.385057 
60000 4 1.19035 4 0.103131 0.355932 
61000 4 1.02148 4 0.122379 0.333812 
62000 4 1.11114 4 0.121517 0.353347 
63000 4 1.14658 4 0.160586 0.413387 
64000 4 1.2011 4 0.122953 0.376903 
65000 4 1.06391 4 0.155702 0.386383 
66000 4 1.10142 4 0.0976731 0.323183 
67000 4 0.949956 4 0.0939385 0.291583 
68000 4 1.03119 4 0.0979604 0.307096 
69000 4 0.918166 4 0.13588 0.327779 
70000 4 0.994197 4 0.129273 0.338983 
71000 4 0.91221 4 0.11376 0.300488 
72000 4 0.990045 4 0.087044 0.291583 
73000 4 0.916457 4 0.145935 0.347314 
74000 4 0.94153 4 0.108877 0.302499 
75000 4 1.15422 4 0.151106 0.401609 
76000 4 1.05036 4 0.186728 0.432922 
77000 4 0.951749 4 0.110026 0.307383 
78000 4 1.15501 4 0.141913 0.394427 
79000 4 1.11036 4 0.170928 0.420282 
80000 4 1.16404 4 0.150531 0.407641 
81000 4 1.19471 4 0.0959494 0.354209 
82000 4 1.25666 4 0.120942 0.398449 
83000 4 1.17665 4 0.0827348 0.342143 
84000 4 1.05111 4 0.113218 0.338218 
85000 4 1.08725 4 0.105142 0.334099 
86000 4 1.18855 4 0.110888 0.358518 
87000 4 0.980582 4 0.132433 0.340994 
88000 4 1.02889 4 0.159437 0.389543 
89000 4 1.09673 4 0.166044 0.409365 
90000 4 1.04878 4 0.16231 0.393852 
91000 4 1.11749 4 0.125251 0.365987 
92000 4 0.944221 4 0.208561 0.44786 
93000 4 1.01399 4 0.126975 0.344154 
94000 4 1.12474 4 0.164033 0.416547 
95000 4 1.08416 4 0.161448 0.401034 
96000 4 1.25222 4 0.0948003 0.365125 
97000 4 0.995438 4 0.199368 0.439816 
98000 4 1.05702 4 0.184142 0.429762 
99000 4 1.11204 4 0.134157 0.376616 
100000 4 1.08107 4 0.170353 0.416547 
