# Tue Mar 25 19:12:19 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.200934 2 0 0.0313128 
4000 2 0.29722 2 0 0.0525711 
5000 2 0.380054 2 0 0.0738294 
6000 2 0.409746 2 0 0.0821603 
7000 2 0.474437 2 0 0.101724 
8000 2 0.685961 2 0 0.182706 
9000 2 0.663197 2 0 0.172414 
10000 2 0.715446 2 0 0.196783 
11000 2 0.624629 2 0 0.15599 
12000 2 0.657199 2 0 0.169779 
13000 2 0.661242 2 0 0.171552 
14000 2 0.649244 2 0 0.166332 
15000 2 0.716029 2 0 0.19707 
16000 2 0.643872 2 0 0.164033 
17000 2 0.649911 2 0 0.166619 
18000 2 0.71893 2 0 0.198506 
19000 2 0.828018 2 0 0.260845 
20000 2 0.789532 2 0 0.236714 
21000 2 0.71893 2 0 0.198506 
22000 2 0.751246 2 0 0.215168 
23000 2 0.711935 2 0 0.195059 
24000 2 0.6953 2 0 0.187069 
25000 2 0.649911 2 0 0.166619 
26000 2 0.701237 2 0 0.189888 
27000 2 0.684095 2 0 0.181844 
28000 2 0.710759 2 0 0.194484 
29000 2 0.670828 2 0 0.175812 
30000 2 0.682335 2 0 0.181034 
31000 2 0.64252 2 0 0.163459 
32000 2 0.674019 2 0 0.177248 
33000 2 0.628811 2 0 0.157713 
34000 2 0.679712 2 0 0.179833 
35000 2 0.632271 2 0 0.15915 
36000 2 0.713109 2 0 0.195633 
37000 2 0.666971 2 0 0.174088 
38000 2 0.700033 2 0 0.189313 
39000 2 0.549185 2 0 0.127011 
40000 2 0.632961 2 0 0.159437 
41000 2 0.65654 2 0 0.169492 
42000 2 0.485974 2 0 0.105429 
43000 2 0.514549 2 0 0.11491 
44000 2 0.620414 2 0 0.154266 
45000 2 0.568729 2 0 0.134157 
46000 2 0.555442 2 0 0.129273 
47000 2 0.560949 2 0 0.131284 
48000 2 0.56563 2 0 0.133008 
49000 2 0.518022 2 0 0.116092 
50000 2 0.472537 2 0 0.10112 
51000 2 0.527111 2 0 0.119219 
52000 2 0.553065 2 0 0.128411 
53000 2 0.397628 2 0 0.078713 
54000 2 0.549983 2 0 0.127299 
55000 2 0.426525 2 0 0.087044 
56000 2 0.390451 2 0 0.0767021 
57000 2 0.306797 2 0 0.0548851 
58000 2 0.408745 2 0 0.081873 
59000 2 0.262678 2 0 0.0445274 
60000 1 0 1 0 0 
61000 1 0 1 0 0 
62000 1 0 1 0 0 
63000 1 0 1 0 0 
64000 1 0 1 0 0 
65000 2 0.0283941 2 0 0.00287274 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 2 0.176155 2 0 0.0264292 
69000 2 0.563294 2 0 0.132146 
70000 2 0.644546 2 0 0.164321 
71000 2 0.62742 2 0 0.157139 
72000 2 0.524619 2 0 0.118357 
73000 2 0.546681 2 0 0.126113 
74000 2 0.406738 2 0 0.0812985 
75000 2 0.405732 2 0 0.0810112 
76000 2 0.465251 2 0 0.0988222 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
