# Mon Mar 24 16:50:07 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.549083 2 0 0.126975 
5000 2 0.848839 2 0 0.275208 
6000 2 0.872224 2 0 0.292732 
7000 2 0.93016 2 0 0.34569 
8000 2 0.895875 2 0 0.312356 
9000 2 0.835268 2 0 0.265728 
10000 2 0.884671 2 0 0.302787 
11000 2 0.882691 2 0 0.301149 
12000 2 0.899017 2 0 0.315139 
13000 2 0.895219 2 0 0.311782 
14000 2 0.863662 2 0 0.286125 
15000 2 0.864797 2 0 0.286986 
16000 2 0.865926 2 0 0.287848 
17000 2 0.834424 2 0 0.265154 
18000 2 0.81926 2 0 0.255099 
19000 2 0.847229 2 0 0.274059 
20000 2 0.850839 2 0 0.276645 
21000 2 0.744759 2 0 0.211721 
22000 2 0.800519 2 0 0.243321 
23000 2 0.779196 2 0 0.230681 
24000 2 0.758159 2 0 0.218903 
25000 2 0.82367 2 0 0.257972 
26000 2 0.801573 2 0 0.243966 
27000 2 0.805189 2 0 0.246194 
28000 2 0.846421 2 0 0.273485 
29000 2 0.844796 2 0 0.272336 
30000 2 0.831025 2 0 0.262856 
31000 2 0.808879 2 0 0.248492 
32000 2 0.756574 2 0 0.218041 
33000 2 0.811278 2 0 0.25 
34000 2 0.769077 2 0 0.224935 
35000 2 0.756044 2 0 0.217754 
36000 2 0.856747 2 0 0.280954 
37000 2 0.810708 2 0 0.249641 
38000 2 0.781684 2 0 0.232117 
39000 2 0.719508 2 0 0.198793 
40000 2 0.711935 2 0 0.195059 
41000 2 0.735509 2 0 0.206897 
42000 2 0.792065 2 0 0.238218 
43000 2 0.82367 2 0 0.257972 
44000 2 0.82059 2 0 0.255961 
45000 2 0.826287 2 0 0.259695 
46000 2 0.795785 2 0 0.240448 
47000 2 0.742026 2 0 0.210284 
48000 2 0.772142 2 0 0.226659 
49000 2 0.757631 2 0 0.218615 
50000 2 0.748015 2 0 0.213444 
51000 2 0.713694 2 0 0.195921 
52000 2 0.827586 2 0 0.260557 
53000 2 0.799106 2 0 0.242459 
54000 2 0.774676 2 0 0.228095 
55000 2 0.737061 2 0 0.207699 
56000 2 0.771123 2 0 0.226084 
57000 2 0.737061 2 0 0.207699 
58000 2 0.683471 2 0 0.181557 
59000 2 0.65401 2 0 0.168391 
60000 2 0.658512 2 0 0.170353 
61000 2 0.683471 2 0 0.181557 
62000 2 0.670828 2 0 0.175812 
63000 2 0.600305 2 0 0.146222 
64000 2 0.653899 2 0 0.168342 
65000 2 0.666971 2 0 0.174088 
66000 2 0.739827 2 0 0.209135 
67000 2 0.605401 2 0 0.148233 
68000 2 0.650578 2 0 0.166906 
69000 2 0.696402 2 0 0.18759 
70000 2 0.675924 2 0 0.17811 
71000 2 0.694576 2 0 0.186728 
72000 2 0.643196 2 0 0.163746 
73000 2 0.760786 2 0 0.220339 
74000 2 0.684208 2 0 0.181897 
75000 2 0.733719 2 0 0.205975 
76000 2 0.665679 2 0 0.173513 
77000 2 0.713694 2 0 0.195921 
78000 2 0.706022 2 0 0.192186 
79000 2 0.800989 2 0 0.243608 
80000 2 0.812528 2 0 0.25079 
81000 2 0.875491 2 0 0.295317 
82000 2 0.905341 2 0 0.320885 
83000 2 0.870864 2 0 0.291667 
84000 2 0.897726 2 0 0.31399 
85000 2 0.901573 2 0 0.317438 
86000 2 0.906271 2 0 0.321747 
87000 2 0.929272 2 0 0.344729 
88000 2 0.875131 2 0 0.29503 
89000 2 0.871232 2 0 0.291954 
90000 2 0.880129 2 0 0.299052 
91000 2 0.916466 2 0 0.331514 
92000 2 0.893468 2 0 0.310256 
93000 2 0.903781 2 0 0.319448 
94000 2 0.917046 2 0 0.332088 
95000 2 0.936015 2 0 0.352198 
96000 2 0.941204 2 0 0.35823 
97000 2 0.839034 2 0 0.268314 
98000 2 0.878357 2 0 0.297616 
99000 2 0.859459 2 0 0.282965 
100000 2 0.895773 2 0 0.312267 
