# Avida tasks data
# Mon Mar 24 16:51:15 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 375 
3000 324 
4000 862 
5000 1107 
6000 1051 
7000 1048 
8000 1117 
9000 957 
10000 1019 
11000 1018 
12000 1255 
13000 1166 
14000 1115 
15000 1232 
16000 1169 
17000 1236 
18000 1231 
19000 1169 
20000 1100 
21000 1171 
22000 883 
23000 1115 
24000 890 
25000 927 
26000 1050 
27000 942 
28000 955 
29000 892 
30000 919 
31000 1089 
32000 996 
33000 1096 
34000 1073 
35000 878 
36000 1011 
37000 1008 
38000 944 
39000 975 
40000 1158 
41000 1042 
42000 968 
43000 1168 
44000 1124 
45000 1054 
46000 857 
47000 747 
48000 744 
49000 628 
50000 717 
51000 682 
52000 625 
53000 490 
54000 661 
55000 389 
56000 278 
57000 241 
58000 366 
59000 151 
60000 279 
61000 218 
62000 258 
63000 215 
64000 181 
65000 152 
66000 303 
67000 248 
68000 331 
69000 168 
70000 0 
71000 0 
72000 0 
73000 0 
74000 0 
75000 0 
76000 0 
77000 0 
78000 0 
79000 0 
80000 0 
81000 0 
82000 0 
83000 0 
84000 0 
85000 0 
86000 0 
87000 0 
88000 0 
89000 0 
90000 0 
91000 0 
92000 0 
93000 0 
94000 0 
95000 0 
96000 0 
97000 0 
98000 0 
99000 0 
100000 0 
