# Tue Mar 25 17:19:31 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0423081 2 0 0.00459638 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 2 0.00379425 2 0 0.000287274 
8000 2 0.10142 2 0 0.0132146 
9000 1 0 1 0 0 
10000 2 0.0156349 2 0 0.00143637 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 2 0.0307983 2 0 0.00316001 
17000 2 0.682222 2 0 0.180982 
18000 2 0.697616 2 0 0.188164 
19000 2 0.684095 2 0 0.181844 
20000 2 0.743121 2 0 0.210859 
21000 2 0.666971 2 0 0.174088 
22000 2 0.754451 2 0 0.216892 
23000 2 0.708988 2 0 0.193623 
24000 2 0.599574 2 0 0.145935 
25000 2 0.67529 2 0 0.177822 
26000 2 0.722387 2 0 0.20023 
27000 2 0.766505 2 0 0.223499 
28000 2 0.803329 2 0 0.245045 
29000 2 0.776692 2 0 0.229244 
30000 2 0.82672 2 0 0.259983 
31000 2 0.704234 2 0 0.191324 
32000 2 0.741477 2 0 0.209997 
33000 2 0.821914 2 0 0.256823 
34000 2 0.786609 2 0 0.23499 
35000 2 0.722387 2 0 0.20023 
36000 2 0.690903 2 0 0.185004 
37000 2 0.647906 2 0 0.165757 
38000 2 0.764435 2 0 0.22235 
39000 2 0.643196 2 0 0.163746 
40000 2 0.762875 2 0 0.221488 
41000 2 0.716611 2 0 0.197357 
42000 2 0.651244 2 0 0.167193 
43000 2 0.639126 2 0 0.162022 
44000 2 0.733274 2 0 0.205747 
45000 2 0.681596 2 0 0.180695 
46000 2 0.639807 2 0 0.16231 
47000 2 0.764435 2 0 0.22235 
48000 2 0.653899 2 0 0.168342 
49000 2 0.612601 2 0 0.151106 
50000 2 0.664384 2 0 0.172939 
51000 2 0.611169 2 0 0.150531 
52000 2 0.623227 2 0 0.155415 
53000 2 0.687202 2 0 0.183281 
54000 2 0.72809 2 0 0.203103 
55000 2 0.665032 2 0 0.173226 
56000 2 0.65731 2 0 0.169828 
57000 2 0.611169 2 0 0.150531 
58000 2 0.687202 2 0 0.183281 
59000 2 0.673383 2 0 0.176961 
60000 2 0.666326 2 0 0.173801 
61000 2 0.628116 2 0 0.157426 
62000 2 0.640486 2 0 0.162597 
63000 2 0.541848 2 0 0.12439 
64000 2 0.598107 2 0 0.145361 
65000 2 0.664384 2 0 0.172939 
66000 2 0.617586 2 0 0.153117 
67000 2 0.598841 2 0 0.145648 
68000 2 0.570273 2 0 0.134731 
69000 2 0.556334 2 0 0.129598 
70000 2 0.609732 2 0 0.149957 
71000 2 0.673383 2 0 0.176961 
72000 2 0.653899 2 0 0.168342 
73000 2 0.649911 2 0 0.166619 
74000 2 0.755514 2 0 0.217466 
75000 2 0.726955 2 0 0.202528 
76000 2 0.722961 2 0 0.200517 
77000 2 0.602495 2 0 0.147084 
78000 2 0.678453 2 0 0.179259 
79000 2 0.700033 2 0 0.189313 
80000 2 0.669546 2 0 0.175237 
81000 2 0.663085 2 0 0.172364 
82000 2 0.712522 2 0 0.195346 
83000 2 0.623928 2 0 0.155702 
84000 2 0.706022 2 0 0.192186 
85000 2 0.725248 2 0 0.201666 
86000 2 0.670187 2 0 0.175524 
87000 2 0.691631 2 0 0.185345 
88000 2 0.654561 2 0 0.16863 
89000 2 0.582476 2 0 0.139328 
90000 2 0.674019 2 0 0.177248 
91000 2 0.670828 2 0 0.175812 
92000 2 0.653236 2 0 0.168055 
93000 2 0.64252 2 0 0.163459 
94000 2 0.57258 2 0 0.135593 
95000 2 0.741593 2 0 0.210057 
96000 2 0.65731 2 0 0.169828 
97000 2 0.697009 2 0 0.187877 
98000 2 0.603223 2 0 0.147371 
99000 2 0.619002 2 0 0.153691 
100000 2 0.601766 2 0 0.146797 
