# Wed Apr 16 19:37:33 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.00701383 2 0 0.000574548 
7000 2 0.00701383 2 0 0.000574548 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 2 0.734836 2 0 0.20655 
12000 2 0.729786 2 0 0.203964 
13000 3 1.0568 3 0 0.249928 
14000 4 1.33884 4 0.012069 0.357759 
15000 4 1.43369 4 0.0614766 0.401034 
16000 4 1.50584 4 0.062913 0.435794 
17000 4 1.43173 4 0.0583166 0.401896 
18000 4 1.56867 4 0.102011 0.49023 
19000 4 1.48416 4 0.0485632 0.424713 
20000 4 1.64333 4 0.119219 0.553864 
21000 4 1.45593 4 0.0838839 0.424591 
22000 4 1.59912 4 0.0835967 0.492962 
23000 4 1.57615 4 0.0709566 0.474576 
24000 4 1.57528 4 0.0985349 0.491238 
25000 4 1.52846 4 0.128124 0.503304 
26000 4 1.51896 4 0.0959494 0.467394 
27000 4 1.61875 4 0.120942 0.533755 
28000 4 1.44976 4 0.0574548 0.409652 
29000 4 1.49453 4 0.0399311 0.427463 
30000 4 1.55432 4 0.0821603 0.470267 
31000 4 1.52052 4 0.0847458 0.454754 
32000 4 1.45249 4 0.146797 0.496122 
33000 4 1.46447 4 0.0922149 0.437805 
34000 4 1.46696 4 0.0643493 0.419994 
35000 4 1.5708 4 0.0795977 0.475575 
36000 4 1.49693 4 0.0646366 0.436656 
37000 4 1.42122 4 0.0428038 0.392703 
38000 4 1.44167 4 0.087044 0.420856 
39000 4 1.56359 4 0.0856076 0.4763 
40000 4 1.54417 4 0.0726803 0.465096 
41000 4 1.52456 4 0.112037 0.47946 
42000 4 1.45879 4 0.14335 0.500431 
43000 4 1.50943 4 0.104568 0.464522 
44000 4 1.56556 4 0.141339 0.528296 
45000 4 1.43692 4 0.0502729 0.398449 
46000 4 1.45676 4 0.0698075 0.417696 
47000 4 1.4669 4 0.0425165 0.414249 
48000 4 1.41589 4 0.0542947 0.390118 
49000 4 1.34872 4 0.0224074 0.356219 
50000 4 1.44982 4 0.100546 0.438954 
51000 4 1.52746 4 0.165757 0.560184 
52000 4 1.37483 4 0.128699 0.452169 
53000 4 1.42591 4 0.137317 0.475438 
54000 4 1.37242 4 0.145732 0.466513 
55000 4 1.34934 4 0.131571 0.437805 
56000 4 1.32187 4 0.0666475 0.358518 
57000 4 1.50765 4 0.0927894 0.456478 
58000 4 1.40623 4 0.0657857 0.391267 
59000 4 1.3959 4 0.0887931 0.404023 
60000 4 1.42455 4 0.0652111 0.398736 
61000 4 1.30071 4 0.0534329 0.34243 
62000 4 1.3531 4 0.0316001 0.357656 
63000 4 1.35578 4 0.0706693 0.374605 
64000 4 1.25645 4 0.0643493 0.333238 
65000 4 1.08418 4 0.0600402 0.282965 
66000 4 1.05578 4 0.0430911 0.253088 
67000 4 0.807195 4 0.0247055 0.183568 
68000 4 0.729908 4 0.00373456 0.172652 
69000 4 0.740491 4 0.0120655 0.170928 
70000 3 0.69915 3 0 0.165757 
71000 4 0.849077 4 0.0100546 0.186441 
72000 4 0.855956 4 0.0807239 0.248205 
73000 4 0.828478 4 0.0361965 0.192761 
74000 4 0.867002 4 0.0634875 0.226946 
75000 4 0.887854 4 0.087044 0.254525 
76000 4 0.793251 4 0.0551566 0.197932 
77000 4 0.739497 4 0.0611893 0.19707 
78000 4 0.798978 4 0.0327492 0.191324 
79000 4 0.765973 4 0.0502729 0.191324 
