# Fri Apr  4 12:07:04 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 2 0.527111 2 0 0.119219 
9000 2 0.634337 2 0 0.160011 
10000 2 0.560949 2 0 0.131284 
11000 2 0.695794 2 0 0.187302 
12000 2 0.68534 2 0 0.182419 
13000 2 0.61403 2 0 0.151681 
14000 2 0.681596 2 0 0.180695 
15000 2 0.596637 2 0 0.144786 
16000 2 0.65654 2 0 0.169492 
17000 2 0.563294 2 0 0.132146 
18000 2 0.552271 2 0 0.128124 
19000 2 0.564852 2 0 0.13272 
20000 2 0.549882 2 0 0.127262 
21000 2 0.583983 2 0 0.139902 
22000 2 0.558698 2 0 0.13046 
23000 3 1.05825 3 0 0.253663 
24000 3 1.08494 3 0 0.267165 
25000 3 1.13709 3 0 0.284114 
26000 3 1.14723 3 0 0.290721 
27000 3 1.11975 3 0 0.281816 
28000 3 1.18959 3 0 0.305659 
29000 3 1.14554 3 0 0.285837 
30000 3 1.08886 3 0 0.27607 
31000 3 1.08648 3 0 0.269463 
32000 3 1.10739 3 0 0.276645 
33000 3 1.16194 3 0 0.304797 
34000 3 1.22622 3 0 0.326056 
35000 4 1.37239 4 0.00316001 0.392991 
36000 3 1.32752 3 0 0.378736 
37000 3 1.36958 3 0 0.400172 
38000 4 1.41985 4 0.000861821 0.428038 
39000 3 1.35159 3 0 0.388107 
40000 3 1.35289 3 0 0.396438 
41000 3 1.38739 3 0 0.418845 
42000 3 1.40219 3 0 0.422292 
43000 3 1.41985 3 0 0.432922 
44000 3 1.40776 3 0 0.425165 
45000 3 1.40244 3 0 0.429023 
46000 3 1.45806 3 0 0.462223 
47000 3 1.30696 3 0 0.363114 
48000 4 1.37914 4 0.000287274 0.407354 
49000 3 1.26204 3 0 0.343867 
50000 3 1.34495 3 0 0.384085 
51000 4 1.37145 4 0.000287274 0.408503 
52000 3 1.37838 3 0 0.409652 
53000 3 1.39674 3 0 0.416954 
54000 3 1.36206 3 0 0.396151 
55000 3 1.29672 3 0 0.357369 
56000 3 1.34964 3 0 0.388107 
57000 3 1.40571 3 0 0.423729 
58000 4 1.37037 4 0.000861821 0.395863 
59000 3 1.39205 3 0 0.414249 
60000 4 1.47064 4 0.0290147 0.422005 
61000 4 1.53718 4 0.0517093 0.449871 
62000 4 1.40512 4 0.0149382 0.390405 
63000 3 1.38062 3 0 0.406205 
64000 3 1.41322 3 0 0.428161 
65000 4 1.31969 4 0.000574548 0.36771 
66000 4 1.3136 4 0.00172364 0.365412 
67000 3 1.35916 3 0 0.397012 
68000 3 1.34606 3 0 0.388107 
69000 4 1.34066 4 0.000574713 0.38046 
70000 3 1.37064 3 0 0.405918 
71000 3 1.39421 3 0 0.415111 
72000 4 1.33987 4 0.00402183 0.372594 
73000 3 1.43528 3 0 0.446423 
74000 3 1.37153 3 0 0.40046 
75000 3 1.3867 3 0 0.413218 
76000 3 1.35102 3 0 0.388394 
77000 3 1.29981 3 0 0.358518 
78000 3 1.32375 3 0 0.37202 
79000 3 1.446 3 0 0.469405 
80000 3 1.43502 3 0 0.45418 
81000 3 1.45738 3 0 0.461936 
82000 3 1.44245 3 0 0.450158 
83000 3 1.41662 3 0 0.430623 
84000 3 1.31481 3 0 0.37403 
85000 3 1.45178 3 0 0.458202 
86000 3 1.38597 3 0 0.40994 
87000 3 1.39732 3 0 0.417696 
88000 4 1.51473 4 0.0258546 0.446136 
89000 3 1.41043 3 0 0.426889 
90000 3 1.40203 3 0 0.420856 
91000 3 1.30782 3 0 0.363689 
92000 4 1.40235 4 0.000287274 0.418845 
93000 3 1.24588 3 0 0.333238 
94000 3 1.30179 3 0 0.361207 
95000 3 1.24612 3 0 0.333812 
96000 3 1.36391 3 0 0.397587 
97000 3 1.351 3 0 0.38782 
98000 3 1.16748 3 0 0.297903 
99000 3 1.35883 3 0 0.396151 
100000 3 1.29515 3 0 0.359667 
