# Wed Mar 26 01:01:48 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.0234561 2 0 0.00229819 
6000 2 0.0283941 2 0 0.00287274 
7000 2 0.584735 2 0 0.14019 
8000 2 0.671468 2 0 0.176099 
9000 2 0.690288 2 0 0.184717 
10000 2 0.713694 2 0 0.195921 
11000 2 0.734836 2 0 0.20655 
12000 2 0.651355 2 0 0.167241 
13000 2 0.740928 2 0 0.20971 
14000 2 0.766621 2 0 0.223563 
15000 2 0.84193 2 0 0.270325 
16000 2 0.756574 2 0 0.218041 
17000 2 0.770102 2 0 0.22551 
18000 2 0.722961 2 0 0.200517 
19000 2 0.712522 2 0 0.195346 
20000 2 0.790985 2 0 0.237575 
21000 2 0.73035 2 0 0.204252 
22000 2 0.685961 2 0 0.182706 
23000 2 0.739827 2 0 0.209135 
24000 2 0.747474 2 0 0.213157 
25000 2 0.720662 2 0 0.199368 
26000 2 0.667616 2 0 0.174375 
27000 2 0.606233 2 0 0.148563 
28000 2 0.687202 2 0 0.183281 
29000 2 0.621119 2 0 0.154553 
30000 2 0.63571 2 0 0.160586 
31000 2 0.604676 2 0 0.147946 
32000 2 0.588481 2 0 0.141626 
33000 2 0.659168 2 0 0.170641 
34000 2 0.672107 2 0 0.176386 
35000 2 0.598107 2 0 0.145361 
36000 2 0.616876 2 0 0.15283 
37000 2 0.611169 2 0 0.150531 
38000 2 0.63089 2 0 0.158575 
39000 2 0.598107 2 0 0.145361 
40000 2 0.609013 2 0 0.14967 
41000 2 0.629505 2 0 0.158001 
42000 2 0.589228 2 0 0.141913 
43000 2 0.580207 2 0 0.138466 
44000 2 0.61403 2 0 0.151681 
45000 2 0.760786 2 0 0.220339 
46000 2 0.885016 2 0 0.303074 
47000 2 0.910846 2 0 0.326056 
48000 2 0.825417 2 0 0.259121 
49000 2 0.740928 2 0 0.20971 
50000 2 0.775685 2 0 0.22867 
51000 2 0.669546 2 0 0.175237 
52000 2 0.762585 2 0 0.221328 
53000 2 0.748015 2 0 0.213444 
54000 2 0.687202 2 0 0.183281 
55000 2 0.657856 2 0 0.170066 
56000 2 0.717192 2 0 0.197644 
57000 2 0.659823 2 0 0.170928 
58000 2 0.714863 2 0 0.196495 
59000 2 0.764954 2 0 0.222637 
60000 2 0.839146 2 0 0.268391 
61000 2 0.695186 2 0 0.187015 
62000 2 0.720662 2 0 0.199368 
63000 2 0.729222 2 0 0.203677 
64000 2 0.703636 2 0 0.191037 
65000 2 0.716611 2 0 0.197357 
66000 2 0.695186 2 0 0.187015 
67000 2 0.669546 2 0 0.175237 
68000 2 0.64252 2 0 0.163459 
69000 2 0.659935 2 0 0.170977 
70000 2 0.63571 2 0 0.160586 
71000 2 0.640486 2 0 0.162597 
72000 2 0.665679 2 0 0.173513 
73000 2 0.668903 2 0 0.17495 
74000 2 0.758686 2 0 0.21919 
75000 2 0.617586 2 0 0.153117 
76000 2 0.600305 2 0 0.146222 
77000 2 0.652573 2 0 0.167768 
78000 2 0.711935 2 0 0.195059 
79000 2 0.636395 2 0 0.160873 
80000 2 0.667616 2 0 0.174375 
81000 2 0.735393 2 0 0.206837 
82000 2 0.616166 2 0 0.152542 
83000 2 0.68782 2 0 0.183568 
84000 2 0.592203 2 0 0.143062 
85000 2 0.682847 2 0 0.18127 
86000 2 0.688439 2 0 0.183855 
87000 2 0.601766 2 0 0.146797 
88000 2 0.688439 2 0 0.183855 
89000 2 0.680341 2 0 0.180121 
90000 2 0.630198 2 0 0.158288 
91000 2 0.663735 2 0 0.172652 
92000 2 0.684095 2 0 0.181844 
93000 2 0.66826 2 0 0.174662 
94000 2 0.625328 2 0 0.156277 
95000 2 0.602495 2 0 0.147084 
96000 2 0.689672 2 0 0.18443 
97000 2 0.714279 2 0 0.196208 
98000 2 0.708397 2 0 0.193335 
99000 2 0.701237 2 0 0.189888 
100000 2 0.811278 2 0 0.25 
