# Wed Mar 26 02:02:24 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 2 0.674019 2 0 0.177248 
12000 2 0.800049 2 0 0.243034 
13000 2 0.765472 2 0 0.222924 
14000 2 0.807728 2 0 0.247772 
15000 2 0.734836 2 0 0.20655 
16000 2 0.758686 2 0 0.21919 
17000 2 0.809451 2 0 0.248851 
18000 2 0.795899 2 0 0.240517 
19000 2 0.825852 2 0 0.259408 
20000 2 0.82845 2 0 0.261132 
21000 2 0.724106 2 0 0.201092 
22000 2 0.784155 2 0 0.233554 
23000 2 0.7911 2 0 0.237644 
24000 2 0.796261 2 0 0.240735 
25000 2 0.812981 2 0 0.251077 
26000 2 0.743668 2 0 0.211146 
27000 2 0.800519 2 0 0.243321 
28000 2 0.771123 2 0 0.226084 
29000 2 0.755514 2 0 0.217466 
30000 2 0.689672 2 0 0.18443 
31000 2 0.713694 2 0 0.195921 
32000 2 0.701838 2 0 0.190175 
33000 2 0.705427 2 0 0.191899 
34000 2 0.726955 2 0 0.202528 
35000 2 0.725818 2 0 0.201953 
36000 2 0.737846 2 0 0.208106 
37000 2 0.701237 2 0 0.189888 
38000 2 0.710759 2 0 0.194484 
39000 2 0.710759 2 0 0.194484 
40000 2 0.716029 2 0 0.19707 
41000 2 0.713694 2 0 0.195921 
42000 2 0.698826 2 0 0.188739 
43000 2 0.693966 2 0 0.186441 
44000 2 0.724677 2 0 0.201379 
45000 2 0.695186 2 0 0.187015 
46000 2 0.657856 2 0 0.170066 
47000 2 0.690903 2 0 0.185004 
48000 2 0.691517 2 0 0.185292 
49000 2 0.675924 2 0 0.17811 
50000 2 0.714863 2 0 0.196495 
51000 2 0.675403 2 0 0.177874 
52000 2 0.697616 2 0 0.188164 
53000 2 0.660477 2 0 0.171215 
54000 2 0.651244 2 0 0.167193 
55000 2 0.676558 2 0 0.178397 
56000 2 0.669546 2 0 0.175237 
57000 2 0.695186 2 0 0.187015 
58000 2 0.705427 2 0 0.191899 
59000 2 0.688439 2 0 0.183855 
60000 2 0.684718 2 0 0.182132 
61000 2 0.672107 2 0 0.176386 
62000 2 0.659823 2 0 0.170928 
63000 2 0.674019 2 0 0.177248 
64000 2 0.689056 2 0 0.184142 
65000 2 0.673383 2 0 0.176961 
66000 2 0.651244 2 0 0.167193 
67000 2 0.69943 2 0 0.189026 
68000 2 0.704234 2 0 0.191324 
69000 2 0.657199 2 0 0.169779 
70000 2 0.674655 2 0 0.177535 
71000 2 0.63089 2 0 0.158575 
72000 2 0.646565 2 0 0.165182 
73000 2 0.647347 2 0 0.165517 
74000 2 0.668903 2 0 0.17495 
75000 2 0.628116 2 0 0.157426 
76000 2 0.679083 2 0 0.179546 
77000 2 0.647236 2 0 0.16547 
78000 2 0.661783 2 0 0.17179 
79000 2 0.623928 2 0 0.155702 
80000 2 0.633649 2 0 0.159724 
81000 2 0.654561 2 0 0.16863 
82000 2 0.652573 2 0 0.167768 
83000 2 0.612601 2 0 0.151106 
84000 2 0.623227 2 0 0.155415 
85000 2 0.682847 2 0 0.18127 
86000 2 0.643872 2 0 0.164033 
87000 2 0.64252 2 0 0.163459 
88000 2 0.641386 2 0 0.162978 
89000 2 0.620414 2 0 0.154266 
90000 2 0.611169 2 0 0.150531 
91000 2 0.621119 2 0 0.154553 
92000 2 0.641165 2 0 0.162884 
93000 2 0.622525 2 0 0.155128 
94000 2 0.623928 2 0 0.155702 
95000 2 0.63089 2 0 0.158575 
96000 2 0.630198 2 0 0.158288 
97000 2 0.61403 2 0 0.151681 
98000 2 0.651909 2 0 0.167481 
99000 2 0.648575 2 0 0.166044 
100000 2 0.675924 2 0 0.17811 
