# Sat Mar 29 10:48:45 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 1 0 1 0 0 
21000 1 0 1 0 0 
22000 1 0 1 0 0 
23000 2 0.424574 2 0 0.0864694 
24000 2 0.603223 2 0 0.147371 
25000 2 0.66113 2 0 0.171502 
26000 2 0.632271 2 0 0.15915 
27000 2 0.639236 2 0 0.162069 
28000 2 0.685961 2 0 0.182706 
29000 2 0.76959 2 0 0.225223 
30000 2 0.653899 2 0 0.168342 
31000 2 0.663085 2 0 0.172364 
32000 2 0.663197 2 0 0.172414 
33000 2 0.620414 2 0 0.154266 
34000 2 0.674655 2 0 0.177535 
35000 2 0.609121 2 0 0.149713 
36000 2 0.403716 2 0 0.0804367 
37000 2 0.0283941 2 0 0.00287274 
38000 2 0.11716 2 0 0.0158001 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 1 0 1 0 0 
42000 1 0 1 0 0 
43000 1 0 1 0 0 
44000 1 0 1 0 0 
45000 1 0 1 0 0 
46000 1 0 1 0 0 
47000 1 0 1 0 0 
48000 1 0 1 0 0 
49000 1 0 1 0 0 
50000 2 0.482419 2 0 0.10428 
51000 2 0.668903 2 0 0.17495 
52000 2 0.674019 2 0 0.177248 
53000 2 0.702438 2 0 0.190463 
54000 2 0.707211 2 0 0.192761 
55000 2 0.683471 2 0 0.181557 
56000 2 0.764954 2 0 0.222637 
57000 2 0.707804 2 0 0.193048 
58000 2 0.732599 2 0 0.205401 
59000 2 0.743668 2 0 0.211146 
60000 2 0.773664 2 0 0.227521 
61000 2 0.740928 2 0 0.20971 
62000 2 0.741477 2 0 0.209997 
63000 2 0.708397 2 0 0.193335 
64000 2 0.776189 2 0 0.228957 
65000 2 0.756574 2 0 0.218041 
66000 2 0.730914 2 0 0.204539 
67000 2 0.846421 2 0 0.273485 
68000 2 0.758159 2 0 0.218903 
69000 2 0.704234 2 0 0.191324 
70000 2 0.641165 2 0 0.162884 
71000 2 0.660477 2 0 0.171215 
72000 2 0.690288 2 0 0.184717 
73000 2 0.716611 2 0 0.197357 
74000 2 0.714863 2 0 0.196495 
75000 2 0.635024 2 0 0.160299 
76000 2 0.655221 2 0 0.168917 
77000 2 0.636395 2 0 0.160873 
78000 2 0.645893 2 0 0.164895 
79000 2 0.651909 2 0 0.167481 
80000 2 0.633649 2 0 0.159724 
81000 2 0.552271 2 0 0.128124 
82000 2 0.682222 2 0 0.180982 
83000 2 0.645893 2 0 0.164895 
84000 2 0.618294 2 0 0.153404 
85000 2 0.654561 2 0 0.16863 
86000 2 0.695186 2 0 0.187015 
87000 2 0.591461 2 0 0.142775 
88000 2 0.599574 2 0 0.145935 
89000 2 0.551476 2 0 0.127837 
90000 2 0.696402 2 0 0.18759 
91000 2 0.614743 2 0 0.151968 
92000 2 0.554651 2 0 0.128986 
93000 2 0.490389 2 0 0.106866 
94000 2 0.616876 2 0 0.15283 
95000 2 0.57869 2 0 0.137891 
96000 2 0.535443 2 0 0.122126 
97000 2 0.523149 2 0 0.11785 
98000 2 0.571043 2 0 0.135019 
99000 2 0.452293 2 0 0.0948003 
100000 2 0.557808 2 0 0.130135 
