# Sat Mar 29 10:57:34 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0156349 2 0 0.00143637 
5000 2 0.522952 2 0 0.117782 
6000 2 0.680969 2 0 0.180408 
7000 2 0.611885 2 0 0.150819 
8000 2 0.672107 2 0 0.176386 
9000 2 0.567956 2 0 0.13387 
10000 2 0.65401 2 0 0.168391 
11000 2 0.701838 2 0 0.190175 
12000 2 0.655881 2 0 0.169204 
13000 2 0.725818 2 0 0.201953 
14000 2 0.689672 2 0 0.18443 
15000 2 0.668903 2 0 0.17495 
16000 2 0.662434 2 0 0.172077 
17000 2 0.670828 2 0 0.175812 
18000 2 0.720086 2 0 0.199081 
19000 2 0.592203 2 0 0.143062 
20000 2 0.689672 2 0 0.18443 
21000 2 0.728656 2 0 0.20339 
22000 2 0.752852 2 0 0.21603 
23000 2 0.710169 2 0 0.194197 
24000 2 0.666326 2 0 0.173801 
25000 2 0.747474 2 0 0.213157 
26000 2 0.672107 2 0 0.176386 
27000 2 0.704945 2 0 0.191667 
28000 2 0.684718 2 0 0.182132 
29000 2 0.649466 2 0 0.166427 
30000 2 0.690288 2 0 0.184717 
31000 2 0.698221 2 0 0.188452 
32000 2 0.714279 2 0 0.196208 
33000 2 0.628116 2 0 0.157426 
34000 2 0.62753 2 0 0.157184 
35000 2 0.592944 2 0 0.14335 
36000 2 0.619708 2 0 0.153979 
37000 2 0.659168 2 0 0.170641 
38000 2 0.593685 2 0 0.143637 
39000 2 0.67719 2 0 0.178684 
40000 2 0.690288 2 0 0.184717 
41000 2 0.685961 2 0 0.182706 
42000 2 0.686582 2 0 0.182993 
43000 2 0.711347 2 0 0.194772 
44000 2 0.661783 2 0 0.17179 
45000 2 0.649244 2 0 0.166332 
46000 2 0.637079 2 0 0.161161 
47000 2 0.67719 2 0 0.178684 
48000 2 0.614743 2 0 0.151968 
49000 2 0.628116 2 0 0.157426 
50000 2 0.636395 2 0 0.160873 
51000 2 0.685961 2 0 0.182706 
52000 2 0.629505 2 0 0.158001 
53000 2 0.619708 2 0 0.153979 
54000 2 0.669546 2 0 0.175237 
55000 2 0.590079 2 0 0.142241 
56000 2 0.608293 2 0 0.149382 
57000 2 0.676671 2 0 0.178448 
58000 2 0.589973 2 0 0.142201 
59000 2 0.688439 2 0 0.183855 
60000 2 0.710759 2 0 0.194484 
61000 2 0.649244 2 0 0.166332 
62000 2 0.559381 2 0 0.13071 
63000 2 0.643196 2 0 0.163746 
64000 2 0.689672 2 0 0.18443 
65000 2 0.648575 2 0 0.166044 
66000 2 0.65654 2 0 0.169492 
67000 2 0.539618 2 0 0.123599 
68000 2 0.579449 2 0 0.138179 
69000 2 0.620414 2 0 0.154266 
70000 2 0.666326 2 0 0.173801 
71000 2 0.679083 2 0 0.179546 
72000 2 0.631581 2 0 0.158862 
73000 2 0.674132 2 0 0.177299 
74000 2 0.587734 2 0 0.141339 
75000 2 0.588481 2 0 0.141626 
76000 2 0.583983 2 0 0.139902 
77000 2 0.556232 2 0 0.12956 
78000 2 0.676558 2 0 0.178397 
79000 3 0.568629 3 0.000574548 0.13272 
80000 2 0.618294 2 0 0.153404 
81000 2 0.626026 2 0 0.156564 
82000 2 0.501724 2 0 0.1106 
83000 2 0.614743 2 0 0.151968 
84000 2 0.63089 2 0 0.158575 
85000 2 0.564074 2 0 0.132433 
86000 2 0.639807 2 0 0.16231 
87000 2 0.619708 2 0 0.153979 
88000 2 0.653899 2 0 0.168342 
89000 2 0.644546 2 0 0.164321 
90000 2 0.691517 2 0 0.185292 
91000 2 0.655444 2 0 0.169014 
92000 2 0.679712 2 0 0.179833 
93000 2 0.655881 2 0 0.169204 
94000 2 0.689672 2 0 0.18443 
95000 2 0.628811 2 0 0.157713 
96000 2 0.684095 2 0 0.181844 
97000 2 0.731476 2 0 0.204826 
98000 2 0.693966 2 0 0.186441 
99000 2 0.671468 2 0 0.176099 
100000 2 0.655221 2 0 0.168917 
