# Wed Sep 24 14:50:52 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.00379425 2 0 0.000287274 
5000 1 0 1 0 0 
6000 4 0.493985 4 0 0.0999713 
7000 5 1.76096 5 0.264866 0.76817 
8000 5 2.25365 5 0.302212 1.06751 
9000 5 2.26588 5 0.231543 1.11003 
10000 6 2.25233 6 0.237743 1.09767 
11000 9 2.57213 9 0.56681 1.47774 
12000 13 3.11038 13 0.668283 1.64608 
13000 18 3.20967 18 0.826318 1.84746 
14000 33 3.6655 33 1.36861 2.73822 
15000 33 3.81501 33 1.41231 2.79828 
16000 39 3.76835 39 1.50358 2.98707 
17000 38 3.9867 38 1.55779 3.10086 
18000 44 4.03914 44 1.5277 3.02356 
19000 37 3.80575 37 1.51774 2.97443 
20000 41 3.90559 41 1.4625 2.89199 
21000 37 4.02897 37 1.48581 2.9164 
22000 37 3.84754 37 1.51799 2.99196 
23000 39 3.99181 39 1.53876 3.03305 
24000 40 4.13083 40 1.44277 2.84799 
25000 44 4.10479 44 1.46505 2.90319 
26000 48 3.9023 48 1.5883 3.1896 
27000 53 4.07208 53 1.74852 3.66073 
28000 57 3.91778 57 1.83361 3.81063 
29000 52 3.79927 52 1.83133 3.83367 
30000 58 4.02732 58 1.79914 3.75036 
31000 55 3.95545 55 1.79888 3.74864 
32000 56 3.78513 56 1.80858 3.78024 
33000 56 3.96208 56 1.77943 3.7202 
34000 62 3.95717 62 1.82549 3.81839 
35000 64 4.37483 64 1.80853 3.77529 
36000 64 4.28289 64 1.80638 3.76903 
37000 63 4.23343 63 1.78154 3.70468 
38000 67 4.27898 67 1.7972 3.73916 
39000 62 4.17787 62 1.80291 3.76041 
40000 59 4.23423 59 1.83065 3.81959 
41000 67 4.03413 67 1.83232 3.84344 
42000 60 4.05715 60 1.81816 3.80293 
43000 60 4.12175 60 1.80999 3.79598 
44000 67 3.95717 67 1.79649 3.76472 
45000 64 3.96006 64 1.82019 3.79977 
46000 62 4.11198 62 1.78283 3.74002 
47000 67 4.39702 67 1.7698 3.67653 
48000 70 4.38346 70 1.83658 3.81442 
49000 68 4.54572 68 1.79715 3.72069 
50000 67 4.38818 67 1.84297 3.84076 
51000 65 4.46812 65 1.84334 3.82936 
52000 62 4.27314 62 1.85154 3.86211 
53000 62 4.01837 62 1.8056 3.80948 
54000 58 4.12464 58 1.81159 3.79173 
55000 60 4.21226 60 1.79119 3.73427 
56000 62 4.14912 62 1.80791 3.79805 
57000 59 4.06401 59 1.81311 3.82333 
58000 64 4.39129 64 1.7377 3.6296 
59000 64 4.38872 64 1.76505 3.69233 
60000 61 4.27335 61 1.79195 3.74598 
61000 66 4.43798 66 1.77428 3.69109 
62000 58 4.24206 58 1.81527 3.80925 
63000 57 4.1284 57 1.8057 3.80781 
64000 57 3.94313 57 1.7965 3.77506 
65000 55 3.93689 55 1.80882 3.79517 
66000 56 4.02727 56 1.85171 3.89141 
67000 55 4.04021 55 1.83597 3.84602 
68000 57 4.18821 57 1.82685 3.81729 
69000 59 3.93806 59 1.80134 3.77708 
70000 51 3.65954 51 1.75705 3.61103 
71000 50 3.52921 50 1.65833 3.37741 
72000 45 3.36947 45 1.63886 3.3387 
73000 46 3.41334 46 1.62778 3.32146 
74000 50 3.50293 50 1.61751 3.28928 
75000 53 3.52802 53 1.62843 3.29446 
76000 58 3.55984 58 1.59081 3.23879 
77000 50 3.44777 50 1.5905 3.22666 
78000 46 3.34348 46 1.62546 3.29762 
79000 48 3.48558 48 1.5977 3.23815 
80000 59 3.67721 59 1.58295 3.20339 
81000 52 3.58135 52 1.58042 3.19448 
82000 54 3.71099 54 1.58508 3.21919 
83000 58 3.80434 58 1.54977 3.1557 
84000 57 3.69665 57 1.56495 3.18874 
85000 56 3.66872 56 1.60998 3.2844 
86000 55 3.6085 55 1.60715 3.29474 
87000 52 3.72047 52 1.60436 3.3025 
88000 51 3.75292 51 1.60294 3.27435 
89000 49 3.58695 49 1.67431 3.40075 
90000 52 3.67819 52 1.63642 3.36149 
91000 52 3.48204 52 1.64736 3.39098 
92000 54 3.58656 54 1.61461 3.33381 
93000 45 3.58313 45 1.61999 3.33726 
94000 54 3.83829 54 1.66695 3.4243 
95000 55 3.86496 55 1.72727 3.54483 
96000 51 3.96473 51 1.72395 3.5477 
97000 58 4.11773 58 1.74851 3.56018 
98000 64 4.28021 64 1.74028 3.53391 
99000 59 4.17109 59 1.76636 3.60765 
100000 63 4.13586 63 1.76537 3.61103 
