# Thu Jul 10 20:08:28 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0234561 2 0 0.00229819 
2000 1 0 1 0 0 
3000 4 0.246811 4 0.0321747 0.0683712 
4000 10 2.01941 10 0.804367 1.73513 
5000 14 2.51278 14 0.986431 2.07124 
6000 16 2.45068 16 1.02225 2.10428 
7000 20 3.14086 20 1.25522 2.48463 
8000 21 3.54255 21 1.40248 2.76817 
9000 27 3.36459 27 1.57718 3.14938 
10000 29 3.31746 29 1.6098 3.26006 
11000 26 3.21424 26 1.68303 3.38265 
12000 30 3.52803 30 1.64546 3.29043 
13000 33 3.67266 33 1.71182 3.4073 
14000 36 3.77724 36 1.70822 3.42069 
15000 35 4.04829 35 1.70122 3.38552 
16000 39 3.96912 39 1.68693 3.38121 
17000 38 3.73135 38 1.71508 3.39368 
18000 38 3.43862 38 1.65498 3.26027 
19000 37 3.32414 37 1.7766 3.53835 
20000 37 3.20886 37 1.80995 3.605 
21000 46 3.61529 46 1.91215 3.89856 
22000 40 3.48783 40 1.94312 3.99971 
23000 43 3.21613 43 2.00612 4.15628 
24000 45 3.21028 45 2.01487 4.16116 
25000 43 3.30008 43 2.05756 4.30307 
26000 48 3.68878 48 2.03722 4.28966 
27000 58 3.55428 58 2.04383 4.29388 
28000 52 3.50089 52 2.0432 4.26659 
29000 54 3.51554 54 2.03133 4.23987 
30000 54 3.46705 54 2.03047 4.24562 
31000 57 3.48163 57 2.0497 4.29368 
32000 60 3.95689 60 2.14523 4.58058 
33000 51 3.40747 51 2.24165 4.9181 
34000 60 3.50054 60 2.22852 4.88164 
35000 60 3.37307 60 2.23354 4.90888 
36000 53 3.24543 53 2.25579 4.96955 
37000 55 3.41911 55 2.25167 4.9342 
38000 52 3.54703 52 2.22203 4.82792 
39000 55 3.41544 55 2.24835 4.91554 
40000 55 3.6125 55 2.21105 4.81385 
41000 58 3.62509 58 2.18818 4.74835 
42000 60 3.62235 60 2.19012 4.7518 
43000 53 3.46631 53 2.22115 4.84142 
44000 54 3.52603 54 2.21849 4.82333 
45000 59 3.5892 59 2.18547 4.75093 
46000 54 3.54006 54 2.20041 4.78483 
47000 53 3.6256 53 2.18994 4.77621 
48000 57 3.81672 57 2.17351 4.72221 
49000 61 3.60891 61 2.18358 4.74828 
50000 62 3.62237 62 2.21233 4.80379 
51000 58 3.58623 58 2.24246 4.89371 
52000 59 3.65579 59 2.20884 4.82074 
53000 58 3.62476 58 2.21359 4.83338 
54000 65 3.71796 65 2.18456 4.77133 
55000 64 3.75031 64 2.21183 4.82045 
56000 59 3.57033 59 2.22606 4.88595 
57000 57 3.58742 57 2.23326 4.87705 
58000 57 3.62969 57 2.21971 4.85952 
59000 59 3.65179 59 2.22818 4.8736 
60000 59 3.54586 59 2.2339 4.90376 
61000 59 3.57482 59 2.24191 4.91928 
62000 62 3.53871 62 2.23995 4.89141 
63000 57 3.60755 57 2.20787 4.80666 
64000 62 3.43723 62 2.24809 4.92703 
65000 66 3.57957 66 2.25101 4.91727 
66000 60 3.48729 60 2.26276 4.94168 
67000 64 3.76742 64 2.23245 4.85234 
68000 61 3.51915 61 2.24578 4.90434 
69000 61 3.57423 61 2.23558 4.88509 
70000 61 3.49478 61 2.22597 4.88796 
71000 61 3.74224 61 2.20082 4.7946 
72000 64 3.4768 64 2.25994 4.95863 
73000 62 3.59225 62 2.26408 4.9572 
74000 64 3.82999 64 2.20341 4.78483 
75000 66 3.64933 66 2.23077 4.87733 
76000 63 3.59768 63 2.23239 4.8759 
77000 59 3.48785 59 2.25389 4.93937 
78000 64 3.54282 64 2.2435 4.90431 
79000 61 3.66586 61 2.23122 4.85349 
80000 62 3.65962 62 2.22801 4.86412 
81000 66 3.54289 66 2.2289 4.84976 
82000 64 3.54577 64 2.23339 4.87015 
83000 58 3.52417 58 2.23789 4.88078 
84000 56 3.50429 56 2.22223 4.87159 
85000 60 3.51595 60 2.2381 4.89831 
86000 65 3.40077 65 2.25 4.93077 
87000 64 3.49438 64 2.23297 4.89371 
88000 65 3.69957 65 2.19607 4.78914 
89000 62 3.42765 62 2.24558 4.92502 
90000 61 3.81164 61 2.19635 4.77695 
91000 58 3.69044 58 2.19864 4.79029 
92000 65 3.68065 65 2.205 4.81471 
93000 68 3.69149 68 2.21499 4.83826 
94000 61 3.5705 61 2.24339 4.91523 
95000 60 3.51384 60 2.23101 4.89598 
96000 59 3.48644 59 2.24597 4.92445 
97000 59 3.54254 59 2.24789 4.91468 
98000 64 3.40694 64 2.27183 4.99368 
99000 60 3.64708 60 2.2284 4.87446 
100000 59 3.45949 59 2.26174 4.96897 
