# Fri Mar  6 00:52:59 2015
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.135561 2 0 0.0189601 
3000 8 2.16424 8 0.492387 1.2123 
4000 11 0.999588 11 0.917131 1.90175 
5000 11 1.02739 11 0.940087 1.93881 
6000 10 0.940129 10 0.937511 1.92876 
7000 9 0.835538 9 0.928785 1.91236 
8000 14 1.83988 14 1.29344 2.54438 
9000 24 1.3809 24 1.86899 3.73786 
10000 23 1.6545 23 1.92171 3.84397 
11000 24 1.6927 24 1.92665 3.85086 
12000 28 1.77033 28 1.92492 3.84545 
13000 31 1.76428 31 1.92532 3.84602 
14000 29 2.06944 29 2.06686 4.26515 
15000 33 1.91516 33 2.11201 4.40333 
16000 35 2.70813 35 2.2019 4.67165 
17000 38 2.79935 38 2.19628 4.66389 
18000 36 2.63516 36 2.21682 4.71954 
19000 38 2.69653 38 2.2151 4.70756 
20000 37 3.07546 37 2.14487 4.51738 
21000 36 2.75967 36 2.15792 4.53605 
22000 37 2.67714 37 2.14492 4.50187 
23000 40 2.8265 40 2.15977 4.53548 
24000 37 2.9902 37 2.15166 4.51968 
25000 41 2.9405 41 2.1474 4.50991 
26000 39 2.97022 39 2.14283 4.49469 
27000 38 2.88739 38 2.16058 4.53663 
28000 37 2.79076 37 2.17052 4.5688 
29000 39 2.84291 39 2.15985 4.54266 
30000 44 2.90047 44 2.15699 4.54036 
31000 39 2.99546 39 2.14378 4.5 
32000 39 2.77873 39 2.16448 4.55846 
33000 37 2.92239 37 2.15067 4.50934 
34000 35 2.90517 35 2.1637 4.54914 
35000 41 2.97765 41 2.14561 4.50531 
36000 36 2.99968 36 2.17593 4.58661 
37000 39 2.88992 39 2.22552 4.7454 
38000 37 2.99234 37 2.20985 4.70698 
39000 41 2.97027 41 2.21762 4.72508 
40000 37 2.87382 37 2.22008 4.72693 
41000 42 2.86048 42 2.22919 4.75323 
42000 37 2.92819 37 2.21705 4.72307 
43000 37 2.87313 37 2.22882 4.75725 
44000 36 2.90233 36 2.21675 4.72336 
45000 40 2.76926 40 2.23525 4.77909 
46000 44 2.83596 44 2.2324 4.76293 
47000 38 2.79263 38 2.23587 4.77277 
48000 36 2.86365 36 2.21518 4.73226 
49000 38 2.94126 38 2.20993 4.71264 
50000 46 3.00643 46 2.20072 4.68457 
51000 42 2.93907 42 2.2093 4.70325 
52000 36 2.84367 36 2.20626 4.70181 
53000 42 2.9607 42 2.19875 4.68457 
54000 39 2.87783 39 2.21817 4.72738 
55000 36 2.87164 36 2.21802 4.72881 
56000 40 2.83942 40 2.22028 4.7314 
57000 36 2.86735 36 2.21599 4.72307 
58000 35 2.76897 35 2.22646 4.7518 
59000 37 2.83207 37 2.22057 4.73714 
60000 39 2.7995 39 2.21801 4.73226 
61000 31 2.7871 31 2.22543 4.75 
62000 35 2.8077 35 2.22514 4.75381 
63000 33 2.72354 33 2.24004 4.78598 
64000 35 2.82004 35 2.22063 4.7426 
65000 54 3.22167 54 2.41879 5.55057 
66000 52 3.15579 52 2.49212 5.77995 
67000 51 2.93892 51 2.52659 5.9029 
68000 56 2.74606 56 2.54976 5.98765 
69000 55 2.91017 55 2.54284 5.96207 
70000 59 3.05422 59 2.53778 5.94799 
71000 61 3.12037 61 2.53194 5.9368 
72000 66 3.13066 66 2.52869 5.91784 
73000 62 3.14988 62 2.54146 5.96438 
74000 61 3.08386 61 2.5397 5.95289 
75000 57 3.1478 57 2.53095 5.93822 
76000 58 3.13582 58 2.54306 5.96323 
77000 65 3.32229 65 2.52495 5.91178 
78000 65 3.378 65 2.52337 5.89716 
79000 57 3.23367 57 2.53715 5.95691 
80000 57 3.21786 57 2.53497 5.93592 
81000 63 3.27256 63 2.53829 5.94858 
82000 57 3.07663 57 2.54591 5.98103 
83000 62 3.18582 62 2.5391 5.94944 
84000 71 3.32435 71 2.5305 5.92991 
85000 58 3.22205 58 2.53615 5.96323 
86000 58 3.1394 58 2.54162 5.96524 
87000 58 3.05787 58 2.55018 5.99627 
88000 59 2.98715 59 2.56427 6.04539 
89000 59 3.01433 59 2.55257 5.99713 
90000 63 3.01563 63 2.56549 6.05203 
91000 55 2.98686 55 2.55604 6.01982 
92000 64 3.01048 64 2.56129 6.04252 
93000 60 2.96339 60 2.56568 6.05286 
94000 59 2.97605 59 2.56218 6.04022 
95000 66 3.13071 66 2.54486 5.99023 
96000 64 3.05783 64 2.5547 6.01954 
97000 64 3.02372 64 2.54618 5.99569 
98000 58 3.08372 58 2.55065 6.01264 
99000 60 3.06127 60 2.54906 6.00431 
100000 59 2.96646 59 2.5496 6.00776 
