# Fri Jul 11 10:45:35 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.275249 2 0 0.0474002 
5000 7 1.78589 7 0.0137891 0.891411 
6000 18 1.01082 18 1.45659 2.78742 
7000 25 1.77164 25 1.46679 2.80724 
8000 26 1.99406 26 1.65594 3.2439 
9000 27 1.14056 27 1.89835 3.81241 
10000 25 1.06925 25 1.89314 3.80666 
11000 24 1.16901 24 1.88948 3.79247 
12000 25 1.14366 25 1.89066 3.80034 
13000 25 1.09979 25 1.89993 3.8193 
14000 28 1.20707 28 1.8898 3.79 
15000 25 1.07528 25 1.89547 3.80695 
16000 24 1.19208 24 1.8934 3.80207 
17000 24 1.05762 24 1.90643 3.82677 
18000 25 1.08349 25 1.90545 3.8262 
19000 23 1.03575 23 1.90019 3.8216 
20000 23 1.0658 23 1.92717 3.85911 
21000 19 0.97106 19 1.92646 3.85722 
22000 25 1.00099 25 1.9123 3.83884 
23000 23 1.03605 23 1.90583 3.82902 
24000 24 1.00131 24 1.92198 3.8569 
25000 23 1.02974 23 1.92079 3.85493 
26000 23 1.01278 23 1.92752 3.86153 
27000 25 1.14978 25 1.91537 3.84056 
28000 22 1.11081 22 1.9089 3.83051 
29000 21 1.07768 21 1.90203 3.82074 
30000 26 1.14251 26 1.91075 3.83137 
31000 23 1.22411 23 1.89432 3.80374 
32000 27 1.22692 27 1.88295 3.78627 
33000 25 1.03205 25 1.9062 3.83309 
34000 24 1.08199 24 1.91541 3.84286 
35000 24 0.999639 24 1.90199 3.82476 
36000 22 1.08748 22 1.89877 3.81844 
37000 24 1.23485 24 1.883 3.78512 
38000 24 1.09303 24 1.89998 3.81816 
39000 24 1.12599 24 1.88103 3.78707 
40000 26 1.17839 26 1.88057 3.78397 
41000 24 1.29256 24 1.88765 3.7923 
42000 20 1.21546 20 1.90162 3.81902 
43000 24 1.16115 24 1.89152 3.80868 
44000 23 1.16266 23 1.89737 3.81327 
45000 26 1.21669 26 1.89174 3.80465 
46000 26 1.19341 26 1.88682 3.79914 
47000 25 1.22214 25 1.89009 3.80086 
48000 25 1.15089 25 1.90983 3.83482 
49000 28 1.26224 28 1.88514 3.78972 
50000 26 1.2364 26 1.89581 3.80753 
51000 23 1.13876 23 1.89914 3.81466 
52000 23 1.20617 23 1.8899 3.79948 
53000 25 1.355 25 1.86417 3.75144 
54000 26 1.32708 26 1.86845 3.75725 
55000 31 1.73959 31 1.82379 3.64665 
56000 29 1.93212 29 1.71575 3.40592 
57000 30 1.89559 30 1.71083 3.38506 
58000 35 2.02604 35 1.69344 3.35392 
59000 32 2.13628 32 1.70622 3.36828 
60000 30 2.10016 30 1.8406 3.71502 
61000 23 1.89375 23 1.84925 3.73284 
62000 22 1.89272 22 1.85172 3.7314 
63000 26 1.92311 26 1.84459 3.72163 
64000 25 1.95373 25 1.83285 3.70115 
65000 25 1.83508 25 1.85179 3.73764 
66000 27 1.93538 27 1.85323 3.74519 
67000 29 1.75277 29 1.84596 3.73686 
68000 26 1.69493 26 1.8591 3.75754 
69000 26 1.73292 26 1.85099 3.74023 
70000 31 1.76205 31 1.84259 3.72795 
71000 30 2.00634 30 2.06399 4.36426 
72000 34 1.77594 34 2.18584 4.70661 
73000 34 1.90772 34 2.17752 4.6842 
74000 36 1.66494 36 2.17346 4.69492 
75000 34 1.28055 34 2.15411 4.657 
76000 33 1.15108 33 2.15688 4.65901 
77000 32 1.24914 32 2.14425 4.64626 
78000 40 1.34449 40 2.14168 4.63804 
79000 34 1.33765 34 2.163 4.67624 
80000 43 1.42994 43 2.13378 4.61954 
81000 35 1.39798 35 2.15371 4.65125 
82000 32 1.3605 32 2.15649 4.66217 
83000 38 1.57102 38 2.14429 4.63516 
84000 35 1.46939 35 2.14045 4.62568 
85000 33 1.35204 33 2.15566 4.65642 
86000 37 1.46311 37 2.15317 4.65154 
87000 32 1.34746 32 2.15425 4.65154 
88000 42 1.6981 42 2.39424 5.50646 
89000 43 1.52672 43 2.4066 5.55013 
90000 43 1.53174 43 2.42663 5.60126 
91000 37 1.635 37 2.41969 5.59121 
92000 38 1.58225 38 2.41527 5.5711 
93000 39 1.6454 39 2.41507 5.57541 
94000 34 1.6136 34 2.3899 5.52657 
95000 40 1.50494 40 2.40565 5.56133 
96000 47 1.70762 47 2.39252 5.53088 
97000 44 1.56462 44 2.42398 5.59897 
98000 44 1.51411 44 2.42144 5.59408 
99000 48 1.92772 48 2.40074 5.54898 
100000 45 2.0723 45 2.40251 5.54611 
