# Thu Oct 30 11:11:04 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 3 0.735586 3 0 0.201724 
3000 4 1.07927 4 0 0.369359 
4000 6 1.86403 6 0.0347601 0.527147 
5000 9 2.55861 9 0.226877 0.838839 
6000 15 3.07164 15 0.369505 1.1557 
7000 22 3.20443 22 0.807754 1.80465 
8000 21 2.85089 21 0.74488 1.7179 
9000 27 3.49505 27 0.931827 2.05659 
10000 28 3.02644 28 1.15581 2.36857 
11000 28 3.19495 28 1.18399 2.40017 
12000 26 3.40576 26 1.13749 2.28793 
13000 26 3.27263 26 1.17816 2.36322 
14000 28 3.43728 28 1.18023 2.35105 
15000 29 3.48838 29 1.16722 2.33036 
16000 36 3.37105 36 1.20389 2.38966 
17000 35 3.39616 35 1.21816 2.41224 
18000 35 3.34303 35 1.27198 2.51077 
19000 33 3.46619 33 1.29839 2.55961 
20000 35 3.39853 35 1.32974 2.61649 
21000 32 3.47034 32 1.34311 2.6366 
22000 33 3.49011 33 1.36783 2.67969 
23000 45 3.96696 45 1.43603 2.82965 
24000 48 4.01668 48 1.50642 2.99224 
25000 46 4.14348 46 1.47403 2.93594 
26000 48 4.2089 48 1.48878 2.98161 
27000 46 4.08992 46 1.51082 3.02758 
28000 47 4.20844 47 1.45858 2.92359 
29000 44 4.08894 44 1.49548 3.00287 
30000 50 4.08269 50 1.51821 3.03189 
31000 48 4.17128 48 1.51598 3.03103 
32000 50 3.9995 50 1.58651 3.17184 
33000 44 3.96078 44 1.5641 3.12324 
34000 51 4.04181 51 1.63166 3.32548 
35000 56 4.03828 56 1.67298 3.4023 
36000 60 3.90814 60 1.65308 3.3522 
37000 64 4.10753 64 1.74842 3.55875 
38000 71 3.75613 71 1.88443 3.82993 
39000 72 3.60163 72 1.86424 3.76351 
40000 80 3.67624 80 2.02892 4.22178 
41000 85 3.75867 85 2.06569 4.36168 
42000 83 3.86832 83 2.09281 4.48722 
43000 95 4.16131 95 2.19713 4.79632 
44000 96 4.22848 96 2.24894 5.00632 
45000 108 4.26545 108 2.27451 5.04711 
46000 98 4.35632 98 2.25664 4.99167 
47000 101 4.4173 101 2.23076 4.92586 
48000 95 4.18158 95 2.25966 5.00776 
49000 102 4.17584 102 2.26637 5.00517 
50000 102 4.25726 102 2.26245 4.99425 
51000 94 4.17863 94 2.28064 5.03878 
52000 97 4.15619 97 2.25673 4.96553 
53000 84 3.83399 84 2.26279 4.94168 
54000 96 4.02441 96 2.28833 5.05774 
55000 112 4.55965 112 2.29738 5.09652 
56000 114 4.72623 114 2.26565 5.00488 
57000 103 4.39983 103 2.26987 5.01896 
58000 107 4.55317 107 2.25708 4.95203 
59000 106 4.40721 106 2.26715 4.97644 
60000 103 4.52921 103 2.25183 4.93852 
61000 103 4.40955 103 2.27176 4.99081 
62000 111 4.35892 111 2.35013 5.30968 
63000 109 4.45077 109 2.33131 5.25108 
64000 120 4.39059 120 2.3738 5.36512 
65000 122 4.44997 122 2.40217 5.45677 
66000 121 4.70432 121 2.36096 5.30144 
67000 114 4.5368 114 2.36307 5.31897 
68000 111 4.57364 111 2.34705 5.28182 
69000 115 4.4945 115 2.3855 5.39069 
70000 120 4.71221 120 2.35134 5.29733 
71000 114 4.40468 114 2.40945 5.49253 
72000 107 4.45155 107 2.39053 5.41425 
73000 115 4.43822 115 2.3943 5.4605 
74000 113 4.4261 113 2.35764 5.32146 
75000 119 4.5248 119 2.36253 5.33975 
76000 117 4.41485 117 2.36812 5.3476 
77000 114 4.39902 114 2.36929 5.34329 
78000 114 4.47156 114 2.36853 5.35708 
79000 119 4.43861 119 2.37332 5.3657 
80000 109 4.40996 109 2.38963 5.41856 
81000 110 4.35963 110 2.37573 5.37414 
82000 117 4.56998 117 2.35058 5.29158 
83000 110 4.376 110 2.36608 5.36311 
84000 116 4.44796 116 2.38235 5.39799 
85000 119 4.4813 119 2.37904 5.37989 
86000 109 4.37338 109 2.3945 5.42373 
87000 107 4.17485 107 2.41947 5.52011 
88000 110 4.27342 110 2.39554 5.44154 
89000 116 4.40026 116 2.35999 5.30365 
90000 108 4.37657 108 2.37041 5.36053 
91000 112 4.48374 112 2.37242 5.34971 
92000 115 4.4094 115 2.37333 5.35191 
93000 115 4.31291 115 2.36452 5.31284 
94000 113 4.25749 113 2.36289 5.32701 
95000 117 4.45174 117 2.37561 5.38351 
96000 117 4.43664 117 2.37221 5.35287 
97000 114 4.314 114 2.39695 5.45389 
98000 114 4.59487 114 2.35073 5.29216 
99000 116 4.63469 116 2.33102 5.21373 
100000 107 4.38356 107 2.35969 5.32385 
