# Fri Oct 31 03:11:20 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 8 2.06827 8 0.444635 1.0586 
4000 8 1.89398 8 1.09029 2.13851 
5000 12 2.41176 12 1.11916 2.23937 
6000 13 2.23304 13 1.26545 2.5056 
7000 14 2.2917 14 1.33572 2.61793 
8000 15 2.31944 15 1.35273 2.65182 
9000 15 2.48573 15 1.56994 3.16001 
10000 15 2.20045 15 1.63829 3.29474 
11000 14 2.02154 14 1.68186 3.368 
12000 15 2.08431 15 1.69588 3.39339 
13000 15 2.05541 15 1.68695 3.37891 
14000 18 1.90459 18 1.71894 3.38523 
15000 18 1.83434 18 1.85604 3.70172 
16000 18 1.50904 18 1.89421 3.79167 
17000 21 1.65461 21 1.87498 3.75057 
18000 21 1.64171 21 1.88228 3.76357 
19000 20 1.33465 20 1.91512 3.83879 
20000 28 2.11192 28 1.89939 3.80891 
21000 30 2.05634 30 1.91586 3.84372 
22000 28 2.14145 28 1.90192 3.81212 
23000 30 2.43652 30 1.90707 3.82792 
24000 29 2.58771 29 1.90481 3.81379 
25000 30 2.68486 30 1.89183 3.79517 
26000 27 2.71617 27 1.87582 3.76558 
27000 31 2.56716 31 1.88909 3.79345 
28000 28 2.58928 28 1.89879 3.80724 
29000 31 2.79121 31 1.85708 3.73312 
30000 31 2.71755 31 1.88148 3.78885 
31000 33 2.81235 33 1.85757 3.73312 
32000 36 3.19524 36 1.9523 4.0046 
33000 38 3.0206 38 2.04552 4.2709 
34000 41 2.9719 41 2.09876 4.4266 
35000 41 2.87759 41 2.1192 4.4809 
36000 41 3.05342 41 2.09174 4.4131 
37000 48 3.10539 48 2.1021 4.4454 
38000 45 3.04021 45 2.12054 4.49339 
39000 50 3.02591 50 2.18105 4.77069 
40000 51 2.7827 51 2.21057 4.8466 
41000 48 3.00429 48 2.18491 4.77104 
42000 51 2.93646 51 2.20036 4.81523 
43000 49 2.79441 49 2.23634 4.89256 
44000 44 2.73114 44 2.22285 4.8704 
45000 49 2.82469 49 2.22384 4.87274 
46000 47 2.94603 47 2.2222 4.88279 
47000 51 2.93736 51 2.23482 4.89486 
48000 56 2.86215 56 2.23539 4.89601 
49000 49 2.87537 49 2.2374 4.90922 
50000 52 3.09779 52 2.25203 4.96121 
51000 57 3.23053 57 2.2691 5.05603 
52000 58 3.23016 58 2.25111 4.98535 
53000 56 3.23706 56 2.23904 4.96494 
54000 51 3.02216 51 2.25755 5.00259 
55000 47 2.85661 47 2.30019 5.11635 
56000 46 2.94065 46 2.25731 5.00862 
57000 45 2.86448 45 2.13102 4.58891 
58000 44 2.81964 44 2.12816 4.5727 
59000 43 2.77234 43 2.11696 4.553 
60000 39 2.69226 39 2.12843 4.57471 
61000 43 2.78573 43 2.11624 4.56277 
62000 37 2.75153 37 2.1359 4.58563 
63000 47 2.93727 47 2.10883 4.53174 
64000 41 2.82219 41 2.11943 4.55731 
65000 46 2.8614 46 2.11364 4.53433 
66000 43 2.91058 43 2.1014 4.51566 
67000 44 2.74685 44 2.12666 4.56207 
68000 41 2.72537 41 2.12148 4.56679 
69000 44 2.81097 44 2.11884 4.53979 
70000 48 2.8561 48 2.09909 4.50517 
71000 46 2.87414 46 2.12178 4.54955 
72000 44 2.87557 44 2.11132 4.52456 
73000 47 2.72618 47 2.13064 4.57615 
74000 48 2.85912 48 2.11338 4.553 
75000 45 2.97385 45 2.11708 4.54352 
76000 48 2.72728 48 2.12039 4.55157 
77000 45 2.76767 45 2.11277 4.54209 
78000 45 2.91675 45 2.09266 4.50474 
79000 51 2.84384 51 2.08085 4.47199 
80000 52 2.78032 52 2.10478 4.53218 
81000 47 2.725 47 2.1181 4.55805 
82000 52 2.72873 52 2.20061 4.80121 
83000 48 2.75311 48 2.20557 4.80638 
84000 46 2.88444 46 2.18031 4.72249 
85000 50 2.94051 50 2.1687 4.68946 
86000 48 2.82024 48 2.17416 4.71129 
87000 50 2.7864 50 2.18712 4.73714 
88000 43 2.84438 43 2.18141 4.72853 
89000 45 2.77336 45 2.16788 4.6817 
90000 43 2.84831 43 2.18976 4.74109 
91000 44 2.65513 44 2.18621 4.73513 
92000 46 2.6997 46 2.19502 4.76214 
93000 40 2.79015 40 2.16531 4.67538 
94000 51 2.85708 51 2.17336 4.70037 
95000 50 2.75939 50 2.18096 4.72011 
96000 48 2.88722 48 2.16863 4.6975 
97000 46 2.8703 46 2.16745 4.69549 
98000 44 2.91902 44 2.16413 4.68544 
99000 42 2.82202 42 2.18496 4.73628 
100000 47 3.06746 47 2.20794 4.80236 
