# Wed Oct 19 16:18:37 2016
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 3 1.0655 3 0 0.541798 
4000 10 1.74167 10 0.818164 1.72069 
5000 15 1.98753 15 1.47044 2.81442 
6000 30 2.70822 30 1.76702 3.4717 
7000 34 2.80682 34 2.02114 4.16408 
8000 28 1.80461 28 2.16328 4.56219 
9000 26 1.59761 26 2.19885 4.65527 
10000 31 1.50691 31 2.20525 4.68152 
11000 27 1.42073 27 2.21564 4.7046 
12000 28 1.45377 28 2.22024 4.71293 
13000 25 1.26466 25 2.23437 4.75352 
14000 25 1.28237 25 2.22995 4.74634 
15000 26 1.29405 26 2.23141 4.74662 
16000 25 1.23417 25 2.23737 4.76156 
17000 25 1.2374 25 2.2304 4.75036 
18000 24 1.30264 24 2.23015 4.74433 
19000 29 1.29486 29 2.22827 4.74433 
20000 29 1.48151 29 2.2149 4.70554 
21000 29 1.56146 29 2.20161 4.6728 
22000 30 1.47052 30 2.21386 4.70411 
23000 31 1.52807 31 2.22258 4.71983 
24000 32 1.55092 32 2.22131 4.72709 
25000 34 1.70507 34 2.21564 4.70842 
26000 34 1.73322 34 2.19936 4.66705 
27000 35 1.77077 35 2.19963 4.66648 
28000 44 2.45165 44 2.27737 4.9503 
29000 41 1.71101 41 2.45865 5.58604 
30000 36 1.59944 36 2.47335 5.63477 
31000 37 1.44969 37 2.4859 5.67912 
32000 38 1.36698 38 2.49402 5.70776 
33000 32 1.37143 32 2.49553 5.70669 
34000 32 1.25315 32 2.49238 5.70805 
35000 33 1.34011 33 2.49276 5.70353 
36000 33 1.46667 33 2.4744 5.65297 
37000 32 1.30459 32 2.49383 5.71014 
38000 33 1.30986 33 2.49318 5.7046 
39000 38 1.22967 38 2.49581 5.71962 
40000 31 1.24367 31 2.49659 5.71782 
41000 34 1.23658 34 2.4903 5.70554 
42000 34 1.29856 34 2.48553 5.68957 
43000 33 1.2723 33 2.48602 5.69204 
44000 40 1.45113 40 2.48398 5.68295 
45000 32 1.26128 32 2.49423 5.71186 
46000 31 1.3033 31 2.48765 5.69138 
47000 32 1.15558 32 2.50021 5.73111 
48000 33 1.12433 33 2.50803 5.75352 
49000 33 1.20087 33 2.49663 5.7227 
50000 31 1.18706 31 2.50011 5.72787 
51000 35 1.74854 35 2.46423 5.59425 
52000 59 2.46563 59 2.58995 6.12238 
53000 54 2.45859 54 2.6299 6.28095 
54000 58 2.49549 58 2.63959 6.32797 
55000 59 2.2955 59 2.65369 6.3861 
56000 50 2.10129 50 2.67142 6.44355 
57000 56 2.90249 56 2.67599 6.48176 
58000 54 2.3305 54 2.84527 7.30345 
59000 49 2.07738 49 2.86459 7.40333 
60000 52 1.88407 52 2.88571 7.4977 
61000 51 1.83896 51 2.87993 7.48291 
62000 51 1.85203 51 2.88593 7.50244 
63000 46 1.66216 46 2.89932 7.55878 
64000 47 1.70604 47 2.89719 7.55172 
65000 56 1.58647 56 2.9008 7.58058 
66000 47 1.6175 47 2.90466 7.5823 
67000 51 1.68746 51 2.88997 7.53462 
68000 45 1.48366 45 2.91079 7.61563 
69000 47 1.46839 47 2.90571 7.6 
70000 47 1.40469 47 2.91071 7.61925 
71000 43 1.38109 43 2.91527 7.63545 
72000 51 1.41354 51 2.91493 7.63516 
73000 51 1.4376 51 2.90799 7.61189 
74000 49 1.4889 49 2.90498 7.59695 
75000 50 1.44918 50 2.90915 7.61247 
76000 46 1.50277 46 2.91409 7.6231 
77000 48 1.46869 48 2.91003 7.61178 
78000 48 1.50093 48 2.9111 7.61466 
79000 52 1.45618 52 2.91628 7.63574 
80000 49 1.59311 49 2.90234 7.57471 
81000 43 1.47062 43 2.90835 7.60557 
82000 45 1.30612 45 2.92554 7.67825 
83000 46 1.42417 46 2.91434 7.62884 
84000 51 1.49486 51 2.91133 7.6139 
85000 44 1.40769 44 2.92166 7.65489 
86000 44 1.35092 44 2.91769 7.64407 
87000 41 1.33274 41 2.92018 7.6524 
88000 48 1.36665 48 2.92214 7.65814 
89000 46 1.23889 46 2.92215 7.66935 
90000 51 1.37463 51 2.91618 7.6389 
91000 50 1.34201 50 2.92488 7.67366 
92000 49 1.43578 49 2.9169 7.63746 
93000 48 1.42268 48 2.91852 7.64464 
94000 50 1.40015 50 2.91473 7.63333 
95000 52 1.37084 52 2.91912 7.64953 
96000 52 1.52177 52 2.90713 7.59782 
97000 51 1.50395 51 2.91212 7.61706 
98000 48 1.46403 48 2.91097 7.61591 
99000 45 1.46124 45 2.91229 7.6181 
100000 41 1.37246 41 2.91846 7.64694 
