# Wed Mar 26 20:25:38 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.00379425 2 0 0.000287274 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 2 0.661242 2 0 0.171552 
12000 2 0.672745 2 0 0.176673 
13000 2 0.813886 2 0 0.251652 
14000 2 0.739275 2 0 0.208848 
15000 2 0.72809 2 0 0.203103 
16000 2 0.675924 2 0 0.17811 
17000 2 0.563294 2 0 0.132146 
18000 2 0.651244 2 0 0.167193 
19000 2 0.600305 2 0 0.146222 
20000 2 0.602495 2 0 0.147084 
21000 2 0.657856 2 0 0.170066 
22000 2 0.607571 2 0 0.149095 
23000 2 0.65654 2 0 0.169492 
24000 2 0.623928 2 0 0.155702 
25000 2 0.691517 2 0 0.185292 
26000 2 0.65654 2 0 0.169492 
27000 2 0.641843 2 0 0.163172 
28000 2 0.706022 2 0 0.192186 
29000 2 0.682847 2 0 0.18127 
30000 2 0.676558 2 0 0.178397 
31000 2 0.594424 2 0 0.143924 
32000 2 0.609013 2 0 0.14967 
33000 2 0.629505 2 0 0.158001 
34000 2 0.636395 2 0 0.160873 
35000 2 0.643196 2 0 0.163746 
36000 2 0.608293 2 0 0.149382 
37000 2 0.645893 2 0 0.164895 
38000 3 0.793564 3 0 0.163746 
39000 4 0.947735 4 0.0954023 0.285057 
40000 4 0.963676 4 0.190175 0.421143 
41000 4 0.922707 4 0.17179 0.382649 
42000 4 1.03263 4 0.211721 0.470267 
43000 4 0.934498 4 0.183281 0.404481 
44000 4 0.934898 4 0.185579 0.407354 
45000 4 0.988745 4 0.210632 0.459195 
46000 4 0.93508 4 0.176437 0.391379 
47000 4 0.87866 4 0.178972 0.385521 
48000 4 0.980583 4 0.181844 0.411089 
49000 4 0.923984 4 0.184142 0.404769 
50000 4 0.962405 4 0.200517 0.435507 
51000 4 0.931954 4 0.180121 0.397587 
52000 4 0.9937 4 0.178397 0.406205 
53000 4 0.903983 4 0.188164 0.405343 
54000 4 0.987661 4 0.188452 0.425165 
55000 4 1.0136 4 0.197644 0.441253 
56000 4 1.12328 4 0.187302 0.452169 
57000 4 1.01524 4 0.185866 0.424303 
58000 4 1.01621 4 0.187302 0.427751 
59000 4 0.931787 4 0.177535 0.392703 
60000 4 0.947795 4 0.169204 0.388969 
61000 4 1.05183 4 0.187015 0.432347 
62000 4 0.934592 4 0.177822 0.394714 
63000 4 1.01259 4 0.189313 0.431198 
64000 4 0.904336 4 0.176673 0.388681 
65000 4 1.03932 4 0.183281 0.424303 
66000 4 1.05818 4 0.151106 0.382074 
67000 4 0.968976 4 0.173851 0.394828 
68000 4 0.862973 4 0.17179 0.371158 
69000 4 0.851819 4 0.17811 0.379489 
70000 4 0.943018 4 0.168342 0.380063 
71000 4 0.879832 4 0.160873 0.356507 
72000 4 0.862107 4 0.17811 0.382649 
73000 4 0.887371 4 0.190463 0.407354 
74000 4 0.860876 4 0.196208 0.413387 
75000 4 0.902819 4 0.151106 0.34559 
76000 4 0.887888 4 0.177248 0.385234 
77000 4 0.885013 4 0.182132 0.391841 
78000 4 0.837064 4 0.169204 0.363689 
79000 4 0.808828 4 0.170977 0.361207 
80000 4 0.940293 4 0.155702 0.359954 
81000 4 0.841726 4 0.167481 0.361103 
82000 4 0.824879 4 0.17811 0.375467 
83000 4 0.809163 4 0.170928 0.360816 
84000 4 0.83229 4 0.189601 0.396151 
85000 4 0.897307 4 0.170066 0.377765 
86000 4 0.86633 4 0.166332 0.362827 
87000 4 0.814181 4 0.173226 0.365412 
88000 4 0.730938 4 0.17495 0.356507 
89000 4 0.75722 4 0.170977 0.354023 
90000 4 0.752391 4 0.161735 0.337547 
91000 4 0.755974 4 0.170066 0.35191 
92000 4 0.774726 4 0.163746 0.345303 
93000 4 0.815291 4 0.174375 0.36771 
94000 4 0.756645 4 0.173801 0.357943 
95000 4 0.805354 4 0.164321 0.349612 
96000 4 0.825095 4 0.157139 0.340994 
97000 4 0.794331 4 0.159724 0.340132 
98000 4 0.792437 4 0.147946 0.320885 
99000 4 0.783844 4 0.15915 0.337547 
100000 4 0.759793 4 0.146797 0.31399 
