# Wed Mar 26 22:14:57 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.00701383 2 0 0.000574548 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 2 0.00379425 2 0 0.000287274 
11000 2 0.0423081 2 0 0.00459638 
12000 1 0 1 0 0 
13000 2 0.690903 2 0 0.185004 
14000 2 0.786724 2 0 0.235057 
15000 2 0.777926 2 0 0.229951 
16000 2 0.827154 2 0 0.26027 
17000 2 0.805653 2 0 0.246481 
18000 2 0.725248 2 0 0.201666 
19000 2 0.796737 2 0 0.241023 
20000 2 0.821473 2 0 0.256535 
21000 2 0.774792 2 0 0.228161 
22000 2 0.763916 2 0 0.222063 
23000 2 0.790616 2 0 0.237356 
24000 2 0.734278 2 0 0.206263 
25000 2 0.817032 2 0 0.253663 
26000 2 0.734836 2 0 0.20655 
27000 2 0.869281 2 0 0.290434 
28000 2 0.784647 2 0 0.233841 
29000 2 0.802862 2 0 0.244757 
30000 2 0.787586 2 0 0.235564 
31000 2 0.805767 2 0 0.246552 
32000 2 0.770613 2 0 0.225797 
33000 2 0.760786 2 0 0.220339 
34000 2 0.792913 2 0 0.238725 
35000 2 0.85044 2 0 0.276357 
36000 2 0.835268 2 0 0.265728 
37000 2 0.798275 2 0 0.241954 
38000 2 0.711935 2 0 0.195059 
39000 2 0.751782 2 0 0.215455 
40000 2 0.729337 2 0 0.203736 
41000 2 0.836529 2 0 0.26659 
42000 2 0.695186 2 0 0.187015 
43000 2 0.766621 2 0 0.223563 
44000 2 0.809337 2 0 0.248779 
45000 2 0.789532 2 0 0.236714 
46000 2 0.774171 2 0 0.227808 
47000 2 0.74639 2 0 0.212583 
48000 2 0.84398 2 0 0.271761 
49000 2 0.830169 2 0 0.262281 
50000 2 0.837367 2 0 0.267165 
51000 2 0.838202 2 0 0.267739 
52000 2 0.792432 2 0 0.238437 
53000 2 0.80796 2 0 0.247917 
54000 2 0.767536 2 0 0.224074 
55000 2 0.850839 2 0 0.276645 
56000 2 0.794466 2 0 0.239655 
57000 2 0.846936 2 0 0.273851 
58000 2 0.857136 2 0 0.281241 
59000 2 0.801458 2 0 0.243895 
60000 2 0.83873 2 0 0.268103 
61000 2 0.897726 2 0 0.31399 
62000 2 0.882935 2 0 0.30135 
63000 2 0.841518 2 0 0.270037 
64000 2 0.864419 2 0 0.286699 
65000 2 0.862142 2 0 0.284976 
66000 2 0.802395 2 0 0.24447 
67000 2 0.831878 2 0 0.26343 
68000 2 0.864797 2 0 0.286986 
69000 2 0.822354 2 0 0.25711 
70000 2 0.852823 2 0 0.278081 
71000 2 0.82845 2 0 0.261132 
72000 2 0.831452 2 0 0.263143 
73000 2 0.770102 2 0 0.22551 
74000 2 0.78856 2 0 0.236139 
75000 2 0.768051 2 0 0.224361 
76000 2 0.692857 2 0 0.18592 
77000 2 0.580964 2 0 0.138753 
78000 2 0.617586 2 0 0.153117 
79000 2 0.539417 2 0 0.123528 
80000 2 0.577169 2 0 0.137317 
81000 2 0.647236 2 0 0.16547 
82000 2 0.612601 2 0 0.151106 
83000 2 0.586237 2 0 0.140764 
84000 2 0.596637 2 0 0.144786 
85000 2 0.44097 2 0 0.0913531 
86000 2 0.294818 2 0 0.0519966 
87000 2 0.0849356 2 0 0.0106291 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
