# Wed Mar 26 22:29:20 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 2 0.0209119 2 0 0.00201092 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 2 0.130625 2 0 0.0180982 
12000 2 0.586986 2 0 0.141051 
13000 2 0.630198 2 0 0.158288 
14000 2 0.742026 2 0 0.210284 
15000 2 0.646565 2 0 0.165182 
16000 2 0.649244 2 0 0.166332 
17000 2 0.684095 2 0 0.181844 
18000 2 0.704831 2 0 0.191612 
19000 2 0.713694 2 0 0.195921 
20000 2 0.606849 2 0 0.148808 
21000 2 0.697616 2 0 0.188164 
22000 2 0.692857 2 0 0.18592 
23000 2 0.745304 2 0 0.212008 
24000 2 0.809337 2 0 0.248779 
25000 2 0.777194 2 0 0.229532 
26000 2 0.682222 2 0 0.180982 
27000 2 0.740378 2 0 0.209423 
28000 2 0.726387 2 0 0.202241 
29000 2 0.673383 2 0 0.176961 
30000 2 0.701838 2 0 0.190175 
31000 2 0.645893 2 0 0.164895 
32000 2 0.725363 2 0 0.201724 
33000 2 0.768564 2 0 0.224648 
34000 2 0.651244 2 0 0.167193 
35000 2 0.707804 2 0 0.193048 
36000 2 0.708397 2 0 0.193335 
37000 2 0.0183127 2 0 0.00172414 
38000 1 0 1 0 0 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 1 0 1 0 0 
42000 1 0 1 0 0 
43000 1 0 1 0 0 
44000 1 0 1 0 0 
45000 1 0 1 0 0 
46000 1 0 1 0 0 
47000 1 0 1 0 0 
48000 1 0 1 0 0 
49000 1 0 1 0 0 
50000 1 0 1 0 0 
51000 1 0 1 0 0 
52000 1 0 1 0 0 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 1 0 1 0 0 
56000 1 0 1 0 0 
57000 1 0 1 0 0 
58000 1 0 1 0 0 
59000 1 0 1 0 0 
60000 1 0 1 0 0 
61000 1 0 1 0 0 
62000 1 0 1 0 0 
63000 1 0 1 0 0 
64000 1 0 1 0 0 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 1 0 1 0 0 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 1 0 1 0 0 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 1 0 1 0 0 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
