# Thu Mar 27 11:49:22 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 2 0.209398 2 0 0.0330365 
10000 2 0.815801 2 0 0.252874 
11000 2 0.734836 2 0 0.20655 
12000 2 0.7911 2 0 0.237644 
13000 2 0.73035 2 0 0.204252 
14000 2 0.660477 2 0 0.171215 
15000 2 0.658736 2 0 0.170451 
16000 2 0.637872 2 0 0.161494 
17000 2 0.722387 2 0 0.20023 
18000 2 0.708988 2 0 0.193623 
19000 2 0.744874 2 0 0.211782 
20000 3 1.02994 3 0 0.247343 
21000 3 0.955304 3 0 0.254525 
22000 2 0.748555 2 0 0.213732 
23000 2 0.780308 2 0 0.231322 
24000 2 0.733159 2 0 0.205688 
25000 3 0.760197 3 0 0.216892 
26000 2 0.739827 2 0 0.209135 
27000 3 0.771153 3 0 0.220339 
28000 2 0.761832 2 0 0.220914 
29000 3 0.756011 3 0 0.21603 
30000 3 0.7701 3 0 0.219764 
31000 3 0.781497 3 0 0.222637 
32000 2 0.724792 2 0 0.201437 
33000 2 0.722961 2 0 0.200517 
34000 3 0.733898 3 0 0.203161 
35000 2 0.67719 2 0 0.178684 
36000 3 0.712213 3 0 0.189313 
37000 2 0.71205 2 0 0.195115 
38000 3 0.69753 3 0 0.180695 
39000 3 0.724023 3 0 0.198219 
40000 3 0.708462 3 0.00373456 0.184717 
41000 4 0.904214 4 0.0531456 0.245906 
42000 4 0.887783 4 0.167193 0.368285 
43000 4 0.882215 4 0.141626 0.328067 
44000 4 0.857963 4 0.164033 0.357656 
45000 4 0.924702 4 0.157713 0.359954 
46000 4 0.910941 4 0.170641 0.377765 
47000 4 1.02072 4 0.174088 0.405056 
48000 4 0.927515 4 0.180982 0.3973 
49000 4 0.977256 4 0.187015 0.417122 
50000 4 0.988916 4 0.176673 0.402183 
51000 4 0.91006 4 0.160011 0.361103 
52000 4 0.889555 4 0.193048 0.411376 
53000 4 0.923927 4 0.172364 0.383223 
54000 4 0.879595 4 0.190463 0.404481 
55000 4 0.935352 4 0.197357 0.425452 
56000 4 0.908853 4 0.176673 0.386958 
57000 4 0.891708 4 0.175524 0.382361 
58000 4 0.849946 4 0.182132 0.385809 
59000 4 0.940985 4 0.179259 0.397012 
60000 4 1.00204 4 0.172652 0.399023 
61000 4 1.01941 4 0.204252 0.452456 
62000 4 0.940387 4 0.178684 0.397012 
63000 4 0.958715 4 0.194197 0.424878 
64000 4 0.877119 4 0.185632 0.396264 
65000 4 0.871054 4 0.173801 0.376616 
66000 4 1.02329 4 0.185004 0.422292 
67000 4 0.984154 4 0.203964 0.445274 
68000 4 0.862677 4 0.194828 0.409195 
69000 4 0.907413 4 0.171502 0.378627 
70000 4 0.833409 4 0.173801 0.369434 
71000 4 0.921491 4 0.189026 0.409365 
72000 4 0.899096 4 0.167481 0.370583 
73000 4 0.860039 4 0.162884 0.356219 
74000 4 0.824934 4 0.172652 0.366274 
75000 4 0.866542 4 0.196495 0.412525 
76000 4 0.878278 4 0.194197 0.410514 
77000 4 0.859052 4 0.177535 0.379776 
78000 4 0.908033 4 0.179546 0.391554 
79000 4 0.824638 4 0.172077 0.365412 
80000 4 0.890238 4 0.173513 0.380063 
81000 4 0.919956 4 0.179833 0.394714 
82000 4 0.860679 4 0.167481 0.363689 
83000 4 0.815857 4 0.168055 0.357369 
84000 4 0.843763 4 0.171215 0.366849 
85000 4 0.865118 4 0.176386 0.379201 
86000 4 0.777521 4 0.162884 0.343005 
87000 4 0.83037 4 0.175812 0.372307 
88000 4 0.796312 4 0.17811 0.37087 
89000 4 0.866183 4 0.18477 0.392816 
90000 4 0.883656 4 0.19075 0.405631 
91000 4 0.820749 4 0.179598 0.377011 
92000 4 0.849581 4 0.171502 0.368285 
93000 4 0.854611 4 0.182132 0.38667 
94000 4 0.862943 4 0.183281 0.389831 
95000 4 0.853562 4 0.165757 0.360816 
96000 4 0.822608 4 0.160299 0.345878 
97000 4 0.78631 4 0.166715 0.350388 
98000 4 0.889387 4 0.170353 0.373456 
99000 4 0.851664 4 0.159437 0.349325 
100000 4 0.842119 4 0.163459 0.354496 
