# Thu Mar 27 11:58:28 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 2 0.361977 2 0 0.0689457 
20000 3 1.09019 3 0 0.27291 
21000 3 0.874409 3 0 0.20655 
22000 4 0.890082 4 0.0991095 0.273485 
23000 4 0.843569 4 0.179833 0.3815 
24000 4 0.828137 4 0.18127 0.380925 
25000 4 0.859461 4 0.169779 0.367423 
26000 4 0.861724 4 0.181844 0.388107 
27000 4 0.907751 4 0.195059 0.417409 
28000 4 0.966002 4 0.232404 0.489802 
29000 4 1.07706 4 0.221775 0.492962 
30000 4 0.975984 4 0.206897 0.449713 
31000 4 1.00524 4 0.176386 0.40678 
32000 4 1.03875 4 0.217179 0.477449 
33000 4 1.0202 4 0.189888 0.429762 
34000 4 1.05604 4 0.193048 0.442402 
35000 4 0.976533 4 0.19707 0.433496 
36000 4 0.892362 4 0.175524 0.382361 
37000 4 0.928512 4 0.167768 0.376616 
38000 4 0.960494 4 0.186441 0.412238 
39000 4 0.839018 4 0.182132 0.384085 
40000 4 0.913185 4 0.182132 0.398449 
41000 4 0.960046 4 0.19023 0.418391 
42000 4 0.884364 4 0.18127 0.390118 
43000 4 0.959025 4 0.200517 0.435794 
44000 4 0.978891 4 0.198793 0.435794 
45000 4 0.88621 4 0.196783 0.416547 
46000 4 0.976889 4 0.200517 0.440391 
47000 4 0.888626 4 0.191612 0.408216 
48000 4 0.904767 4 0.211433 0.443838 
49000 4 0.924854 4 0.21919 0.461074 
50000 4 0.941753 4 0.222637 0.470554 
51000 4 0.827336 4 0.19391 0.402183 
52000 4 0.796041 4 0.185004 0.382649 
53000 4 0.877092 4 0.189888 0.40362 
54000 4 0.811347 4 0.160873 0.344729 
55000 4 0.78135 4 0.173513 0.361103 
56000 4 0.777748 4 0.187356 0.383908 
57000 4 0.818821 4 0.178972 0.375754 
58000 4 0.796672 4 0.178972 0.372594 
59000 4 0.771637 4 0.166332 0.347601 
60000 4 0.803644 4 0.169779 0.358518 
61000 4 0.811131 4 0.179546 0.375467 
62000 4 0.778249 4 0.17811 0.368285 
63000 4 0.781533 4 0.176673 0.366274 
64000 4 0.809702 4 0.15431 0.333908 
65000 4 0.801669 4 0.180982 0.376616 
66000 4 0.773914 4 0.175 0.362356 
67000 4 0.802153 4 0.167816 0.355172 
68000 4 0.840617 4 0.177535 0.37719 
69000 4 0.794469 4 0.173801 0.36455 
70000 4 0.779236 4 0.182132 0.37518 
71000 4 0.818939 4 0.17495 0.369434 
72000 4 0.758061 4 0.168917 0.349899 
73000 4 0.745545 4 0.169779 0.349612 
74000 4 0.722826 4 0.160873 0.331514 
75000 4 0.783668 4 0.174088 0.362252 
76000 4 0.752463 4 0.158862 0.332376 
77000 4 0.751398 4 0.16231 0.338121 
78000 4 0.764058 4 0.185004 0.378052 
79000 4 0.790374 4 0.173801 0.362827 
80000 4 0.812888 4 0.169492 0.359379 
81000 4 0.740042 4 0.174088 0.356219 
82000 4 0.767055 4 0.150819 0.321459 
83000 4 0.746334 4 0.16231 0.337259 
84000 4 0.731578 4 0.152542 0.319448 
85000 4 0.799884 4 0.178972 0.372881 
86000 4 0.751592 4 0.166906 0.34559 
87000 4 0.766473 4 0.15915 0.334961 
88000 4 0.758816 4 0.166619 0.346165 
89000 4 0.749997 4 0.158575 0.331514 
90000 4 0.728164 4 0.157426 0.32663 
91000 4 0.728113 4 0.163172 0.33611 
92000 4 0.745117 4 0.155702 0.32663 
93000 4 0.711837 4 0.156277 0.322321 
94000 4 0.749864 4 0.15283 0.322034 
95000 4 0.726355 4 0.168966 0.34569 
96000 4 0.800797 4 0.164895 0.349612 
97000 4 0.672456 4 0.135019 0.281816 
98000 4 0.806546 4 0.15915 0.341569 
99000 4 0.857816 4 0.14651 0.330078 
100000 4 0.712766 4 0.152542 0.316576 
