# Thu Mar 27 11:59:38 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0156349 2 0 0.00143637 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 2 0.00701383 2 0 0.000574548 
21000 1 0 1 0 0 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 1 0 1 0 0 
25000 1 0 1 0 0 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 1 0 1 0 0 
29000 1 0 1 0 0 
30000 1 0 1 0 0 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 1 0 1 0 0 
34000 2 0.0531564 2 0 0.00603275 
35000 2 0.386313 2 0 0.075553 
36000 2 0.568729 2 0 0.134157 
37000 2 0.528766 2 0 0.119793 
38000 2 0.637762 2 0 0.161448 
39000 2 0.619002 2 0 0.153691 
40000 2 0.625328 2 0 0.156277 
41000 2 0.751782 2 0 0.215455 
42000 2 0.737061 2 0 0.207699 
43000 2 0.718466 2 0 0.198276 
44000 2 0.73595 2 0 0.207124 
45000 2 0.657856 2 0 0.170066 
46000 2 0.707804 2 0 0.193048 
47000 2 0.713694 2 0 0.195921 
48000 2 0.667616 2 0 0.174375 
49000 2 0.714863 2 0 0.196495 
50000 2 0.743121 2 0 0.210859 
51000 2 0.816136 2 0 0.253088 
52000 2 0.794352 2 0 0.239586 
53000 2 0.766505 2 0 0.223499 
54000 2 0.707919 2 0 0.193103 
55000 2 0.641165 2 0 0.162884 
56000 2 0.635134 2 0 0.160345 
57000 2 0.681596 2 0 0.180695 
58000 2 0.759212 2 0 0.219477 
59000 2 0.748015 2 0 0.213444 
60000 2 0.711347 2 0 0.194772 
61000 2 0.693966 2 0 0.186441 
62000 2 0.703037 2 0 0.19075 
63000 2 0.715446 2 0 0.196783 
64000 2 0.793873 2 0 0.239299 
65000 2 0.776189 2 0 0.228957 
66000 2 0.780193 2 0 0.231255 
67000 2 0.82059 2 0 0.255961 
68000 2 0.593791 2 0 0.143678 
69000 2 0.665144 2 0 0.173276 
70000 2 0.567956 2 0 0.13387 
71000 2 0.566406 2 0 0.133295 
72000 2 0.603223 2 0 0.147371 
73000 2 0.684718 2 0 0.182132 
74000 2 0.621822 2 0 0.154841 
75000 2 0.621227 2 0 0.154598 
76000 2 0.560949 2 0 0.131284 
77000 2 0.554651 2 0 0.128986 
78000 2 0.5959 2 0 0.144499 
79000 2 0.762875 2 0 0.221488 
80000 2 0.838202 2 0 0.267739 
81000 2 0.813434 2 0 0.251365 
82000 2 0.670828 2 0 0.175812 
83000 2 0.73817 2 0 0.208273 
84000 2 0.657199 2 0 0.169779 
85000 2 0.754983 2 0 0.217179 
86000 2 0.923288 2 0 0.338409 
87000 2 0.814337 2 0 0.251939 
88000 2 0.765069 2 0 0.222701 
89000 2 0.800049 2 0 0.243034 
90000 2 0.803443 2 0 0.245115 
91000 2 0.777194 2 0 0.229532 
92000 2 0.751246 2 0 0.215168 
93000 2 0.717772 2 0 0.197932 
94000 2 0.82974 2 0 0.261994 
95000 2 0.836529 2 0 0.26659 
96000 2 0.803795 2 0 0.245332 
97000 2 0.814337 2 0 0.251939 
98000 2 0.838618 2 0 0.268026 
99000 2 0.822793 2 0 0.257397 
100000 2 0.840279 2 0 0.269176 
