# Sat Mar 29 13:28:11 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 2 0.601766 2 0 0.146797 
13000 2 0.717306 2 0 0.197701 
14000 2 0.687934 2 0 0.183621 
15000 2 0.679196 2 0 0.179598 
16000 2 0.687429 2 0 0.183386 
17000 2 0.718352 2 0 0.198219 
18000 2 0.710759 2 0 0.194484 
19000 2 0.73035 2 0 0.204252 
20000 2 0.76868 2 0 0.224713 
21000 2 0.856467 2 0 0.280747 
22000 2 0.82888 2 0 0.261419 
23000 2 0.775685 2 0 0.22867 
24000 2 0.780193 2 0 0.231255 
25000 2 0.758159 2 0 0.218903 
26000 2 0.806578 2 0 0.247055 
27000 2 0.854006 2 0 0.278943 
28000 2 0.875852 2 0 0.295605 
29000 2 0.806578 2 0 0.247055 
30000 2 0.812981 2 0 0.251077 
31000 2 0.80426 2 0 0.245619 
32000 2 0.782179 2 0 0.232404 
33000 2 0.784155 2 0 0.233554 
34000 2 0.792913 2 0 0.238725 
35000 2 0.797686 2 0 0.241597 
36000 2 0.799578 2 0 0.242746 
37000 2 0.821473 2 0 0.256535 
38000 2 0.82974 2 0 0.261994 
39000 2 0.734278 2 0 0.206263 
40000 2 0.842341 2 0 0.270612 
41000 2 0.877644 2 0 0.297041 
42000 2 0.800989 2 0 0.243608 
43000 2 0.809337 2 0 0.248779 
44000 3 0.829522 3 0 0.259695 
45000 2 0.852823 2 0 0.278081 
46000 2 0.874045 2 0 0.294168 
47000 2 0.854006 2 0 0.278943 
48000 2 0.827154 2 0 0.26027 
49000 2 0.875852 2 0 0.295605 
50000 2 0.806692 2 0 0.247126 
51000 2 0.77265 2 0 0.226946 
52000 2 0.792913 2 0 0.238725 
53000 2 0.775685 2 0 0.22867 
54000 2 0.797686 2 0 0.241597 
55000 2 0.76959 2 0 0.225223 
56000 2 0.702552 2 0 0.190517 
57000 2 0.728656 2 0 0.20339 
58000 2 0.824981 2 0 0.258834 
59000 2 0.783662 2 0 0.233266 
60000 2 0.776189 2 0 0.228957 
61000 2 0.799578 2 0 0.242746 
62000 2 0.777194 2 0 0.229532 
63000 2 0.782674 2 0 0.232692 
64000 2 0.811164 2 0 0.249928 
65000 2 0.784155 2 0 0.233554 
66000 2 0.751246 2 0 0.215168 
67000 2 0.80426 2 0 0.245619 
68000 2 0.748015 2 0 0.213444 
69000 2 0.671468 2 0 0.176099 
70000 2 0.71893 2 0 0.198506 
71000 2 0.756044 2 0 0.217754 
72000 2 0.68782 2 0 0.183568 
73000 2 0.710169 2 0 0.194197 
74000 2 0.733719 2 0 0.205975 
75000 2 0.841106 2 0 0.26975 
76000 2 0.719508 2 0 0.198793 
77000 2 0.691017 2 0 0.185057 
78000 2 0.639807 2 0 0.16231 
79000 2 0.674655 2 0 0.177535 
80000 2 0.687202 2 0 0.183281 
81000 2 0.657856 2 0 0.170066 
82000 2 0.665679 2 0 0.173513 
83000 2 0.661783 2 0 0.17179 
84000 2 0.685961 2 0 0.182706 
85000 2 0.671468 2 0 0.176099 
86000 2 0.735393 2 0 0.206837 
87000 2 0.676671 2 0 0.178448 
88000 2 0.698335 2 0 0.188506 
89000 2 0.731476 2 0 0.204826 
90000 2 0.68534 2 0 0.182419 
91000 2 0.685961 2 0 0.182706 
92000 2 0.715446 2 0 0.196783 
93000 2 0.663085 2 0 0.172364 
94000 2 0.678453 2 0 0.179259 
95000 2 0.717192 2 0 0.197644 
96000 2 0.708988 2 0 0.193623 
97000 2 0.647906 2 0 0.165757 
98000 2 0.652573 2 0 0.167768 
99000 2 0.663085 2 0 0.172364 
100000 2 0.626724 2 0 0.156851 
