# Avida tasks data
# Sat Mar 29 13:30:08 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: OrNot

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 0 
7000 0 
8000 0 
9000 0 
10000 0 
11000 528 
12000 953 
13000 866 
14000 918 
15000 868 
16000 980 
17000 776 
18000 878 
19000 776 
20000 937 
21000 849 
22000 849 
23000 859 
24000 927 
25000 866 
26000 889 
27000 943 
28000 870 
29000 859 
30000 878 
31000 796 
32000 717 
33000 796 
34000 954 
35000 848 
36000 915 
37000 823 
38000 713 
39000 742 
40000 676 
41000 727 
42000 721 
43000 679 
44000 714 
45000 681 
46000 675 
47000 676 
48000 680 
49000 738 
50000 668 
51000 627 
52000 690 
53000 652 
54000 633 
55000 679 
56000 676 
57000 658 
58000 615 
59000 650 
60000 635 
61000 636 
62000 622 
63000 642 
64000 632 
65000 651 
66000 635 
67000 596 
68000 600 
69000 628 
70000 613 
71000 625 
72000 647 
73000 620 
74000 642 
75000 588 
76000 644 
77000 589 
78000 611 
79000 667 
80000 588 
81000 627 
82000 617 
83000 598 
84000 634 
85000 607 
86000 624 
87000 624 
88000 618 
89000 652 
90000 625 
91000 602 
92000 592 
93000 612 
94000 578 
95000 652 
96000 607 
97000 628 
98000 615 
99000 594 
100000 604 
