# Thu Mar 27 12:15:33 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.0467158 2 0 0.00517093 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 2 0.0488843 2 0 0.0054582 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 1 0 1 0 0 
21000 1 0 1 0 0 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 1 0 1 0 0 
25000 2 0.0331647 2 0 0.00344729 
26000 2 0.55702 2 0 0.129848 
27000 2 0.623928 2 0 0.155702 
28000 2 0.722387 2 0 0.20023 
29000 2 0.62742 2 0 0.157139 
30000 2 0.614743 2 0 0.151968 
31000 2 0.594424 2 0 0.143924 
32000 2 0.471722 2 0 0.100862 
33000 2 0.526281 2 0 0.118931 
34000 2 0.575643 2 0 0.136742 
35000 2 0.550679 2 0 0.12755 
36000 2 0.601873 2 0 0.146839 
37000 2 0.528766 2 0 0.119793 
38000 2 0.505171 2 0 0.111749 
39000 2 0.460654 2 0 0.0973858 
40000 2 0.713109 2 0 0.195633 
41000 2 0.693966 2 0 0.186441 
42000 4 1.14068 4 0.011491 0.271474 
43000 4 1.30306 4 0.157426 0.452743 
44000 4 1.4187 4 0.199368 0.547831 
45000 4 1.38922 4 0.118103 0.433333 
46000 4 1.32133 4 0.162884 0.464522 
47000 4 1.23572 4 0.137604 0.409078 
48000 4 1.1764 4 0.175524 0.443263 
49000 4 1.19377 4 0.14651 0.406205 
50000 4 1.33 4 0.160873 0.465384 
51000 4 1.32901 4 0.174375 0.484344 
52000 4 1.39072 4 0.167864 0.494395 
53000 4 1.43787 4 0.170977 0.513218 
54000 4 1.37481 4 0.198219 0.530595 
55000 4 1.35343 4 0.144786 0.451594 
56000 4 1.51913 4 0.154841 0.522551 
57000 4 1.343 4 0.175237 0.490951 
58000 4 1.33911 4 0.134157 0.432634 
59000 4 1.3354 4 0.116633 0.410514 
60000 4 1.26133 4 0.172077 0.467682 
61000 4 1.07279 4 0.161735 0.399598 
62000 4 0.874095 4 0.133008 0.313416 
63000 4 0.999113 4 0.13588 0.343292 
64000 4 1.05668 4 0.1106 0.322896 
65000 4 0.900051 4 0.16547 0.368572 
66000 4 0.959491 4 0.11807 0.309107 
67000 4 0.902216 4 0.122379 0.302787 
68000 4 1.02163 4 0.150819 0.369721 
69000 4 1.10608 4 0.10744 0.33295 
70000 4 1.06495 4 0.124964 0.343292 
71000 4 0.93217 4 0.174662 0.389831 
72000 4 1.14857 4 0.167768 0.427463 
73000 4 1.13519 4 0.142775 0.385234 
74000 4 0.926154 4 0.106004 0.286699 
75000 4 1.09365 4 0.164943 0.406897 
76000 4 1.11783 4 0.119219 0.349325 
77000 4 1.08218 4 0.174375 0.41942 
78000 4 1.08508 4 0.148233 0.380638 
79000 4 1.02145 4 0.178972 0.41942 
80000 4 1.13297 4 0.163459 0.414536 
81000 4 1.09922 4 0.143062 0.378627 
82000 4 1.07737 4 0.150819 0.382361 
83000 4 1.04625 4 0.168055 0.401034 
84000 4 1.14585 4 0.128124 0.37087 
85000 4 1.10698 4 0.138753 0.373169 
86000 4 1.13849 4 0.118931 0.354496 
87000 4 1.18679 4 0.121804 0.371158 
88000 4 1.02093 4 0.169779 0.398161 
89000 4 1.05905 4 0.166619 0.402183 
90000 4 1.13329 4 0.0979604 0.330652 
91000 4 1.01662 4 0.135593 0.346452 
92000 4 0.964506 4 0.090204 0.275496 
93000 4 1.10009 4 0.15283 0.390692 
94000 4 1.14006 4 0.151968 0.404769 
95000 4 1.19615 4 0.144499 0.410514 
96000 4 1.1527 4 0.119506 0.358805 
97000 4 1.22472 4 0.161735 0.437805 
98000 4 1.10183 4 0.108589 0.33295 
99000 4 0.96983 4 0.182419 0.409652 
100000 4 1.06294 4 0.145073 0.371158 
