# Thu Mar 27 12:11:04 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 2 0.356633 2 0 0.0675287 
8000 2 0.644546 2 0 0.164321 
9000 2 0.691517 2 0 0.185292 
10000 3 0.707424 3 0 0.183568 
11000 4 0.94821 4 0.0120655 0.232117 
12000 4 1.48403 4 0.099684 0.450158 
13000 4 1.47677 4 0.148521 0.497558 
14000 4 1.54192 4 0.0904912 0.468544 
15000 4 1.54977 4 0.0812985 0.468544 
16000 4 1.4879 4 0.126724 0.482184 
17000 4 1.44579 4 0.110057 0.44569 
18000 4 1.5355 4 0.182132 0.562195 
19000 4 1.5097 4 0.139041 0.498995 
20000 4 1.56864 4 0.194772 0.59638 
21000 4 1.47829 4 0.205747 0.595402 
22000 4 1.50658 4 0.193335 0.569089 
23000 4 1.50137 4 0.200517 0.594657 
24000 4 1.38164 4 0.143924 0.461362 
25000 4 1.48882 4 0.181844 0.561333 
26000 4 1.46648 4 0.170353 0.522838 
27000 4 1.47398 4 0.149713 0.500287 
28000 4 1.4702 4 0.19075 0.557886 
29000 4 1.45096 4 0.134157 0.473427 
30000 4 1.61832 4 0.153736 0.56408 
31000 4 1.70986 4 0.138218 0.59569 
32000 4 1.55794 4 0.162597 0.546107 
33000 4 1.50713 4 0.186728 0.557886 
34000 4 1.50968 4 0.188452 0.56478 
35000 4 1.41494 4 0.15599 0.491525 
36000 4 1.54886 4 0.123851 0.500862 
37000 4 1.52362 4 0.160873 0.530882 
38000 4 1.52826 4 0.152255 0.521689 
39000 4 1.42833 4 0.198506 0.551278 
40000 4 1.37734 4 0.201092 0.536053 
41000 4 1.42588 4 0.226659 0.589199 
42000 4 1.44459 4 0.130997 0.46682 
43000 4 1.35545 4 0.122379 0.423729 
44000 4 1.41024 4 0.143391 0.467529 
45000 4 1.46441 4 0.145073 0.489227 
46000 4 1.41137 4 0.176961 0.511922 
47000 4 1.34507 4 0.162022 0.472278 
48000 4 1.4487 4 0.152542 0.49842 
49000 4 1.44402 4 0.150244 0.489515 
50000 4 1.45826 4 0.197357 0.557886 
51000 4 1.42393 4 0.257833 0.638402 
52000 4 1.64721 4 0.267241 0.734195 
53000 4 1.55191 4 0.162597 0.543522 
54000 4 1.59183 4 0.150244 0.546969 
55000 4 1.49502 4 0.162884 0.522551 
56000 4 1.51393 4 0.131571 0.492387 
57000 4 1.42002 4 0.14967 0.484056 
58000 4 1.37658 4 0.145073 0.460787 
59000 4 1.44333 4 0.117782 0.450158 
60000 4 1.38481 4 0.0867816 0.399138 
61000 4 1.42542 4 0.152255 0.50474 
62000 4 1.54618 4 0.12008 0.494685 
63000 4 1.39541 4 0.0979604 0.412812 
64000 4 1.52215 4 0.0988222 0.467969 
65000 4 1.39933 4 0.155128 0.47946 
66000 4 1.43435 4 0.143103 0.475575 
67000 4 1.36195 4 0.227234 0.5711 
68000 4 1.41751 4 0.182706 0.521976 
69000 4 1.4263 4 0.222063 0.584028 
70000 4 1.45872 4 0.137931 0.478161 
71000 4 1.49764 4 0.0999713 0.455616 
72000 4 1.4271 4 0.165182 0.501005 
73000 4 1.51909 4 0.176961 0.558747 
74000 4 1.48831 4 0.12755 0.478024 
75000 4 1.38146 4 0.147371 0.462798 
76000 4 1.47831 4 0.138179 0.48578 
77000 4 1.40611 4 0.138753 0.4605 
78000 4 1.44411 4 0.153117 0.491813 
79000 4 1.41048 4 0.140477 0.467107 
80000 4 1.40163 4 0.157426 0.483482 
81000 4 1.27564 4 0.233554 0.561046 
82000 4 1.45213 4 0.168917 0.514795 
83000 4 1.30518 4 0.141051 0.430336 
84000 4 1.45475 4 0.0927894 0.431485 
85000 4 1.50603 4 0.151393 0.511922 
86000 4 1.48652 4 0.189601 0.557598 
87000 4 1.36943 4 0.164943 0.483333 
88000 4 1.36934 4 0.148521 0.4605 
89000 4 1.48726 4 0.18759 0.569951 
90000 4 1.46228 4 0.141913 0.484344 
91000 4 1.53307 4 0.108302 0.477449 
92000 4 1.37414 4 0.124748 0.43317 
93000 4 1.31159 4 0.126688 0.414536 
94000 4 1.40706 4 0.126688 0.446998 
95000 4 1.40458 4 0.153117 0.481184 
96000 4 1.57228 4 0.174375 0.568515 
97000 4 1.43042 4 0.113186 0.441253 
98000 4 1.55906 4 0.0925022 0.480322 
99000 4 1.6076 4 0.122379 0.524849 
100000 4 1.45034 4 0.195921 0.551278 
