# Thu Mar 27 12:22:35 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.0655376 2 0 0.00775862 
7000 2 0.565733 2 0 0.133046 
8000 2 0.844907 2 0 0.272414 
9000 2 0.881186 2 0 0.299914 
10000 2 0.913629 2 0 0.328736 
11000 2 0.923009 2 0 0.338121 
12000 2 0.858687 2 0 0.28239 
13000 2 0.871858 2 0 0.292445 
14000 2 0.89998 2 0 0.316001 
15000 2 0.933978 2 0 0.349899 
16000 2 0.885016 2 0 0.303074 
17000 2 0.80842 2 0 0.248205 
18000 2 0.871492 2 0 0.292157 
19000 2 0.862903 2 0 0.28555 
20000 2 0.897402 2 0 0.313703 
21000 2 0.869281 2 0 0.290434 
22000 2 0.949792 2 0 0.36886 
23000 2 0.924119 2 0 0.33927 
24000 2 0.894459 2 0 0.311117 
25000 2 0.928027 2 0 0.343391 
26000 2 0.90189 2 0 0.317725 
27000 2 0.909334 2 0 0.324619 
28000 2 0.904406 2 0 0.320023 
29000 2 0.9395 2 0 0.356219 
30000 2 0.950458 2 0 0.369721 
31000 2 0.865926 2 0 0.287848 
32000 2 0.913236 2 0 0.328354 
33000 2 0.91906 2 0 0.334099 
34000 2 0.867157 2 0 0.288793 
35000 2 0.896752 2 0 0.313128 
36000 2 0.925493 2 0 0.340707 
37000 2 0.877287 2 0 0.296754 
38000 2 0.936268 2 0 0.352485 
39000 2 0.910544 2 0 0.325768 
40000 2 0.854006 2 0 0.278943 
41000 2 0.90072 2 0 0.316667 
42000 2 0.855185 2 0 0.279805 
43000 2 0.836109 2 0 0.266303 
44000 2 0.745847 2 0 0.212295 
45000 2 0.564074 2 0 0.132433 
46000 2 0.510304 2 0 0.113473 
47000 2 0.546681 2 0 0.126113 
48000 2 0.466166 2 0 0.0991095 
49000 2 0.543464 2 0 0.124964 
50000 2 0.523786 2 0 0.11807 
51000 2 0.446657 2 0 0.0930767 
52000 2 0.604676 2 0 0.147946 
53000 2 0.552271 2 0 0.128124 
54000 2 0.470723 2 0 0.100546 
55000 2 0.511155 2 0 0.11376 
56000 2 0.438107 2 0 0.0904912 
57000 2 0.272756 2 0 0.0468256 
58000 2 0.321878 2 0 0.0586038 
59000 2 0.369483 2 0 0.0709566 
60000 2 0.343363 2 0 0.0640621 
61000 2 0.363055 2 0 0.069233 
62000 2 0.313835 2 0 0.0566092 
63000 2 0.369483 2 0 0.0709566 
64000 2 0.234012 2 0 0.0382074 
65000 2 0.146858 2 0 0.020971 
66000 2 0.257573 2 0 0.0433783 
67000 2 0.404725 2 0 0.0807239 
68000 2 0.282663 2 0 0.0491238 
69000 2 0.278968 2 0 0.048262 
70000 2 0.354379 2 0 0.0669348 
71000 2 0.416709 2 0 0.0841712 
72000 2 0.343363 2 0 0.0640621 
73000 2 0.481527 2 0 0.103993 
74000 2 0.407742 2 0 0.0815858 
75000 2 0.354379 2 0 0.0669348 
76000 2 0.321878 2 0 0.0586038 
77000 2 0.316097 2 0 0.0571675 
78000 2 0.241976 2 0 0.0399311 
79000 2 0.332148 2 0 0.0611893 
80000 2 0.252421 2 0 0.0422292 
81000 2 0.154752 2 0 0.0224074 
82000 2 0.040066 2 0 0.00430911 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
