# Sun Mar 30 13:48:33 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 2 0.73595 2 0 0.207124 
13000 2 0.955198 2 0 0.376041 
14000 2 0.94547 2 0 0.363401 
15000 2 0.882691 2 0 0.301149 
16000 2 0.90994 2 0 0.325194 
17000 2 0.946249 2 0 0.364368 
18000 2 0.896099 2 0 0.312554 
19000 2 0.917624 2 0 0.332663 
20000 2 0.899659 2 0 0.315714 
21000 2 0.919346 2 0 0.334387 
22000 2 0.929629 2 0 0.345115 
23000 2 0.939675 2 0 0.356424 
24000 2 0.927125 2 0 0.34243 
25000 2 0.957884 2 0 0.379776 
26000 2 0.943831 2 0 0.36139 
27000 2 0.922452 2 0 0.337547 
28000 2 0.957884 2 0 0.379776 
29000 2 0.951338 2 0 0.37087 
30000 2 0.90503 2 0 0.320598 
31000 2 0.950899 2 0 0.370296 
32000 2 0.969349 2 0 0.3973 
33000 2 0.946165 2 0 0.364263 
34000 2 0.939255 2 0 0.355932 
35000 2 0.867795 2 0 0.289285 
36000 2 0.906888 2 0 0.322321 
37000 2 0.921048 2 0 0.33611 
38000 2 0.920483 2 0 0.335536 
39000 2 0.881887 2 0 0.300488 
40000 2 0.90503 2 0 0.320598 
41000 2 0.896752 2 0 0.313128 
42000 2 0.953074 2 0 0.373169 
43000 2 0.942013 2 0 0.359195 
44000 2 0.909334 2 0 0.324619 
45000 2 0.937022 2 0 0.353347 
46000 2 0.855576 2 0 0.280092 
47000 2 0.799578 2 0 0.242746 
48000 2 0.852823 2 0 0.278081 
49000 2 0.80796 2 0 0.247917 
50000 2 0.815687 2 0 0.252801 
51000 2 0.821032 2 0 0.256248 
52000 2 0.831878 2 0 0.26343 
53000 2 0.803329 2 0 0.245045 
54000 2 0.824981 2 0 0.258834 
55000 2 0.816136 2 0 0.253088 
56000 2 0.820147 2 0 0.255674 
57000 2 0.830597 2 0 0.262568 
58000 2 0.778197 2 0 0.230106 
59000 2 0.828018 2 0 0.260845 
60000 2 0.830597 2 0 0.262568 
61000 2 0.797686 2 0 0.241597 
62000 2 0.830597 2 0 0.262568 
63000 2 0.82931 2 0 0.261706 
64000 2 0.799578 2 0 0.242746 
65000 2 0.811619 2 0 0.250215 
66000 2 0.831025 2 0 0.262856 
67000 2 0.804725 2 0 0.245906 
68000 2 0.789047 2 0 0.236426 
69000 2 0.791468 2 0 0.237863 
70000 2 0.793873 2 0 0.239299 
71000 2 0.793393 2 0 0.239012 
72000 2 0.821032 2 0 0.256248 
73000 2 0.783168 2 0 0.232979 
74000 2 0.835689 2 0 0.266016 
75000 2 0.809795 2 0 0.249066 
76000 2 0.790017 2 0 0.237001 
77000 2 0.800049 2 0 0.243034 
78000 2 0.815687 2 0 0.252801 
79000 2 0.814788 2 0 0.252226 
80000 2 0.810708 2 0 0.249641 
81000 2 0.81926 2 0 0.255099 
82000 2 0.778197 2 0 0.230106 
83000 2 0.784647 2 0 0.233841 
84000 2 0.751246 2 0 0.215168 
85000 2 0.780691 2 0 0.231543 
86000 2 0.79195 2 0 0.23815 
87000 2 0.800049 2 0 0.243034 
88000 2 0.811164 2 0 0.249928 
89000 2 0.791468 2 0 0.237863 
90000 2 0.74921 2 0 0.21408 
91000 2 0.795308 2 0 0.240161 
92000 2 0.766505 2 0 0.223499 
93000 2 0.803795 2 0 0.245332 
94000 2 0.795308 2 0 0.240161 
95000 2 0.768051 2 0 0.224361 
96000 2 0.811619 2 0 0.250215 
97000 2 0.76959 2 0 0.225223 
98000 2 0.80426 2 0 0.245619 
99000 2 0.835689 2 0 0.266016 
100000 2 0.822793 2 0 0.257397 
