# Avida tasks data
# Sun Mar 30 13:50:29 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: OrNot

0 0 
1000 0 
2000 19 
3000 1082 
4000 1048 
5000 1045 
6000 1084 
7000 1095 
8000 1179 
9000 1095 
10000 1245 
11000 1354 
12000 1280 
13000 1131 
14000 1315 
15000 1322 
16000 1113 
17000 1268 
18000 1101 
19000 1268 
20000 1256 
21000 1275 
22000 1163 
23000 1302 
24000 1285 
25000 1194 
26000 1166 
27000 1147 
28000 1033 
29000 1057 
30000 1081 
31000 1065 
32000 1053 
33000 988 
34000 1104 
35000 1036 
36000 1137 
37000 1078 
38000 1069 
39000 1195 
40000 1148 
41000 1192 
42000 1079 
43000 1077 
44000 1074 
45000 1092 
46000 1132 
47000 1115 
48000 1231 
49000 1192 
50000 1142 
51000 1043 
52000 1106 
53000 1145 
54000 1086 
55000 1159 
56000 1180 
57000 1195 
58000 1314 
59000 1232 
60000 1102 
61000 1190 
62000 1167 
63000 1175 
64000 1022 
65000 1164 
66000 1081 
67000 1062 
68000 1161 
69000 1192 
70000 1145 
71000 1116 
72000 1104 
73000 1102 
74000 1140 
75000 1132 
76000 1210 
77000 1177 
78000 1122 
79000 1043 
80000 1097 
81000 1072 
82000 1051 
83000 1127 
84000 1148 
85000 1078 
86000 1088 
87000 1065 
88000 1294 
89000 1090 
90000 1177 
91000 1180 
92000 1143 
93000 1163 
94000 1051 
95000 1110 
96000 1099 
97000 1179 
98000 1113 
99000 1125 
100000 1162 
