# Sun Apr 13 17:24:44 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.958693 2 0 0.380925 
2000 2 0.914712 2 0 0.32979 
3000 2 0.950015 2 0 0.630853 
4000 2 0.775685 2 0 0.77133 
5000 2 0.742574 2 0 0.789428 
6000 2 0.692131 2 0 0.814421 
7000 2 0.681596 2 0 0.819305 
8000 2 0.695794 2 0 0.812698 
9000 2 0.710169 2 0 0.805803 
10000 2 0.716029 2 0 0.80293 
11000 2 0.720086 2 0 0.800919 
12000 2 0.60395 2 0 0.852341 
13000 2 0.666971 2 0 0.825912 
14000 2 0.693966 2 0 0.813559 
15000 2 0.704234 2 0 0.808676 
16000 2 0.661783 2 0 0.82821 
17000 2 0.747474 2 0 0.786843 
18000 2 0.684718 2 0 0.817868 
19000 2 0.68534 2 0 0.817581 
20000 2 0.682847 2 0 0.81873 
21000 2 0.717192 2 0 0.802356 
22000 2 0.773664 2 0 0.772479 
23000 2 0.754983 2 0 0.782821 
24000 2 0.741477 2 0 0.790003 
25000 2 0.743121 2 0 0.789141 
26000 2 0.68534 2 0 0.817581 
27000 2 0.654561 2 0 0.83137 
28000 2 0.744214 2 0 0.788567 
29000 2 0.706617 2 0 0.807527 
30000 2 0.750287 2 0 0.785345 
31000 2 0.775181 2 0 0.771617 
32000 2 0.706022 2 0 0.807814 
33000 2 0.710759 2 0 0.805516 
34000 2 0.757631 2 0 0.781385 
35000 2 0.682222 2 0 0.819018 
36000 2 0.839976 2 0 0.731034 
37000 2 0.710169 2 0 0.805803 
38000 2 0.763396 2 0 0.778225 
39000 2 0.734278 2 0 0.793737 
40000 2 0.729222 2 0 0.796323 
41000 2 0.670828 2 0 0.824188 
42000 2 0.726955 2 0 0.797472 
43000 2 0.761309 2 0 0.779374 
44000 2 0.63089 2 0 0.841425 
45000 2 0.776692 2 0 0.770756 
46000 2 0.718352 2 0 0.801781 
47000 2 0.770102 2 0 0.77449 
48000 2 0.703037 2 0 0.80925 
49000 2 0.677822 2 0 0.821028 
50000 2 0.773664 2 0 0.772479 
51000 2 0.739275 2 0 0.791152 
52000 2 0.72809 2 0 0.796897 
53000 2 0.706617 2 0 0.807527 
54000 2 0.714863 2 0 0.803505 
55000 2 0.81926 2 0 0.744901 
56000 2 0.648575 2 0 0.833956 
57000 2 0.682847 2 0 0.81873 
58000 2 0.732599 2 0 0.794599 
59000 2 0.743668 2 0 0.788854 
60000 2 0.687202 2 0 0.816719 
61000 2 0.711347 2 0 0.805228 
62000 2 0.635024 2 0 0.839701 
63000 2 0.758159 2 0 0.781097 
64000 2 0.749634 2 0 0.785694 
65000 2 0.649911 2 0 0.833381 
66000 2 0.738723 2 0 0.791439 
67000 2 0.744214 2 0 0.788567 
68000 2 0.670187 2 0 0.824476 
69000 2 0.600305 2 0 0.853778 
70000 2 0.753919 2 0 0.783396 
71000 2 0.705427 2 0 0.808101 
72000 2 0.67529 2 0 0.822178 
73000 2 0.696402 2 0 0.81241 
74000 2 0.625328 2 0 0.843723 
75000 2 0.76959 2 0 0.774777 
76000 2 0.732599 2 0 0.794599 
77000 2 0.73595 2 0 0.792876 
78000 2 0.751782 2 0 0.784545 
79000 2 0.780193 2 0 0.768745 
80000 2 0.781188 2 0 0.76817 
81000 2 0.79195 2 0 0.76185 
82000 2 0.804725 2 0 0.754094 
83000 2 0.805189 2 0 0.753806 
84000 2 0.734278 2 0 0.793737 
85000 2 0.82845 2 0 0.738868 
86000 2 0.855185 2 0 0.720195 
87000 2 0.833154 2 0 0.735708 
88000 2 0.837784 2 0 0.732548 
89000 2 0.753385 2 0 0.783683 
90000 2 0.707211 2 0 0.807239 
91000 2 0.760786 2 0 0.779661 
92000 2 0.832729 2 0 0.735995 
93000 2 0.847229 2 0 0.725941 
94000 2 0.852537 2 0 0.722126 
95000 2 0.813886 2 0 0.748348 
96000 2 0.778697 2 0 0.769606 
97000 2 0.618294 2 0 0.846596 
98000 2 0.800989 2 0 0.756392 
99000 2 0.73817 2 0 0.791727 
100000 2 0.764435 2 0 0.77765 
