# Sun Apr 13 17:39:20 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.00379425 2 0 0.000287274 
6000 2 0.193772 2 0 0.0298765 
7000 2 0.260131 2 0 0.0439529 
8000 2 0.605401 2 0 0.148233 
9000 2 0.654561 2 0 0.16863 
10000 2 0.559484 2 0 0.130747 
11000 2 0.475248 2 0 0.101982 
12000 2 0.669546 2 0 0.175237 
13000 2 0.601766 2 0 0.146797 
14000 2 0.517082 2 0 0.115771 
15000 2 0.573348 2 0 0.13588 
16000 2 0.508598 2 0 0.112899 
17000 2 0.414727 2 0 0.0835967 
18000 2 0.374791 2 0 0.072393 
19000 2 0.413734 2 0 0.0833094 
20000 2 0.36528 2 0 0.0698276 
21000 2 0.298417 2 0 0.0528584 
22000 2 0.200934 2 0 0.0313128 
23000 1 0 1 0 0 
24000 1 0 1 0 0 
25000 1 0 1 0 0 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 2 0.00701383 2 0 0.000574548 
29000 1 0 1 0 0 
30000 2 0.0283941 2 0 0.00287274 
31000 2 0.0354964 2 0 0.00373456 
32000 1 0 1 0 0 
33000 2 0.010019 2 0 0.000862069 
34000 1 0 1 0 0 
35000 2 0.372673 2 0 0.0718184 
36000 2 0.55396 2 0 0.128736 
37000 2 0.536976 2 0 0.122666 
38000 2 0.610451 2 0 0.150244 
39000 2 0.538604 2 0 0.12324 
40000 2 0.559484 2 0 0.130747 
41000 2 0.457969 2 0 0.0965517 
42000 2 0.598214 2 0 0.145402 
43000 2 0.487744 2 0 0.106004 
44000 2 0.630198 2 0 0.158288 
45000 2 0.551476 2 0 0.127837 
46000 2 0.547483 2 0 0.1264 
47000 2 0.600412 2 0 0.146264 
48000 2 0.553065 2 0 0.128411 
49000 2 0.607571 2 0 0.149095 
50000 2 0.555442 2 0 0.129273 
51000 2 0.574879 2 0 0.136455 
52000 2 0.506886 2 0 0.112324 
53000 2 0.58323 2 0 0.139615 
54000 2 0.518765 2 0 0.116346 
55000 2 0.511155 2 0 0.11376 
56000 2 0.532885 2 0 0.12123 
57000 2 0.517924 2 0 0.116059 
58000 2 0.477048 2 0 0.102557 
59000 2 0.574114 2 0 0.136168 
60000 2 0.551476 2 0 0.127837 
61000 2 0.613316 2 0 0.151393 
62000 2 0.531241 2 0 0.120655 
63000 2 0.609732 2 0 0.149957 
64000 2 0.596007 2 0 0.14454 
65000 2 0.542656 2 0 0.124677 
66000 2 0.616166 2 0 0.152542 
67000 2 0.624629 2 0 0.15599 
68000 2 0.666326 2 0 0.173801 
69000 2 0.703037 2 0 0.19075 
70000 2 0.700033 2 0 0.189313 
71000 2 0.619002 2 0 0.153691 
72000 2 0.632961 2 0 0.159437 
73000 2 0.620414 2 0 0.154266 
74000 2 0.636395 2 0 0.160873 
75000 2 0.698826 2 0 0.188739 
76000 2 0.571812 2 0 0.135306 
77000 2 0.499127 2 0 0.109739 
78000 2 0.606956 2 0 0.148851 
79000 2 0.694576 2 0 0.186728 
80000 2 0.667616 2 0 0.174375 
81000 2 0.67719 2 0 0.178684 
82000 2 0.657856 2 0 0.170066 
83000 2 0.621119 2 0 0.154553 
84000 2 0.653236 2 0 0.168055 
85000 2 0.722387 2 0 0.20023 
86000 2 0.751782 2 0 0.215455 
87000 2 0.753919 2 0 0.216604 
88000 2 0.854792 2 0 0.279517 
89000 2 0.776189 2 0 0.228957 
90000 2 0.64252 2 0 0.163459 
91000 2 0.611169 2 0 0.150531 
92000 2 0.622525 2 0 0.155128 
93000 2 0.621822 2 0 0.154841 
94000 2 0.635024 2 0 0.160299 
95000 2 0.537791 2 0 0.122953 
96000 2 0.520443 2 0 0.11692 
97000 2 0.559381 2 0 0.13071 
98000 2 0.57793 2 0 0.137604 
99000 2 0.574879 2 0 0.136455 
100000 2 0.589973 2 0 0.142201 
