# Avida tasks data
# Sun Apr 13 18:07:54 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 24 
7000 7 
8000 0 
9000 10 
10000 0 
11000 3 
12000 0 
13000 2 
14000 0 
15000 0 
16000 3 
17000 0 
18000 6 
19000 22 
20000 0 
21000 0 
22000 0 
23000 0 
24000 0 
25000 0 
26000 447 
27000 428 
28000 386 
29000 429 
30000 358 
31000 467 
32000 378 
33000 443 
34000 489 
35000 512 
36000 474 
37000 569 
38000 416 
39000 546 
40000 575 
41000 531 
42000 524 
43000 507 
44000 576 
45000 436 
46000 425 
47000 409 
48000 364 
49000 362 
50000 456 
51000 443 
52000 370 
53000 503 
54000 442 
55000 550 
56000 487 
57000 356 
58000 508 
59000 368 
60000 386 
61000 452 
62000 427 
63000 424 
64000 445 
65000 386 
66000 352 
67000 458 
68000 450 
69000 494 
70000 459 
71000 366 
72000 363 
73000 395 
74000 396 
75000 354 
76000 489 
77000 450 
78000 352 
79000 380 
80000 283 
81000 213 
82000 407 
83000 355 
84000 297 
85000 412 
86000 575 
87000 461 
88000 556 
89000 504 
90000 432 
91000 393 
92000 372 
93000 528 
94000 404 
95000 343 
96000 425 
97000 449 
98000 410 
99000 392 
100000 444 
