# Wed Apr 23 15:59:42 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.795785 2 0 0.240448 
3000 2 0.996126 2 0 0.536627 
4000 4 1.93307 4 0.226659 1.08589 
5000 4 1.31981 4 0.701235 1.62252 
6000 4 1.17856 4 0.745188 1.69204 
7000 4 1.10138 4 0.761563 1.71675 
8000 4 1.20252 4 0.733984 1.68658 
9000 4 1.20466 4 0.72709 1.67222 
10000 4 1.20784 4 0.731112 1.68429 
11000 4 1.00868 4 0.799483 1.75754 
12000 4 1.10706 4 0.770977 1.72557 
13000 4 1.2207 4 0.731974 1.67136 
14000 4 1.201 4 0.73973 1.69204 
15000 4 1.04298 4 0.792014 1.73916 
16000 4 1.19795 4 0.73973 1.69147 
17000 4 1.08109 4 0.779598 1.74109 
18000 4 1.13793 4 0.764436 1.71732 
19000 4 1.03442 4 0.793163 1.74433 
20000 4 1.08824 4 0.770756 1.73054 
21000 4 1.01975 4 0.792301 1.75898 
22000 4 1.03655 4 0.789716 1.75409 
23000 4 1.11283 4 0.764723 1.73169 
24000 4 1.20708 4 0.740305 1.68888 
25000 4 1.03781 4 0.788567 1.74892 
26000 4 1.12905 4 0.756392 1.71531 
27000 4 1.23922 4 0.730537 1.68342 
28000 4 1.22224 4 0.732548 1.69089 
29000 4 1.17452 4 0.742603 1.70181 
30000 4 1.11068 4 0.767596 1.73887 
31000 4 0.992377 4 0.795461 1.75323 
32000 4 1.0563 4 0.775065 1.74318 
33000 4 0.953069 4 0.796897 1.77937 
34000 4 1.0533 4 0.785694 1.7472 
35000 4 1.16112 4 0.757828 1.70641 
36000 4 1.09868 4 0.760414 1.72077 
37000 4 1.16669 4 0.757828 1.70181 
38000 4 1.1573 4 0.745763 1.71301 
39000 4 1.28375 4 0.697213 1.6636 
40000 4 1.05605 4 0.784257 1.75151 
41000 4 1.01955 4 0.798047 1.76673 
42000 4 1.17298 4 0.750072 1.70756 
43000 4 1.19513 4 0.734272 1.70009 
44000 4 1.22723 4 0.733123 1.68802 
45000 4 1.16247 4 0.753232 1.7021 
46000 4 0.971975 4 0.810112 1.76817 
47000 4 1.31761 4 0.693192 1.65556 
48000 4 1.17717 4 0.747486 1.70382 
49000 4 1.17624 4 0.750072 1.70353 
50000 4 1.07841 4 0.77133 1.736 
51000 4 1.29321 4 0.706981 1.66016 
52000 4 1.2059 4 0.740879 1.69262 
53000 4 1.14854 4 0.756105 1.69664 
54000 4 1.02484 4 0.789716 1.74404 
55000 4 1.11992 4 0.743465 1.71991 
56000 4 1.2552 4 0.724217 1.67653 
57000 4 1.08082 4 0.781385 1.74232 
58000 4 1.16339 4 0.749785 1.71301 
59000 4 1.20287 4 0.742028 1.69664 
60000 4 1.11482 4 0.758403 1.73111 
61000 4 1.1608 4 0.750934 1.71847 
62000 4 1.20117 4 0.743465 1.69865 
63000 4 1.30634 4 0.671646 1.6366 
64000 4 1.30942 4 0.68917 1.65987 
65000 4 1.2602 4 0.716174 1.67768 
66000 4 1.42449 4 0.654984 1.60701 
67000 4 1.2198 4 0.731399 1.69463 
68000 4 1.38655 4 0.671646 1.61793 
69000 4 1.25687 4 0.721057 1.68199 
70000 4 1.2489 4 0.719908 1.6817 
71000 4 1.24105 4 0.732548 1.68055 
72000 4 1.17907 4 0.751221 1.7087 
73000 4 1.16712 4 0.757254 1.70267 
74000 4 1.20311 4 0.742603 1.69118 
75000 4 0.923103 4 0.822178 1.79 
76000 4 1.15369 4 0.760988 1.71014 
77000 4 1.07226 4 0.785981 1.73542 
78000 4 1.18138 4 0.755243 1.69606 
79000 4 1.0682 4 0.789716 1.73686 
80000 4 1.0213 4 0.799196 1.7653 
81000 4 1.14179 4 0.762712 1.72364 
82000 4 1.19265 4 0.738868 1.70468 
83000 4 1.36858 4 0.68285 1.62137 
84000 4 1.19844 4 0.740592 1.69463 
85000 4 1.05743 4 0.788567 1.74433 
86000 4 1.13765 4 0.754094 1.71847 
87000 4 1.09405 4 0.774777 1.7268 
88000 4 1.14234 4 0.762712 1.70957 
89000 4 1.09713 4 0.777363 1.7291 
90000 4 1.16895 4 0.756679 1.70957 
91000 4 1.2467 4 0.731974 1.6771 
92000 4 1.16532 4 0.741741 1.69808 
93000 4 1.20556 4 0.735421 1.69836 
94000 4 1.16961 4 0.755817 1.70037 
95000 4 1.23142 4 0.736283 1.68113 
96000 4 1.17074 4 0.749497 1.71502 
97000 4 1.22851 4 0.733123 1.68917 
98000 4 1.24734 4 0.731112 1.67538 
99000 4 1.14617 4 0.762137 1.72077 
100000 4 1.0552 4 0.79029 1.75065 
