# Tue Mar 25 14:22:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0156349 2 0 0.00143637 
3000 1 0 1 0 0 
4000 2 0.39251 2 0 0.0772766 
5000 2 0.649911 2 0 0.166619 
6000 2 0.652573 2 0 0.167768 
7000 2 0.654122 2 0 0.168439 
8000 2 0.725818 2 0 0.201953 
9000 2 0.691517 2 0 0.185292 
10000 2 0.718352 2 0 0.198219 
11000 2 0.806692 2 0 0.247126 
12000 2 0.840804 2 0 0.26954 
13000 2 0.766505 2 0 0.223499 
14000 2 0.739275 2 0 0.208848 
15000 2 0.672107 2 0 0.176386 
16000 2 0.69943 2 0 0.189026 
17000 2 0.719508 2 0 0.198793 
18000 2 0.863662 2 0 0.286125 
19000 2 0.770102 2 0 0.22551 
20000 2 0.77265 2 0 0.226946 
21000 2 0.79922 2 0 0.242529 
22000 2 0.776189 2 0 0.228957 
23000 2 0.710169 2 0 0.194197 
24000 2 0.696402 2 0 0.18759 
25000 2 0.737616 2 0 0.207986 
26000 2 0.670828 2 0 0.175812 
27000 2 0.712637 2 0 0.195402 
28000 2 0.66113 2 0 0.171502 
29000 2 0.700033 2 0 0.189313 
30000 2 0.615455 2 0 0.152255 
31000 2 0.727523 2 0 0.202815 
32000 2 0.689056 2 0 0.184142 
33000 2 0.646565 2 0 0.165182 
34000 2 0.693966 2 0 0.186441 
35000 2 0.732038 2 0 0.205113 
36000 2 0.628116 2 0 0.157426 
37000 2 0.726955 2 0 0.202528 
38000 2 0.650578 2 0 0.166906 
39000 2 0.690903 2 0 0.185004 
40000 2 0.742026 2 0 0.210284 
41000 2 0.686075 2 0 0.182759 
42000 2 0.60395 2 0 0.147659 
43000 2 0.684095 2 0 0.181844 
44000 2 0.704348 2 0 0.191379 
45000 2 0.617586 2 0 0.153117 
46000 2 0.701237 2 0 0.189888 
47000 2 0.655881 2 0 0.169204 
48000 2 0.679712 2 0 0.179833 
49000 2 0.609013 2 0 0.14967 
50000 2 0.616166 2 0 0.152542 
51000 2 0.655881 2 0 0.169204 
52000 2 0.550679 2 0 0.12755 
53000 2 0.661783 2 0 0.17179 
54000 2 0.624629 2 0 0.15599 
55000 2 0.559381 2 0 0.13071 
56000 2 0.582476 2 0 0.139328 
57000 2 0.567956 2 0 0.13387 
58000 2 0.649911 2 0 0.166619 
59000 2 0.672858 2 0 0.176724 
60000 2 0.623227 2 0 0.155415 
61000 2 0.653348 2 0 0.168103 
62000 2 0.647906 2 0 0.165757 
63000 2 0.554651 2 0 0.128986 
64000 2 0.668903 2 0 0.17495 
65000 2 0.684718 2 0 0.182132 
66000 2 0.663085 2 0 0.172364 
67000 2 0.645893 2 0 0.164895 
68000 2 0.678453 2 0 0.179259 
69000 2 0.74639 2 0 0.212583 
70000 2 0.714863 2 0 0.196495 
71000 2 0.776189 2 0 0.228957 
72000 3 1.26731 3 0 0.342718 
73000 3 1.35195 3 0 0.388793 
74000 3 1.3816 3 0 0.407354 
75000 3 1.33519 3 0 0.37834 
76000 4 1.35508 4 0.00919276 0.37087 
77000 4 1.53344 4 0.0252801 0.463947 
78000 4 1.38976 4 0.0201092 0.377765 
79000 4 1.32014 4 0.000574548 0.367136 
80000 4 1.43349 4 0.00172364 0.436656 
81000 3 1.25874 3 0 0.336972 
82000 3 1.22521 3 0 0.325194 
83000 3 0.886022 3 0 0.198793 
84000 3 0.622506 3 0 0.148233 
85000 3 0.646037 3 0 0.152586 
86000 3 0.658353 3 0 0.164321 
87000 3 0.624312 3 0 0.151106 
88000 3 0.608648 3 0 0.147371 
89000 3 0.631929 3 0 0.153404 
90000 2 0.607571 2 0 0.149095 
91000 3 0.581771 3 0 0.13703 
92000 3 0.596525 3 0 0.13703 
93000 2 0.527111 2 0 0.119219 
94000 3 0.566031 3 0 0.128986 
95000 3 0.56144 3 0 0.126688 
96000 3 0.548854 3 0 0.125 
97000 3 0.609385 3 0 0.144499 
98000 3 0.581663 3 0 0.137891 
99000 3 0.567407 3 0 0.127011 
100000 3 0.517852 3 0 0.112899 
