# Tue Mar 25 18:56:32 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.00379425 2 0 0.000287274 
2000 1 0 1 0 0 
3000 2 0.265271 2 0 0.0451149 
4000 2 0.137225 2 0 0.0192529 
5000 2 0.182098 2 0 0.0275783 
6000 2 0.318482 2 0 0.0577586 
7000 2 0.722961 2 0 0.200517 
8000 2 0.695794 2 0 0.187302 
9000 2 0.717192 2 0 0.197644 
10000 2 0.713694 2 0 0.195921 
11000 2 0.79195 2 0 0.23815 
12000 2 0.771633 2 0 0.226372 
13000 2 0.682847 2 0 0.18127 
14000 2 0.665144 2 0 0.173276 
15000 2 0.660477 2 0 0.171215 
16000 2 0.665679 2 0 0.173513 
17000 2 0.66113 2 0 0.171502 
18000 2 0.648575 2 0 0.166044 
19000 2 0.648575 2 0 0.166044 
20000 2 0.682335 2 0 0.181034 
21000 2 0.679083 2 0 0.179546 
22000 2 0.651909 2 0 0.167481 
23000 2 0.632961 2 0 0.159437 
24000 2 0.583983 2 0 0.139902 
25000 2 0.557911 2 0 0.130172 
26000 2 0.649911 2 0 0.166619 
27000 2 0.595163 2 0 0.144211 
28000 2 0.621119 2 0 0.154553 
29000 2 0.633649 2 0 0.159724 
30000 2 0.48331 2 0 0.104568 
31000 2 0.381102 2 0 0.0741166 
32000 2 0.494774 2 0 0.108302 
33000 2 0.530417 2 0 0.120368 
34000 2 0.335534 2 0 0.0620511 
35000 2 0.317257 2 0 0.0574548 
36000 2 0.499127 2 0 0.109739 
37000 2 0.717772 2 0 0.197932 
38000 2 0.680341 2 0 0.180121 
39000 2 0.701237 2 0 0.189888 
40000 2 0.688439 2 0 0.183855 
41000 2 0.702438 2 0 0.190463 
42000 2 0.530417 2 0 0.120368 
43000 2 0.67529 2 0 0.177822 
44000 2 0.744759 2 0 0.211721 
45000 2 0.740928 2 0 0.20971 
46000 2 0.794352 2 0 0.239586 
47000 2 0.711347 2 0 0.194772 
48000 2 0.733159 2 0 0.205688 
49000 2 0.757103 2 0 0.218328 
50000 2 0.796737 2 0 0.241023 
51000 2 0.742574 2 0 0.210572 
52000 2 0.638444 2 0 0.161735 
53000 2 0.682847 2 0 0.18127 
54000 2 0.687202 2 0 0.183281 
55000 2 0.67719 2 0 0.178684 
56000 2 0.683471 2 0 0.181557 
57000 2 0.684095 2 0 0.181844 
58000 2 0.589228 2 0 0.141913 
59000 2 0.608293 2 0 0.149382 
60000 2 0.705427 2 0 0.191899 
61000 2 0.73817 2 0 0.208273 
62000 2 0.63089 2 0 0.158575 
63000 2 0.659168 2 0 0.170641 
64000 2 0.598841 2 0 0.145648 
65000 2 0.65654 2 0 0.169492 
66000 2 0.595163 2 0 0.144211 
67000 2 0.737061 2 0 0.207699 
68000 2 0.643983 2 0 0.16408 
69000 2 0.698826 2 0 0.188739 
70000 2 0.509451 2 0 0.113186 
71000 2 0.248527 2 0 0.0413674 
72000 1 0 1 0 0 
73000 1 0 1 0 0 
74000 1 0 1 0 0 
75000 2 0.0128781 2 0 0.0011491 
76000 2 0.717192 2 0 0.197644 
77000 3 1.37867 3 0 0.406492 
78000 3 1.33135 3 0 0.379201 
79000 3 1.49211 3 0 0.492387 
80000 3 1.43802 3 0 0.446423 
81000 3 1.40051 3 0 0.421143 
82000 3 1.40839 3 0 0.426027 
83000 3 1.44271 3 0 0.450158 
84000 3 1.4605 3 0 0.466533 
85000 3 1.39822 3 0 0.418845 
86000 3 1.41702 3 0 0.431034 
87000 3 1.4709 3 0 0.477162 
88000 3 1.4387 3 0 0.44786 
89000 3 1.48868 3 0 0.493536 
90000 3 1.43471 3 0 0.443838 
91000 3 1.42971 3 0 0.440103 
92000 3 1.43774 3 0 0.446423 
93000 3 1.46241 3 0 0.465958 
94000 3 1.45013 3 0 0.462798 
95000 3 1.40632 3 0 0.423442 
96000 3 1.45745 3 0 0.462511 
97000 3 1.4624 3 0 0.466533 
98000 3 1.4464 3 0 0.455616 
99000 3 1.47777 3 0 0.479747 
100000 3 1.45303 3 0 0.458202 
