# Tue Mar 25 12:54:42 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.0259546 2 0 0.00258621 
4000 1 0 1 0 0 
5000 2 0.0467271 2 0 0.00517241 
6000 2 0.206592 2 0 0.0324619 
7000 3 0.668291 3 0 0.167768 
8000 3 0.862606 3 0 0.208333 
9000 3 1.30971 3 0 0.363976 
10000 3 1.31033 3 0 0.364263 
11000 3 1.35663 3 0 0.391554 
12000 3 1.40744 3 0 0.425 
13000 3 1.4061 3 0 0.424591 
14000 4 1.39519 4 0.00517093 0.405056 
15000 4 1.44354 4 0.000861821 0.447285 
16000 3 1.31954 3 0 0.369434 
17000 3 1.39257 3 0 0.414249 
18000 4 1.43567 4 0.000287274 0.443838 
19000 3 1.43796 3 0 0.447573 
20000 4 1.56361 4 0.0298765 0.474576 
21000 4 1.5589 4 0.0195458 0.488934 
22000 4 1.41376 4 0.00545977 0.40977 
23000 4 1.39224 4 0.0152255 0.38351 
24000 3 1.45153 3 0 0.457053 
25000 4 1.48767 4 0.0129273 0.443838 
26000 4 1.51329 4 0.0212583 0.449009 
27000 4 1.58512 4 0.0792876 0.482907 
28000 4 1.53004 4 0.0508475 0.455329 
29000 4 1.44476 4 0.0281609 0.412931 
30000 4 1.42476 4 0.0117782 0.406205 
31000 4 1.39754 4 0.0011491 0.411663 
32000 4 1.27101 4 0.00172364 0.337834 
33000 4 1.39213 4 0.00316001 0.406205 
34000 3 1.31055 3 0 0.36455 
35000 3 1.32096 3 0 0.370583 
36000 3 1.4103 3 0 0.426602 
37000 4 1.34983 4 0.00517241 0.373276 
38000 4 1.44033 4 0.0238437 0.408503 
39000 4 1.38512 4 0.0215455 0.374605 
40000 4 1.39216 4 0.0293019 0.377478 
41000 4 1.42417 4 0.00718184 0.412525 
42000 4 1.32166 4 0.000574548 0.367998 
43000 3 1.37258 3 0 0.401034 
44000 3 1.39494 3 0 0.415685 
45000 3 1.33891 3 0 0.380638 
46000 4 1.41236 4 0.00258546 0.417122 
47000 4 1.33374 4 0.00258546 0.370009 
48000 3 1.32003 3 0 0.370583 
49000 3 1.37378 3 0 0.403332 
50000 3 1.34276 3 0 0.38351 
51000 4 1.29019 4 0.0120655 0.335536 
52000 3 1.28254 3 0 0.349325 
53000 4 1.27434 4 0.000574548 0.343579 
54000 4 1.29953 4 0.0011491 0.361678 
55000 4 1.35681 4 0.014651 0.376041 
56000 4 1.25978 4 0.0272989 0.328736 
57000 4 1.4517 4 0.00804367 0.450158 
58000 3 1.41316 3 0 0.432922 
59000 4 1.42802 4 0.0175237 0.408791 
60000 4 1.63018 4 0.0488365 0.508187 
61000 4 1.5194 4 0.0413674 0.445849 
62000 4 1.48985 4 0.0436656 0.424878 
63000 4 1.39814 4 0.00459638 0.402183 
64000 3 1.36307 3 0 0.397012 
65000 4 1.49468 4 0.0066073 0.46366 
66000 4 1.43775 4 0.000574548 0.442976 
67000 4 1.38584 4 0.00258546 0.399598 
68000 4 1.47195 4 0.0011491 0.468544 
69000 3 1.27904 3 0 0.347889 
70000 3 1.30152 3 0 0.359667 
71000 4 1.41377 4 0.0203964 0.390692 
72000 4 1.48067 4 0.0123528 0.442976 
73000 3 1.44226 3 0 0.451882 
74000 4 1.30819 4 0.000287274 0.365125 
75000 3 1.35509 3 0 0.393852 
76000 3 1.34881 3 0 0.386958 
77000 3 1.32863 3 0 0.375 
78000 3 1.40632 3 0 0.426602 
79000 3 1.29068 3 0 0.353634 
80000 3 1.29363 3 0 0.355645 
81000 3 1.35956 3 0 0.392991 
82000 3 1.46019 3 0 0.464809 
83000 3 1.42147 3 0 0.434645 
84000 3 1.37932 3 0 0.408791 
85000 3 1.35768 3 0 0.392703 
86000 3 1.4077 3 0 0.426027 
87000 3 1.38594 3 0 0.414249 
88000 3 1.41057 3 0 0.4289 
89000 3 1.45259 3 0 0.459063 
90000 3 1.44514 3 0 0.452456 
91000 4 1.51303 4 0.0143637 0.460213 
92000 4 1.37745 4 0.00229819 0.401609 
93000 3 1.36954 3 0 0.403332 
94000 3 1.43039 3 0 0.450575 
95000 3 1.25201 3 0 0.340132 
96000 3 1.4186 3 0 0.432922 
97000 3 1.38227 3 0 0.407641 
98000 3 1.362 3 0 0.394427 
99000 3 1.41954 3 0 0.43838 
100000 3 1.39337 3 0 0.414823 
