# Wed Apr 23 00:34:44 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0183081 2 0 0.00172364 
3000 2 0.0331647 2 0 0.00344729 
4000 3 0.250244 3 0 0.0370583 
5000 2 0.051043 2 0 0.00574713 
6000 2 0.106742 2 0 0.0140764 
7000 4 0.978793 4 0.122379 0.335248 
8000 4 1.16122 4 0.145648 0.404769 
9000 4 1.58173 4 0.172364 0.569951 
10000 4 1.36084 4 0.131571 0.436656 
11000 4 1.2891 4 0.151681 0.440391 
12000 4 1.36407 4 0.101982 0.408791 
13000 4 1.36287 4 0.134157 0.441827 
14000 4 1.22619 4 0.154841 0.430336 
15000 4 1.07475 4 0.0666475 0.281528 
16000 4 1.10722 4 0.114622 0.341281 
17000 4 0.93513 4 0.145648 0.344154 
18000 4 1.1287 4 0.13071 0.367136 
19000 4 1.05471 4 0.0683712 0.27923 
20000 4 1.00141 4 0.110313 0.308245 
21000 4 0.98987 4 0.110026 0.306234 
22000 4 1.08447 4 0.103131 0.32663 
23000 4 1.10201 4 0.134157 0.369721 
24000 4 1.03282 4 0.103706 0.307383 
25000 4 1.06522 4 0.125826 0.353921 
26000 4 1.06004 4 0.128986 0.355645 
27000 4 0.981378 4 0.146264 0.35431 
28000 4 0.792193 4 0.108015 0.262856 
29000 4 0.804467 4 0.118644 0.278081 
30000 4 0.895259 4 0.0991095 0.269176 
31000 4 0.932352 4 0.113793 0.297126 
32000 4 0.911345 4 0.0953749 0.268026 
33000 4 0.965499 4 0.0907785 0.275496 
34000 4 0.855756 4 0.114048 0.281528 
35000 4 0.886912 4 0.108877 0.280666 
36000 4 0.714777 4 0.0936512 0.22551 
37000 4 0.819034 4 0.118644 0.280954 
38000 4 0.806316 4 0.113473 0.271186 
39000 4 0.980754 4 0.0649239 0.249641 
40000 4 1.11163 4 0.0775639 0.30451 
41000 4 0.973745 4 0.0465517 0.230747 
42000 4 0.595688 4 0.0689457 0.172077 
43000 4 0.418578 4 0.0522838 0.119219 
44000 4 0.445359 4 0.0721057 0.152542 
45000 4 0.466124 4 0.0853203 0.175524 
46000 3 0.457418 3 0.0686584 0.149957 
47000 4 0.403492 4 0.066073 0.137604 
48000 4 0.410777 4 0.0640621 0.135593 
49000 4 0.303796 4 0.0494111 0.100546 
50000 4 0.379164 4 0.0407929 0.0976731 
51000 4 0.374311 4 0.0485493 0.108589 
52000 4 0.394111 4 0.0459638 0.106866 
53000 4 0.35731 4 0.057742 0.119219 
54000 4 0.289161 4 0.0442402 0.0910658 
55000 1 0 1 0 0 
56000 1 0 1 0 0 
57000 1 0 1 0 0 
58000 1 0 1 0 0 
59000 1 0 1 0 0 
60000 1 0 1 0 0 
61000 1 0 1 0 0 
62000 1 0 1 0 0 
63000 1 0 1 0 0 
64000 1 0 1 0 0 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 1 0 1 0 0 
70000 1 0 1 0 0 
71000 2 0.11716 2 0 0.0158001 
72000 3 0.953614 3 0 0.210859 
73000 3 1.01056 3 0 0.230968 
74000 3 1.09344 3 0 0.267165 
75000 4 1.3526 4 0.0979604 0.398736 
76000 4 0.992906 4 0.111749 0.308245 
77000 4 1.2679 4 0.119506 0.392129 
78000 4 1.15037 4 0.170353 0.429762 
79000 4 1.15717 4 0.224935 0.515082 
80000 4 1.16817 4 0.0887676 0.326918 
81000 4 1.19681 4 0.12439 0.377765 
82000 4 1.12923 4 0.131284 0.37403 
83000 4 1.12956 4 0.118931 0.352198 
84000 4 1.03162 4 0.106004 0.31083 
85000 4 0.955852 4 0.106291 0.293594 
86000 4 1.03982 4 0.102557 0.307957 
87000 4 1.00864 4 0.13272 0.348463 
88000 4 1.14633 4 0.13588 0.378914 
89000 4 1.10991 4 0.0873312 0.309107 
90000 4 1.01237 4 0.112899 0.314278 
91000 4 1.00909 4 0.0919276 0.288423 
92000 4 1.1384 4 0.110888 0.345878 
93000 4 0.896165 4 0.122666 0.303361 
94000 4 0.973986 4 0.114048 0.312841 
95000 4 1.12937 4 0.107153 0.336972 
96000 4 1.16544 4 0.103993 0.343292 
97000 4 1.0736 4 0.0824476 0.293594 
98000 4 1.30586 4 0.12755 0.415972 
99000 4 1.16664 4 0.0663602 0.304797 
100000 4 1.26712 4 0.14967 0.430336 
