# Tue Mar 25 19:12:19 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0905439 2 0 0.0114943 
2000 2 0.118869 2 0 0.0160873 
3000 2 0.0128813 2 0 0.00114943 
4000 2 0.441921 2 0 0.0916403 
5000 2 0.345582 2 0 0.0646366 
6000 2 0.423596 2 0 0.0861821 
7000 2 0.680341 2 0 0.180121 
8000 2 0.574218 2 0 0.136207 
9000 2 0.622634 2 0 0.155172 
10000 2 0.655221 2 0 0.168917 
11000 2 0.592944 2 0 0.14335 
12000 2 0.43715 2 0 0.090204 
13000 2 0.476149 2 0 0.102269 
14000 2 0.44382 2 0 0.0922149 
15000 2 0.17165 2 0 0.0255674 
16000 2 0.234012 2 0 0.0382074 
17000 2 0.00701383 2 0 0.000574548 
18000 2 0.258854 2 0 0.0436656 
19000 2 0.636395 2 0 0.160873 
20000 2 0.764954 2 0 0.222637 
21000 2 0.765472 2 0 0.222924 
22000 2 0.767021 2 0 0.223786 
23000 2 0.635024 2 0 0.160299 
24000 2 0.689056 2 0 0.184142 
25000 2 0.716725 2 0 0.197414 
26000 2 0.713223 2 0 0.19569 
27000 2 0.67529 2 0 0.177822 
28000 2 0.653348 2 0 0.168103 
29000 2 0.697616 2 0 0.188164 
30000 2 0.687202 2 0 0.183281 
31000 2 0.638444 2 0 0.161735 
32000 2 0.655221 2 0 0.168917 
33000 2 0.643196 2 0 0.163746 
34000 2 0.65654 2 0 0.169492 
35000 2 0.651244 2 0 0.167193 
36000 2 0.707211 2 0 0.192761 
37000 2 0.654561 2 0 0.16863 
38000 2 0.737616 2 0 0.207986 
39000 2 0.719508 2 0 0.198793 
40000 2 0.800989 2 0 0.243608 
41000 2 0.688439 2 0 0.183855 
42000 2 0.660477 2 0 0.171215 
43000 2 0.669546 2 0 0.175237 
44000 2 0.613316 2 0 0.151393 
45000 2 0.651909 2 0 0.167481 
46000 2 0.655221 2 0 0.168917 
47000 2 0.600305 2 0 0.146222 
48000 2 0.589228 2 0 0.141913 
49000 2 0.45973 2 0 0.0970985 
50000 2 0.656652 2 0 0.16954 
51000 2 0.623928 2 0 0.155702 
52000 2 0.583983 2 0 0.139902 
53000 2 0.619708 2 0 0.153979 
54000 2 0.626026 2 0 0.156564 
55000 2 0.69943 2 0 0.189026 
56000 2 0.698221 2 0 0.188452 
57000 2 0.698221 2 0 0.188452 
58000 2 0.680969 2 0 0.180408 
59000 2 0.771633 2 0 0.226372 
60000 2 0.821914 2 0 0.256823 
61000 2 0.616876 2 0 0.15283 
62000 2 0.736506 2 0 0.207412 
63000 2 0.821914 2 0 0.256823 
64000 2 0.777696 2 0 0.229819 
65000 2 0.750709 2 0 0.214881 
66000 2 0.764435 2 0 0.22235 
67000 2 0.790985 2 0 0.237575 
68000 2 0.78856 2 0 0.236139 
69000 2 0.791468 2 0 0.237863 
70000 2 0.839865 2 0 0.268888 
71000 2 0.801458 2 0 0.243895 
72000 2 0.803795 2 0 0.245332 
73000 2 0.774676 2 0 0.228095 
74000 2 0.73595 2 0 0.207124 
75000 2 0.802395 2 0 0.24447 
76000 2 0.814337 2 0 0.251939 
77000 2 0.773664 2 0 0.227521 
78000 2 0.742574 2 0 0.210572 
79000 2 0.803329 2 0 0.245045 
80000 2 0.770102 2 0 0.22551 
81000 2 0.821473 2 0 0.256535 
82000 2 0.788675 2 0 0.236207 
83000 2 0.780193 2 0 0.231255 
84000 2 0.667616 2 0 0.174375 
85000 2 0.697009 2 0 0.187877 
86000 2 0.729222 2 0 0.203677 
87000 2 0.681596 2 0 0.180695 
88000 2 0.711935 2 0 0.195059 
89000 2 0.742026 2 0 0.210284 
90000 2 0.713109 2 0 0.195633 
91000 2 0.751246 2 0 0.215168 
92000 2 0.742574 2 0 0.210572 
93000 2 0.706022 2 0 0.192186 
94000 2 0.776189 2 0 0.228957 
95000 2 0.744759 2 0 0.211721 
96000 2 0.755514 2 0 0.217466 
97000 2 0.703636 2 0 0.191037 
98000 2 0.722961 2 0 0.200517 
99000 2 0.796737 2 0 0.241023 
100000 2 0.783662 2 0 0.233266 
