# Mon Mar 24 16:39:47 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.0100164 2 0 0.000861821 
4000 2 0.0773261 2 0 0.00948003 
5000 2 0.0070156 2 0 0.000574713 
6000 2 0.32532 2 0 0.0594657 
7000 2 0.843571 2 0 0.271474 
8000 2 0.853612 2 0 0.278656 
9000 2 0.842453 2 0 0.27069 
10000 2 0.932688 2 0 0.348463 
11000 2 0.918296 2 0 0.333333 
12000 2 0.899659 2 0 0.315714 
13000 2 0.913532 2 0 0.328641 
14000 2 0.897726 2 0 0.31399 
15000 2 0.901356 2 0 0.317241 
16000 2 0.917624 2 0 0.332663 
17000 2 0.874408 2 0 0.294456 
18000 2 0.938019 2 0 0.354496 
19000 2 0.825852 2 0 0.259408 
20000 2 0.932947 2 0 0.34875 
21000 2 0.933464 2 0 0.349325 
22000 2 0.917431 2 0 0.332471 
23000 2 0.875852 2 0 0.295605 
24000 2 0.90994 2 0 0.325194 
25000 2 0.903467 2 0 0.319161 
26000 2 0.942167 2 0 0.359379 
27000 2 0.961461 2 0 0.384947 
28000 2 0.907809 2 0 0.323183 
29000 2 0.892243 2 0 0.309195 
30000 2 0.913925 2 0 0.329023 
31000 2 0.906271 2 0 0.321747 
32000 2 0.942645 2 0 0.359954 
33000 2 0.884671 2 0 0.302787 
34000 2 0.91906 2 0 0.334099 
35000 2 0.939745 2 0 0.356507 
36000 2 0.934746 2 0 0.350761 
37000 2 0.865282 2 0 0.287356 
38000 2 0.899761 2 0 0.315805 
39000 2 0.943358 2 0 0.360816 
40000 2 0.891806 2 0 0.308819 
41000 2 0.882237 2 0 0.300776 
42000 2 0.909638 2 0 0.324907 
43000 2 0.893468 2 0 0.310256 
44000 2 0.919631 2 0 0.334674 
45000 2 0.924945 2 0 0.340132 
46000 2 0.969176 2 0 0.397012 
47000 2 0.86555 2 0 0.287561 
48000 2 0.840693 2 0 0.269463 
49000 2 0.818816 2 0 0.254812 
50000 2 0.774171 2 0 0.227808 
51000 2 0.82974 2 0 0.261994 
52000 2 0.791468 2 0 0.237863 
53000 2 0.774286 2 0 0.227874 
54000 2 0.717192 2 0 0.197644 
55000 2 0.812528 2 0 0.25079 
56000 2 0.804839 2 0 0.245977 
57000 2 0.840693 2 0 0.269463 
58000 2 0.788074 2 0 0.235852 
59000 2 0.786609 2 0 0.23499 
60000 2 0.777696 2 0 0.229819 
61000 2 0.862142 2 0 0.284976 
62000 2 0.859844 2 0 0.283252 
63000 2 0.869281 2 0 0.290434 
64000 2 0.848035 2 0 0.274634 
65000 2 0.874769 2 0 0.294743 
66000 2 0.858687 2 0 0.28239 
67000 2 0.834001 2 0 0.264866 
68000 2 0.908726 2 0 0.324045 
69000 2 0.887759 2 0 0.305372 
70000 2 0.880129 2 0 0.299052 
71000 2 0.878001 2 0 0.297328 
72000 2 0.899659 2 0 0.315714 
73000 2 0.882342 2 0 0.300862 
74000 2 0.867795 2 0 0.289285 
75000 2 0.887076 2 0 0.304797 
76000 2 0.919346 2 0 0.334387 
77000 2 0.856747 2 0 0.280954 
78000 2 0.906888 2 0 0.322321 
79000 2 0.924945 2 0 0.340132 
80000 2 0.845609 2 0 0.27291 
81000 2 0.849641 2 0 0.275783 
82000 2 0.939009 2 0 0.355645 
83000 2 0.967241 2 0 0.393852 
84000 2 0.90852 2 0 0.323851 
85000 2 0.942253 2 0 0.359483 
86000 2 0.92133 2 0 0.336398 
87000 2 0.920765 2 0 0.335823 
88000 2 0.963943 2 0 0.388681 
89000 2 0.914123 2 0 0.329216 
90000 2 0.945005 2 0 0.362827 
91000 2 0.919346 2 0 0.334387 
92000 2 0.947995 2 0 0.366561 
93000 2 0.977954 2 0 0.412812 
94000 2 0.9754 2 0 0.407929 
95000 2 0.92133 2 0 0.336398 
96000 2 0.944771 2 0 0.36254 
97000 2 0.920483 2 0 0.335536 
98000 2 0.924395 2 0 0.339558 
99000 2 0.903153 2 0 0.318874 
100000 2 0.977069 2 0 0.411089 
