# Tue Mar 25 17:18:13 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.574983 2 0 0.136494 
4000 2 0.519801 2 0 0.1167 
5000 2 0.50345 2 0 0.111175 
6000 2 0.753919 2 0 0.216604 
7000 2 0.753919 2 0 0.216604 
8000 2 0.621822 2 0 0.154841 
9000 2 0.686075 2 0 0.182759 
10000 2 0.811164 2 0 0.249928 
11000 2 0.687202 2 0 0.183281 
12000 2 0.749634 2 0 0.214306 
13000 2 0.752432 2 0 0.215805 
14000 2 0.728656 2 0 0.20339 
15000 2 0.731029 2 0 0.204598 
16000 2 0.695908 2 0 0.187356 
17000 2 0.676558 2 0 0.178397 
18000 2 0.643872 2 0 0.164033 
19000 2 0.649244 2 0 0.166332 
20000 2 0.702552 2 0 0.190517 
21000 2 0.734836 2 0 0.20655 
22000 2 0.821586 2 0 0.256609 
23000 2 0.722961 2 0 0.200517 
24000 2 0.757103 2 0 0.218328 
25000 2 0.643196 2 0 0.163746 
26000 2 0.737061 2 0 0.207699 
27000 2 0.737616 2 0 0.207986 
28000 2 0.700033 2 0 0.189313 
29000 2 0.687202 2 0 0.183281 
30000 2 0.635024 2 0 0.160299 
31000 2 0.662434 2 0 0.172077 
32000 2 0.734836 2 0 0.20655 
33000 2 0.749634 2 0 0.214306 
34000 2 0.65654 2 0 0.169492 
35000 2 0.630198 2 0 0.158288 
36000 2 0.620414 2 0 0.154266 
37000 2 0.580207 2 0 0.138466 
38000 2 0.568729 2 0 0.134157 
39000 2 0.558595 2 0 0.130422 
40000 2 0.570273 2 0 0.134731 
41000 2 0.560166 2 0 0.130997 
42000 2 0.616985 2 0 0.152874 
43000 2 0.528766 2 0 0.119793 
44000 2 0.556232 2 0 0.12956 
45000 2 0.67719 2 0 0.178684 
46000 2 0.714279 2 0 0.196208 
47000 2 0.693355 2 0 0.186153 
48000 2 0.781684 2 0 0.232117 
49000 2 0.729786 2 0 0.203964 
50000 2 0.673383 2 0 0.176961 
51000 3 1.16016 3 0 0.299339 
52000 3 1.07032 3 0 0.274346 
53000 4 1.2962 4 0.0356219 0.35823 
54000 4 1.4433 4 0.162884 0.505315 
55000 4 1.31463 4 0.199655 0.516518 
56000 4 1.29086 4 0.147659 0.438093 
57000 4 1.33932 4 0.174375 0.488365 
58000 4 1.31015 4 0.169779 0.472565 
59000 4 1.24657 4 0.206837 0.510485 
60000 4 1.34676 4 0.170353 0.48262 
61000 4 1.35901 4 0.165757 0.481758 
62000 4 1.39119 4 0.183855 0.515082 
63000 4 1.32387 4 0.189601 0.503016 
64000 4 1.49515 4 0.178972 0.543235 
65000 4 1.30773 4 0.228383 0.561907 
66000 4 1.36139 4 0.128699 0.433209 
67000 4 1.27023 4 0.177535 0.470267 
68000 4 1.34452 4 0.185004 0.503878 
69000 4 1.4286 4 0.141626 0.471704 
70000 4 1.44046 4 0.151106 0.491525 
71000 4 1.33661 4 0.14651 0.447285 
72000 4 1.39589 4 0.160011 0.483769 
73000 4 1.40651 4 0.198219 0.541224 
74000 4 1.43039 4 0.242746 0.625682 
75000 4 1.54775 4 0.188452 0.578857 
76000 4 1.44258 4 0.118644 0.450733 
77000 4 1.32239 4 0.157139 0.45734 
78000 4 1.42323 4 0.17179 0.512496 
79000 4 1.26716 4 0.237863 0.562482 
80000 4 1.45777 4 0.207699 0.573398 
81000 4 1.35439 4 0.14651 0.455042 
82000 4 1.43862 4 0.147371 0.482907 
83000 4 1.33458 4 0.152542 0.455042 
84000 4 1.31933 4 0.172364 0.476874 
85000 4 1.40153 4 0.164895 0.4921 
86000 4 1.4988 4 0.165757 0.535478 
87000 4 1.30683 4 0.174375 0.477736 
88000 4 1.28164 4 0.202586 0.51523 
89000 4 1.2686 4 0.172077 0.461936 
90000 4 1.38192 4 0.155415 0.474864 
91000 4 1.37602 4 0.143062 0.456191 
92000 4 1.17086 4 0.18759 0.459925 
93000 4 1.06808 4 0.169204 0.407641 
94000 4 1.17361 4 0.223786 0.522551 
95000 4 1.33212 4 0.207699 0.534042 
96000 4 1.4217 4 0.166044 0.500431 
97000 4 1.24922 4 0.143637 0.417122 
98000 4 1.18628 4 0.186728 0.465671 
99000 4 1.393 4 0.126975 0.442114 
100000 4 1.23127 4 0.210057 0.511494 
