# Tue Mar 25 14:38:34 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0183172 2 0 0.00172463 
3000 2 0.555442 2 0 0.129273 
4000 2 0.692743 2 0 0.185866 
5000 2 0.776189 2 0 0.228957 
6000 2 0.639807 2 0 0.16231 
7000 2 0.684718 2 0 0.182132 
8000 3 0.6634 3 0 0.170066 
9000 2 0.667616 2 0 0.174375 
10000 3 0.926774 3 0 0.203964 
11000 3 1.10188 3 0 0.276149 
12000 4 1.17426 4 0.00229819 0.29819 
13000 3 1.19407 3 0 0.316288 
14000 3 1.14825 3 0 0.289572 
15000 3 1.20536 3 0 0.325481 
16000 3 1.24899 3 0 0.347027 
17000 3 1.16512 3 0 0.295605 
18000 4 1.28383 4 0.00344729 0.340994 
19000 4 1.48411 4 0.0982476 0.450158 
20000 4 1.37218 4 0.115805 0.422126 
21000 4 1.35709 4 0.0910658 0.392416 
22000 4 1.40168 4 0.0913793 0.414943 
23000 4 1.51225 4 0.159724 0.527435 
24000 4 1.53539 4 0.142201 0.515944 
25000 4 1.36067 4 0.109739 0.411663 
26000 4 1.56614 4 0.122379 0.505027 
27000 4 1.49977 4 0.10428 0.459638 
28000 4 1.40476 4 0.102844 0.421143 
29000 4 1.54995 4 0.160057 0.540517 
30000 4 1.42179 4 0.136742 0.466533 
31000 4 1.50694 4 0.136455 0.494973 
32000 4 1.53903 4 0.129848 0.502155 
33000 4 1.42522 4 0.113473 0.439242 
34000 4 1.38025 4 0.102269 0.422292 
35000 4 1.52777 4 0.162597 0.546395 
36000 4 1.53033 4 0.163459 0.537202 
37000 4 1.4935 4 0.145648 0.500718 
38000 4 1.51049 4 0.163459 0.529733 
39000 4 1.60297 4 0.147084 0.552715 
40000 4 1.51028 4 0.145648 0.507613 
41000 4 1.54152 4 0.182132 0.565355 
42000 4 1.44522 4 0.153117 0.491813 
43000 4 1.41637 4 0.125826 0.449009 
44000 4 1.51039 4 0.146797 0.508475 
45000 4 1.41823 4 0.106004 0.436082 
46000 4 1.50911 4 0.115484 0.474864 
47000 4 1.40363 4 0.144786 0.467107 
48000 4 1.44076 4 0.188452 0.538638 
49000 4 1.53763 4 0.155702 0.529446 
50000 4 1.55136 4 0.154553 0.533755 
51000 4 1.59328 4 0.165757 0.565642 
52000 4 1.64828 4 0.201953 0.652111 
53000 4 1.56976 4 0.143637 0.531456 
54000 4 1.55996 4 0.172364 0.560184 
55000 4 1.44427 4 0.145648 0.48262 
56000 4 1.55341 4 0.102269 0.482333 
57000 4 1.46713 4 0.138466 0.484056 
58000 4 1.44672 4 0.151724 0.490517 
59000 4 1.42522 4 0.114655 0.439943 
60000 4 1.35218 4 0.108589 0.407641 
61000 4 1.49572 4 0.150244 0.506751 
62000 4 1.37847 4 0.124138 0.438793 
63000 4 1.4691 4 0.145073 0.492675 
64000 4 1.45491 4 0.155415 0.500718 
65000 4 1.48953 4 0.181557 0.553289 
66000 4 1.42486 4 0.122989 0.450575 
67000 4 1.43262 4 0.0939385 0.422867 
68000 4 1.33248 4 0.0993967 0.391841 
69000 4 1.45967 4 0.116092 0.461207 
70000 4 1.41133 4 0.112899 0.440103 
71000 4 1.48926 4 0.133008 0.484631 
72000 4 1.3813 4 0.14335 0.459063 
73000 4 1.37988 4 0.0718184 0.384372 
74000 4 1.42907 4 0.106291 0.432922 
75000 4 1.45345 4 0.171215 0.518816 
76000 4 1.45979 4 0.115805 0.45431 
77000 4 1.50104 4 0.167481 0.530307 
78000 4 1.51386 4 0.162022 0.530307 
79000 4 1.39155 4 0.178397 0.509336 
80000 4 1.30206 4 0.116346 0.401034 
81000 4 1.42707 4 0.0853203 0.416834 
82000 4 1.47632 4 0.0930767 0.440103 
83000 4 1.37295 4 0.152542 0.467107 
84000 4 1.50442 4 0.128736 0.500287 
85000 4 1.46122 4 0.114622 0.456478 
86000 4 1.40314 4 0.200517 0.556449 
87000 4 1.43815 4 0.115484 0.449296 
88000 4 1.35897 4 0.154841 0.467394 
89000 4 1.42235 4 0.149957 0.484631 
90000 4 1.40602 4 0.110888 0.435507 
91000 4 1.35064 4 0.110026 0.408503 
92000 4 1.37649 4 0.141051 0.456765 
93000 4 1.27063 4 0.149382 0.433496 
94000 4 1.25358 4 0.132433 0.408216 
95000 4 1.32917 4 0.148808 0.450158 
96000 4 1.35254 4 0.115771 0.41626 
97000 4 1.25275 4 0.133582 0.409365 
98000 4 1.27575 4 0.0804367 0.353059 
99000 4 1.377 4 0.130422 0.440391 
100000 4 1.18304 4 0.0953749 0.338983 
