# Sun Apr 13 19:08:35 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.00701383 2 0 0.000574548 
6000 1 0 1 0 0 
7000 2 0.337781 2 0 0.0626257 
8000 2 0.66826 2 0 0.174662 
9000 3 1.15001 3 0 0.290721 
10000 3 1.08402 3 0 0.26523 
11000 3 1.05371 3 0 0.252226 
12000 3 1.16092 3 0 0.299339 
13000 3 1.16642 3 0 0.301637 
14000 4 1.42349 4 0.085033 0.418271 
15000 4 1.51216 4 0.141954 0.50431 
16000 4 1.40399 4 0.107153 0.426889 
17000 4 1.43927 4 0.109451 0.441253 
18000 4 1.37419 4 0.0970985 0.406492 
19000 4 1.44754 4 0.075553 0.418845 
20000 4 1.33084 4 0.0551566 0.356219 
21000 4 1.32302 4 0.0686584 0.360816 
22000 4 1.41756 4 0.0887676 0.417983 
23000 4 1.32079 4 0.108333 0.402011 
24000 4 1.28799 4 0.0792876 0.357081 
25000 4 1.19885 4 0.0922414 0.340517 
26000 4 1.32414 4 0.0956622 0.388394 
27000 4 1.25602 4 0.113186 0.389831 
28000 4 1.30758 4 0.075553 0.361965 
29000 4 1.33144 4 0.0683712 0.373743 
30000 4 1.23472 4 0.121804 0.3973 
31000 4 1.23655 4 0.0979604 0.361103 
32000 4 1.19943 4 0.112324 0.363689 
33000 4 1.16033 4 0.0738294 0.309681 
34000 4 1.24121 4 0.0603275 0.325194 
35000 4 1.24481 4 0.0511347 0.324332 
36000 4 1.25501 4 0.0522989 0.346552 
37000 4 1.32331 4 0.087044 0.399598 
38000 4 1.32025 4 0.0632002 0.395289 
39000 4 1.37375 4 0.0735421 0.395289 
40000 4 1.37297 4 0.0925287 0.419828 
41000 4 1.30923 4 0.119219 0.423442 
42000 4 1.27969 4 0.0634875 0.358518 
43000 4 1.28124 4 0.0548693 0.343292 
44000 4 1.28824 4 0.0804367 0.371445 
45000 4 1.29185 4 0.0830221 0.36771 
46000 4 1.23712 4 0.088193 0.361103 
47000 4 1.1374 4 0.0646366 0.296179 
48000 4 1.22786 4 0.0361965 0.306521 
49000 4 1.23832 4 0.0583166 0.329216 
50000 4 1.31944 4 0.0586038 0.35507 
51000 4 1.194 4 0.0706693 0.320598 
52000 4 1.13761 4 0.0525711 0.283826 
53000 4 1.10269 4 0.0548693 0.274634 
54000 4 1.29183 4 0.0654984 0.350474 
55000 4 1.26643 4 0.066073 0.343005 
56000 4 1.217 4 0.0525711 0.310543 
57000 4 1.31135 4 0.0666475 0.359379 
58000 4 1.26788 4 0.0537202 0.337259 
59000 4 1.28791 4 0.0465384 0.334099 
60000 4 1.24093 4 0.0683712 0.33611 
61000 4 1.31698 4 0.0735421 0.373743 
62000 4 1.24957 4 0.057742 0.328067 
63000 4 1.1915 4 0.0695203 0.321747 
64000 4 1.17693 4 0.0841712 0.333812 
65000 4 1.24644 4 0.0942529 0.372126 
66000 4 1.28847 4 0.0677966 0.359092 
67000 4 1.23446 4 0.0835967 0.35823 
68000 4 1.27011 4 0.062913 0.343579 
69000 4 1.15381 4 0.0726803 0.312267 
70000 4 1.18272 4 0.0488365 0.298477 
71000 4 1.21841 4 0.0606148 0.325194 
72000 4 1.09419 4 0.0583333 0.283046 
73000 4 1.13735 4 0.0330365 0.27607 
74000 4 1.11431 4 0.0864694 0.313128 
75000 4 0.867567 4 0.0580293 0.213157 
76000 4 0.853774 4 0.0540075 0.205688 
77000 4 0.665686 4 0.0436656 0.153691 
78000 4 0.568968 4 0.0494111 0.142775 
